Age Group	Urban-Rural Classification	Counties	Prevalence, % (SE)	State	Alpha2
Adult	Large Fringe Metropolitan	Anne Arundel, Baltimore, Calvert, Carroll, Cecil, Charles, Frederick, Harford, Howard, Montgomery, Prince George's, Queen Anne's	8.8% (0.24)	Maryland	MD
Adult	Medium Metropolitan	Somerset, Washington, Wicomico, Worcester	11.1% (0.70)	Maryland	MD
Adult	Small Metropolitan	Allegany, St. Mary's	10.0% (0.99)	Maryland	MD
Adult	Micropolitan	Dorchester, Talbot	11.5% (1.05)	Maryland	MD
Adult	Noncore	Caroline, Garrett, Kent	9.3% (0.99)	Maryland	MD
Child	Large Central Metropolitan	Suffolk	6.4% (2.10)	Massachusetts	MA
Child	Large Fringe Metropolitan	Bristol, Essex, Middlesex, Norfolk, Plymouth	10.5% (1.61)	Massachusetts	MA
Child	Medium Metropolitan	Hampden, Hampshire, Worcester	13.3% (2.49)	Massachusetts	MA
Adult	Large Central Metropolitan	Suffolk	10.7% (1.06)	Massachusetts	MA
Adult	Large Fringe Metropolitan	Bristol, Essex, Middlesex, Norfolk, Plymouth	10.3% (0.41)	Massachusetts	MA
Adult	Medium Metropolitan	Hampden, Hampshire, Worcester	12.2% (0.70)	Massachusetts	MA
Adult	Small Metropolitan	Barnstable, Berkshire	8.9% (0.97)	Massachusetts	MA
Adult	Micropolitan	Dukes, Franklin	10.5% (2.13)	Massachusetts	MA
Adult	Noncore	Nantucket	11.5% (5.39)	Massachusetts	MA
Child	Large Central Metropolitan	Kent, Wayne	11.4% (0.98)	Michigan	MI
Child	Large Fringe Metropolitan	Barry, Lapeer, Livingston, Macomb, Montcalm, Oakland, Ottawa, St. Clair	7.8% (0.74)	Michigan	MI
Child	Medium Metropolitan	Cass, Clinton, Eaton, Genesee, Ingham, Kalamazoo, Van Buren, Washtenaw	8.5% (0.89)	Michigan	MI
Child	Small Metropolitan	Bay, Berrien, Calhoun, Jackson, Midland, Monroe, Muskegon, Saginaw	8.8% (1.05)	Michigan	MI
Child	Micropolitan	Allegan, Alpena, Benzie, Branch, Chippewa, Delta, Dickinson, Grand Traverse, Gratiot, Hillsdale, Houghton, Ionia, Isabella, Kalkaska, Keweenaw, Leelanau, Lenawee, Marquette, Mason, Mecosta, Menominee, Missaukee, St. Joseph, Shiawassee, Wexford	6.9% (1.08)	Michigan	MI
Child	Noncore	Alcona, Alger, Antrim, Arenac, Baraga, Charlevoix, Cheboygan, Clare, Crawford, Emmet, Gladwin, Gogebic, Huron, Iosco, Iron, Lake, Luce, Mackinac, Manistee, Montmorency, Newaygo, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Presque Isle, Roscommon, Sanilac, Schoolcraft, Tuscola	7.0% (1.35)	Michigan	MI
Adult	Large Central Metropolitan	Kent, Wayne	11.9% (0.50)	Michigan	MI
Adult	Large Fringe Metropolitan	Barry, Lapeer, Livingston, Macomb, Montcalm, Oakland, Ottawa, St. Clair	9.8% (0.41)	Michigan	MI
Adult	Medium Metropolitan	Cass, Clinton, Eaton, Genesee, Ingham, Kalamazoo, Van Buren, Washtenaw	10.5% (0.51)	Michigan	MI
Adult	Small Metropolitan	Bay, Berrien, Calhoun, Jackson, Midland, Monroe, Muskegon, Saginaw	11.6% (0.67)	Michigan	MI
Adult	Micropolitan	Allegan, Alpena, Benzie, Branch, Chippewa, Delta, Dickinson, Grand Traverse, Gratiot, Hillsdale, Houghton, Ionia, Isabella, Kalkaska, Keweenaw, Leelanau, Lenawee, Marquette, Mason, Mecosta, Menominee, Missaukee, St. Joseph, Shiawassee, Wexford	11.2% (0.67)	Michigan	MI
Adult	Noncore	Alcona, Alger, Antrim, Arenac, Baraga, Charlevoix, Cheboygan, Clare, Crawford, Emmet, Gladwin, Gogebic, Huron, Iosco, Iron, Lake, Luce, Mackinac, Manistee, Montmorency, Newaygo, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Presque Isle, Roscommon, Sanilac, Schoolcraft, Tuscola	12.7% (0.89)	Michigan	MI
Child	Large Fringe Metropolitan	Benton, DeSoto, Marshall, Tate, Tunica	5.0% (2.02)	Mississippi	MS
Child	Medium Metropolitan	Copiah, Hancock, Harrison, Hinds, Jackson, Madison, Rankin, Simpson, Yazoo	8.0% (1.32)	Mississippi	MS
Child	Small Metropolitan	Forrest, Lamar, Perry	12.0% (3.24)	Mississippi	MS
Child	Micropolitan	Adams, Alcorn, Amite, Bolivar, Carroll, Claiborne, Clarke, Coahoma, Grenada, Itawamba, Jasper, Jones, Kemper, Lafayette, Lauderdale, Lee, Leflore, Lincoln, Lowndes, Oktibbeha, Pearl River, Pike, Pontotoc, Sunflower, Warren, Washington	7.6% (0.92)	Mississippi	MS
Child	Noncore	Attala, Calhoun, Chickasaw, Choctaw, Clay, Covington, Franklin, George, Greene, Holmes, Humphreys, Issaquena, Jefferson, Jefferson Davis, Lawrence, Leake, Marion, Monroe, Montgomery, Neshoba, Newton, Noxubee, Panola, Prentiss, Quitman, Scott, Sharkey, Smith, Stone, Tallahatchie, Tippah, Tishomingo, Union, Walthall, Wayne, Webster, Wilkinson, Winston, Yalobusha	9.0% (1.03)	Mississippi	MS
Adult	Large Fringe Metropolitan	Benton, DeSoto, Marshall, Tate, Tunica	9.4% (1.13)	Mississippi	MS
Adult	Medium Metropolitan	Copiah, Hancock, Harrison, Hinds, Jackson, Madison, Rankin, Simpson, Yazoo	7.7% (0.57)	Mississippi	MS
Adult	Small Metropolitan	Forrest, Lamar, Perry	8.7% (1.27)	Mississippi	MS
Adult	Micropolitan	Adams, Alcorn, Amite, Bolivar, Carroll, Claiborne, Clarke, Coahoma, Grenada, Itawamba, Jasper, Jones, Kemper, Lafayette, Lauderdale, Lee, Leflore, Lincoln, Lowndes, Oktibbeha, Pearl River, Pike, Pontotoc, Sunflower, Warren, Washington	9.2% (0.52)	Mississippi	MS
Adult	Noncore	Attala, Calhoun, Chickasaw, Choctaw, Clay, Covington, Franklin, George, Greene, Holmes, Humphreys, Issaquena, Jefferson, Jefferson Davis, Lawrence, Leake, Marion, Monroe, Montgomery, Neshoba, Newton, Noxubee, Panola, Prentiss, Quitman, Scott, Sharkey, Smith, Stone, Tallahatchie, Tippah, Tishomingo, Union, Walthall, Wayne, Webster, Wilkinson, Winston, Yalobusha	9.0% (0.55)	Mississippi	MS
Child	Large Central Metropolitan	Hennepin, Ramsey	6.4% (0.52)	Minnesota	MN
Child	Large Fringe Metropolitan	Anoka, Carver, Chisago, Dakota, Isanti, Le Sueur, Mille Lacs, Scott, Sherburne, Sibley, Washington, Wright	5.8% (0.51)	Minnesota	MN
Child	Medium Metropolitan	Carlton, St. Louis	6.1% (1.23)	Minnesota	MN
Child	Small Metropolitan	Benton, Blue Earth, Clay, Dodge, Fillmore, Houston, Nicollet, Olmsted, Polk, Stearns, Wabasha	3.7% (0.54)	Minnesota	MN
Child	Micropolitan	Beltrami, Brown, Cass, Crow Wing, Douglas, Freeborn, Goodhue, Kandiyohi, Lyon, McLeod, Mower, Nobles, Otter Tail, Rice, Steele, Wilkin, Winona	4.8% (0.67)	Minnesota	MN
Child	Noncore	Aitkin, Becker, Big Stone, Chippewa, Clearwater, Cook, Cottonwood, Faribault, Grant, Hubbard, Itasca, Jackson, Kanabec, Kittson, Koochiching, Lac qui Parle, Lake, Lake of the Woods, Lincoln, Mahnomen, Marshall, Martin, Meeker, Morrison, Murray, Norman, Pennington, Pine, Pipestone, Pope, Red Lake, Redwood, Renville, Rock, Roseau, Stevens, Swift, Todd, Traverse, Wadena, Waseca, Watonwan, Yellow Medicine	4.6% (0.75)	Minnesota	MN
Adult	Large Central Metropolitan	Hennepin, Ramsey	8.0% (0.28)	Minnesota	MN
Adult	Large Fringe Metropolitan	Anoka, Carver, Chisago, Dakota, Isanti, Le Sueur, Mille Lacs, Scott, Sherburne, Sibley, Washington, Wright	7.4% (0.29)	Minnesota	MN
Adult	Medium Metropolitan	Carlton, St. Louis	8.1% (0.62)	Minnesota	MN
Adult	Small Metropolitan	Benton, Blue Earth, Clay, Dodge, Fillmore, Houston, Nicollet, Olmsted, Polk, Stearns, Wabasha	7.9% (0.47)	Minnesota	MN
Adult	Micropolitan	Beltrami, Brown, Cass, Crow Wing, Douglas, Freeborn, Goodhue, Kandiyohi, Lyon, McLeod, Mower, Nobles, Otter Tail, Rice, Steele, Wilkin, Winona	7.3% (0.38)	Minnesota	MN
Adult	Noncore	Aitkin, Becker, Big Stone, Chippewa, Clearwater, Cook, Cottonwood, Faribault, Grant, Hubbard, Itasca, Jackson, Kanabec, Kittson, Koochiching, Lac qui Parle, Lake, Lake of the Woods, Lincoln, Mahnomen, Marshall, Martin, Meeker, Morrison, Murray, Norman, Pennington, Pine, Pipestone, Pope, Red Lake, Redwood, Renville, Rock, Roseau, Stevens, Swift, Todd, Traverse, Wadena, Waseca, Watonwan, Yellow Medicine	7.9% (0.40)	Minnesota	MN
Child	Large Central Metropolitan	Jackson, St. Louis city	12.7% (1.66)	Missouri	MO
Child	Large Fringe Metropolitan	Bates, Caldwell, Cass, Clay, Clinton, Franklin, Jefferson, Lafayette, Lincoln, Platte, Ray, St. Charles, St. Louis, Warren	9.8% (1.08)	Missouri	MO
Child	Medium Metropolitan	Christian, Dallas, Greene, McDonald, Polk, Webster	3.1% (1.24)	Missouri	MO
Child	Small Metropolitan	Andrew, Bollinger, Boone, Buchanan, Callaway, Cape Girardeau, Cole, DeKalb, Jasper, Moniteau, Newton, Osage	7.0% (1.96)	Missouri	MO
Child	Micropolitan	Adair, Audrain, Butler, Clark, Dunklin, Howell, Johnson, Laclede, Lewis, Marion, Nodaway, Pettis, Phelps, Pulaski, Ralls, Randolph, St. Francois, Saline, Schuyler, Scott, Stone, Taney	8.3% (1.76)	Missouri	MO
Child	Noncore	Atchison, Barry, Barton, Benton, Camden, Carroll, Carter, Cedar, Chariton, Cooper, Crawford, Dade, Daviess, Dent, Douglas, Gasconade, Gentry, Grundy, Harrison, Henry, Hickory, Holt, Howard, Iron, Knox, Lawrence, Linn, Livingston, Macon, Madison, Maries, Mercer, Miller, Mississippi, Monroe, Montgomery, Morgan, New Madrid, Oregon, Ozark, Pemiscot, Perry, Pike, Putnam, Reynolds, Ripley, St. Clair, Ste. Genevieve, Scotland, Shannon, Shelby, Stoddard, Sullivan, Texas, Vernon, Washington, Wayne, Worth, Wright	7.5% (1.57)	Missouri	MO
Adult	Large Central Metropolitan	Jackson, St. Louis city	10.7% (0.78)	Missouri	MO
Adult	Large Fringe Metropolitan	Bates, Caldwell, Cass, Clay, Clinton, Franklin, Jefferson, Lafayette, Lincoln, Platte, Ray, St. Charles, St. Louis, Warren	9.7% (0.51)	Missouri	MO
Adult	Medium Metropolitan	Christian, Dallas, Greene, McDonald, Polk, Webster	8.3% (1.50)	Missouri	MO
Adult	Small Metropolitan	Andrew, Bollinger, Boone, Buchanan, Callaway, Cape Girardeau, Cole, DeKalb, Jasper, Moniteau, Newton, Osage	8.6% (0.90)	Missouri	MO
Adult	Micropolitan	Adair, Audrain, Butler, Clark, Dunklin, Howell, Johnson, Laclede, Lewis, Marion, Nodaway, Pettis, Phelps, Pulaski, Ralls, Randolph, St. Francois, Saline, Schuyler, Scott, Stone, Taney	9.1% (0.71)	Missouri	MO
Adult	Noncore	Atchison, Barry, Barton, Benton, Camden, Carroll, Carter, Cedar, Chariton, Cooper, Crawford, Dade, Daviess, Dent, Douglas, Gasconade, Gentry, Grundy, Harrison, Henry, Hickory, Holt, Howard, Iron, Knox, Lawrence, Linn, Livingston, Macon, Madison, Maries, Mercer, Miller, Mississippi, Monroe, Montgomery, Morgan, New Madrid, Oregon, Ozark, Pemiscot, Perry, Pike, Putnam, Reynolds, Ripley, St. Clair, Ste. Genevieve, Scotland, Shannon, Shelby, Stoddard, Sullivan, Texas, Vernon, Washington, Wayne, Worth, Wright	9.6% (0.67)	Missouri	MO
Child	Small Metropolitan	Carbon, Cascade, Golden Valley, Missoula, Yellowstone	6.1% (0.96)	Montana	MT
Child	Micropolitan	Flathead, Gallatin, Jefferson, Lewis and Clark, Silver Bow	7.2% (1.43)	Montana	MT
Child	Noncore	Beaverhead, Big Horn, Blaine, Broadwater, Carter, Chouteau, Custer, Daniels, Dawson, Deer Lodge, Fallon, Fergus, Garfield, Glacier, Granite, Hill, Judith Basin, Lake, Liberty, Lincoln, McCone, Madison, Meagher, Mineral, Musselshell, Park, Petroleum, Phillips, Pondera, Powder River, Powell, Prairie, Ravalli, Richland, Roosevelt, Rosebud, Sanders, Sheridan, Stillwater, Sweet Grass, Teton, Toole, Treasure, Valley, Wheatland, Wibaux	6.5% (0.81)	Montana	MT
Adult	Small Metropolitan	Carbon, Cascade, Golden Valley, Missoula, Yellowstone	10.1% (0.56)	Montana	MT
Adult	Micropolitan	Flathead, Gallatin, Jefferson, Lewis and Clark, Silver Bow	8.7% (0.62)	Montana	MT
Adult	Noncore	Beaverhead, Big Horn, Blaine, Broadwater, Carter, Chouteau, Custer, Daniels, Dawson, Deer Lodge, Fallon, Fergus, Garfield, Glacier, Granite, Hill, Judith Basin, Lake, Liberty, Lincoln, McCone, Madison, Meagher, Mineral, Musselshell, Park, Petroleum, Phillips, Pondera, Powder River, Powell, Prairie, Ravalli, Richland, Roosevelt, Rosebud, Sanders, Sheridan, Stillwater, Sweet Grass, Teton, Toole, Treasure, Valley, Wheatland, Wibaux	8.9% (0.44)	Montana	MT
Child	Medium Metropolitan	Cass, Douglas, Lancaster, Sarpy, Saunders, Seward, Washington	6.5% (0.57)	Nebraska	NE
Child	Small Metropolitan	Dakota, Dixon, Hall, Hamilton, Howard, Merrick	4.9% (0.86)	Nebraska	NE
Child	Micropolitan	Adams, Banner, Buffalo, Dawson, Dodge, Gage, Gosper, Kearney, Lincoln, Logan, McPherson, Madison, Pierce, Platte, Scotts Bluff, Sioux, Stanton	5.3% (0.57)	Nebraska	NE
Child	Noncore	Antelope, Arthur, Blaine, Boone, Box Butte, Boyd, Brown, Burt, Butler, Cedar, Chase, Cherry, Cheyenne, Clay, Colfax, Cuming, Custer, Dawes, Deuel, Dundy, Fillmore, Franklin, Frontier, Furnas, Garden, Garfield, Grant, Greeley, Harlan, Hayes, Hitchcock, Holt, Hooker, Jefferson, Johnson, Keith, Keya Paha, Kimball, Knox, Loup, Morrill, Nance, Nemaha, Nuckolls, Otoe, Pawnee, Perkins, Phelps, Polk, Red, Richardson, Rock, Saline, Sheridan, Sherman, Thayer, Thomas, Thurston, Valley, Wayne, Webster, Wheeler, York	4.6% (0.43)	Nebraska	NE
Adult	Medium Metropolitan	Cass, Douglas, Lancaster, Sarpy, Saunders, Seward, Washington	8.9% (0.34)	Nebraska	NE
Adult	Small Metropolitan	Dakota, Dixon, Hall, Hamilton, Howard, Merrick	6.4% (0.55)	Nebraska	NE
Adult	Micropolitan	Adams, Banner, Buffalo, Dawson, Dodge, Gage, Gosper, Kearney, Lincoln, Logan, McPherson, Madison, Pierce, Platte, Scotts Bluff, Sioux, Stanton	8.2% (0.34)	Nebraska	NE
Adult	Noncore	Antelope, Arthur, Blaine, Boone, Box Butte, Boyd, Brown, Burt, Butler, Cedar, Chase, Cherry, Cheyenne, Clay, Colfax, Cuming, Custer, Dawes, Deuel, Dundy, Fillmore, Franklin, Frontier, Furnas, Garden, Garfield, Grant, Greeley, Harlan, Hayes, Hitchcock, Holt, Hooker, Jefferson, Johnson, Keith, Keya Paha, Kimball, Knox, Loup, Morrill, Nance, Nemaha, Nuckolls, Otoe, Pawnee, Perkins, Phelps, Polk, Red, Richardson, Rock, Saline, Sheridan, Sherman, Thayer, Thomas, Thurston, Valley, Wayne, Webster, Wheeler, York	7.8% (0.28)	Nebraska	NE
Child	Large Central Metropolitan	Clark	7.4% (1.02)	Nevada	NV
Child	Medium Metropolitan	Storey, Washoe	6.2% (1.11)	Nevada	NV
Child	Micropolitan	Churchill, Douglas, Elko, Eureka, Humboldt, Lyon, Nye	4.8% (1.08)	Nevada	NV
Adult	Large Central Metropolitan	Clark	8.6% (0.55)	Nevada	NV
Adult	Medium Metropolitan	Storey, Washoe	9.5% (0.60)	Nevada	NV
Adult	Small Metropolitan	Carson	7.8% (1.48)	Nevada	NV
Adult	Micropolitan	Churchill, Douglas, Elko, Eureka, Humboldt, Lyon, Nye	8.7% (0.67)	Nevada	NV
Adult	Noncore	Esmeralda, Lander, Lincoln, Mineral, Pershing, White Pine	9.8% (1.97)	Nevada	NV
Adult	Large Fringe Metropolitan	Rockingham, Strafford	11.9% (0.71)	New Hampshire	NH
Adult	Medium Metropolitan	Hillsborough	11.8% (0.74)	New Hampshire	NH
Adult	Micropolitan	Belknap, Cheshire, Coos, Grafton, Merrimack, Sullivan	12.6% (0.58)	New Hampshire	NH
Adult	Noncore	Carroll	13.2% (1.51)	New Hampshire	NH
Child	Large Central Metropolitan	Essex, Hudson, Union	8.0% (1.39)	New Jersey	NJ
Child	Large Fringe Metropolitan	Bergen, Burlington, Camden, Gloucester, Hunterdon, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex	7.9% (0.91)	New Jersey	NJ
Child	Medium Metropolitan	Atlantic, Mercer, Warren	8.2% (2.02)	New Jersey	NJ
Child	Small Metropolitan	Cape May, Cumberland	6.7% (2.01)	New Jersey	NJ
Adult	Large Central Metropolitan	Essex, Hudson, Union	8.1% (0.64)	New Jersey	NJ
Adult	Large Fringe Metropolitan	Bergen, Burlington, Camden, Gloucester, Hunterdon, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex	8.4% (0.43)	New Jersey	NJ
Adult	Medium Metropolitan	Atlantic, Mercer, Warren	8.7% (0.98)	New Jersey	NJ
Adult	Small Metropolitan	Cape May, Cumberland	11.5% (1.57)	New Jersey	NJ
Child	Medium Metropolitan	Bernalillo, Sandoval, Torrance, Valencia	9.4% (1.30)	New Mexico	NM
Child	Small Metropolitan	Dona Ana, San Juan, Santa Fe	7.8% (0.94)	New Mexico	NM
Child	Micropolitan	Chaves, Cibola, Curry, Eddy, Grant, Lea, Los Alamos, Luna, McKinley, Otero, Rio Arriba, Roosevelt , San Miguel, Taos	8.8% (0.98)	New Mexico	NM
Child	Noncore	Catron, Colfax, De Baca, Guadalupe, Harding, Hidalgo, Lincoln, Mora, Quay, Sierra, Socorro, Union	10.1% (2.82)	New Mexico	NM
Adult	Medium Metropolitan	Bernalillo, Sandoval, Torrance, Valencia	11.3% (0.62)	New Mexico	NM
Adult	Small Metropolitan	Dona Ana, San Juan, Santa Fe	10.2% (0.54)	New Mexico	NM
Adult	Micropolitan	Chaves, Cibola, Curry, Eddy, Grant, Lea, Los Alamos, Luna, McKinley, Otero, Rio Arriba, Roosevelt , San Miguel, Taos	10.5% (0.50)	New Mexico	NM
Adult	Noncore	Catron, Colfax, De Baca, Guadalupe, Harding, Hidalgo, Lincoln, Mora, Quay, Sierra, Socorro, Union	9.5% (1.07)	New Mexico	NM
Child	Large Central Metropolitan	Bronx, Erie, Kings, Monroe, New York, Queens, Richmond	8.1% (0.86)	New York	NY
Child	Large Fringe Metropolitan	Dutchess, Livingston, Nassau, Niagara, Ontario, Orange, Orleans, Putnam, Rockland, Suffolk, Wayne, Westchester, Yates	7.2% (0.94)	New York	NY
Child	Medium Metropolitan	Albany, Herkimer, Madison, Oneida, Onondaga, Oswego, Rensselaer, Saratoga, Schenectady, Schoharie	9.4% (1.70)	New York	NY
Child	Small Metropolitan	Broome, Chemung, Jefferson, Tioga, Tompkins, Ulster, Warren, Washington	11.2% (2.77)	New York	NY
Child	Micropolitan	Cattaraugus, Cayuga, Chautauqua, Clinton, Columbia, Cortland, Franklin, Fulton, Genesee, Montgomery, Otsego, St. Lawrence, Seneca, Steuben	8.6% (1.53)	New York	NY
Child	Noncore	Allegany, Chenango, Delaware, Essex, Greene, Hamilton, Lewis, Schuyler, Sullivan, Wyoming	8.2% (2.86)	New York	NY
Adult	Large Central Metropolitan	Bronx, Erie, Kings, Monroe, New York, Queens, Richmond	9.2% (0.28)	New York	NY
Adult	Large Fringe Metropolitan	Dutchess, Livingston, Nassau, Niagara, Ontario, Orange, Orleans, Putnam, Rockland, Suffolk, Wayne, Westchester, Yates	8.7% (0.34)	New York	NY
Adult	Medium Metropolitan	Albany, Herkimer, Madison, Oneida, Onondaga, Oswego, Rensselaer, Saratoga, Schenectady, Schoharie	11.9% (0.56)	New York	NY
Adult	Small Metropolitan	Broome, Chemung, Jefferson, Tioga, Tompkins, Ulster, Warren, Washington	11.2% (0.65)	New York	NY
Adult	Micropolitan	Cattaraugus, Cayuga, Chautauqua, Clinton, Columbia, Cortland, Franklin, Fulton, Genesee, Montgomery, Otsego, St. Lawrence, Seneca, Steuben	12.7% (0.74)	New York	NY
Adult	Noncore	Allegany, Chenango, Delaware, Essex, Greene, Hamilton, Lewis, Schuyler, Sullivan, Wyoming	10.7% (0.92)	New York	NY
Adult	Large Central Metropolitan	Mecklenburg, Wake	8.3% (0.68)	North Carolina	NC
Adult	Large Fringe Metropolitan	Cabarrus, Currituck, Franklin, Gaston, Gates, Iredell, Johnston, Lincoln, Rowan, Union	10.0% (1.11)	North Carolina	NC
Adult	Medium Metropolitan	Alexander, Brunswick, Buncombe, Burke, Caldwell, Catawba, Chatham, Cumberland, Davidson, Davie, Durham, Forsyth, Guilford, Haywood, Henderson, Hoke, Madison, New Hanover, Orange, Pender, Person, Randolph, Rockingham, Stokes, Yadkin	8.6% (0.47)	North Carolina	NC
Adult	Small Metropolitan	Alamance, Craven, Edgecombe, Jones, Nash, Onslow, Pamlico, Pitt, Wayne	9.0% (0.93)	North Carolina	NC
Adult	Micropolitan	Beaufort, Camden, Carteret, Cleveland, Dare, Granville, Halifax, Harnett, Jackson, Lee, Lenoir, McDowell, Moore, Northampton, Pasquotank, Perquimans, Richmond, Robeson, Rutherford, Scotland, Stanly, Surry, Transylvania, Tyrrell, Vance, Watauga, Wilkes, Wilson	9.2% (0.67)	North Carolina	NC
Adult	Noncore	Alleghany, Anson, Ashe, Avery, Bertie, Bladen, Caswell, Cherokee, Chowan, Clay, Columbus, Duplin, Graham, Greene, Hertford, Hyde, Macon, Martin, Mitchell, Montgomery, Polk, Sampson, Swain, Warren, Washington, Yancey	9.3% (0.96)	North Carolina	NC
Adult	Small Metropolitan	Burleigh, Cass, Grand Forks, Morton, Oliver, Sioux	8.6% (0.45)	North Dakota	ND
Adult	Micropolitan	McHenry, Renville, Richland, Stark, Stutsman, Ward, Williams	8.2% (0.57)	North Dakota	ND
Adult	Noncore	Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Rolette, Sargent, Sheridan, Slope, Steele, Towner, Traill, Walsh, Wells	8.9% (0.53)	North Dakota	ND
Child	Large Central Metropolitan	Cuyahoga, Franklin, Hamilton	8.7% (0.94)	Ohio	OH
Child	Large Fringe Metropolitan	Brown, Butler, Clermont, Delaware, Fairfield, Geauga, Hocking, Lake, Licking, Lorain, Madison, Medina, Morrow, Perry, Pickaway, Union, Warren	6.0% (0.87)	Ohio	OH
Child	Medium Metropolitan	Carroll, Fulton, Greene, Lawrence, Lucas, Mahoning, Miami, Montgomery, Portage, Stark, Summit, Trumbull, Wood	9.7% (1.02)	Ohio	OH
Child	Small Metropolitan	Allen, Belmont, Clark, Jefferson, Richland	5.3% (1.04)	Ohio	OH
Child	Micropolitan	Ashland, Ashtabula, Athens, Auglaize, Champaign, Clinton, Columbiana, Coshocton, Crawford, Darke, Defiance, Erie, Fayette, Gallia, Guernsey, Hancock, Huron, Jackson, Knox, Logan, Marion, Mercer, Muskingum, Ottawa, Ross, Sandusky, Scioto, Seneca, Shelby, Tuscarawas, Van Wert, Washington, Wayne	6.8% (0.84)	Ohio	OH
Child	Noncore	Adams, Hardin, Harrison, Henry, Highland, Holmes, Meigs, Monroe, Morgan, Noble, Paulding, Pike, Preble, Putnam, Vinton, Williams, Wyandot	6.0% (1.16)	Ohio	OH
Adult	Large Central Metropolitan	Cuyahoga, Franklin, Hamilton	9.8% (0.51)	Ohio	OH
Adult	Large Fringe Metropolitan	Brown, Butler, Clermont, Delaware, Fairfield, Geauga, Hocking, Lake, Licking, Lorain, Madison, Medina, Morrow, Perry, Pickaway, Union, Warren	8.1% (0.52)	Ohio	OH
Adult	Medium Metropolitan	Carroll, Fulton, Greene, Lawrence, Lucas, Mahoning, Miami, Montgomery, Portage, Stark, Summit, Trumbull, Wood	10.5% (0.51)	Ohio	OH
Adult	Small Metropolitan	Allen, Belmont, Clark, Jefferson, Richland	10.3% (1.01)	Ohio	OH
Adult	Micropolitan	Ashland, Ashtabula, Athens, Auglaize, Champaign, Clinton, Columbiana, Coshocton, Crawford, Darke, Defiance, Erie, Fayette, Gallia, Guernsey, Hancock, Huron, Jackson, Knox, Logan, Marion, Mercer, Muskingum, Ottawa, Ross, Sandusky, Scioto, Seneca, Shelby, Tuscarawas, Van Wert, Washington, Wayne	10.4% (0.52)	Ohio	OH
Adult	Noncore	Adams, Hardin, Harrison, Henry, Highland, Holmes, Meigs, Monroe, Morgan, Noble, Paulding, Pike, Preble, Putnam, Vinton, Williams, Wyandot	7.8% (0.71)	Ohio	OH
Adult	Large Central Metropolitan	Oklahoma	10.5% (0.66)	Oklahoma	OK
Adult	Large Fringe Metropolitan	Canadian, Cleveland, Grady, Lincoln, Logan, McClain	8.4% (0.70)	Oklahoma	OK
Adult	Medium Metropolitan	Creek, Le Flore, Okmulgee, Osage, Pawnee, Rogers, Sequoyah, Tulsa, Wagoner	9.6% (0.63)	Oklahoma	OK
Adult	Small Metropolitan	Comanche, Cotton	9.7% (1.42)	Oklahoma	OK
Adult	Micropolitan	Beckham, Bryan, Carter, Cherokee, Custer, Garfield, Jackson, Kay, Muskogee, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Stephens, Texas, Washington, Woodward	11.0% (0.67)	Oklahoma	OK
Adult	Noncore	Adair, Alfalfa, Atoka, Beaver, Blaine, Caddo, Choctaw, Cimarron, Coal, Craig, Delaware, Dewey, Ellis, Garvin, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jefferson, Johnston, Kingfisher, Kiowa, Latimer, Love, McCurtain, McIntosh, Major, Marshall, Mayes, Murray, Noble, Nowata, Okfuskee, Pushmataha, Roger Mills, Seminole, Tillman, Washita, Woods	10.1% (0.68)	Oklahoma	OK
Child	Large Central Metropolitan	Multnomah	3.3% (0.80)	Oregon	OR
Child	Large Fringe Metropolitan	Clackamas, Columbia, Washington, Yamhill	5.2% (0.80)	Oregon	OR
Child	Medium Metropolitan	Lane, Marion, Polk	7.7% (1.23)	Oregon	OR
Child	Small Metropolitan	Benton, Deschutes, Jackson, Josephine, Linn	8.0% (1.28)	Oregon	OR
Child	Micropolitan	Clatsop, Coos, Crook, Curry, Douglas, Hood River, Klamath, Lincoln, Malheur, Morrow, Umatilla, Union, Wasco	8.2% (2.03)	Oregon	OR
Child	Noncore	Baker, Gilliam, Grant, Harney, Jefferson, Lake, Sherman, Tillamook, Wallowa, Wheeler	4.6% (1.95)	Oregon	OR
Adult	Large Central Metropolitan	Multnomah	10.2% (0.65)	Oregon	OR
Adult	Large Fringe Metropolitan	Clackamas, Columbia, Washington, Yamhill	9.8% (0.53)	Oregon	OR
Adult	Medium Metropolitan	Lane, Marion, Polk	12.2% (0.68)	Oregon	OR
Adult	Small Metropolitan	Benton, Deschutes, Jackson, Josephine, Linn	12.3% (0.77)	Oregon	OR
