COUNTRY,Country,Resource,Stocks and flows,Class,Year,Unit,Value
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2020,Cubic metres,2477.3
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2021,Cubic metres,2483.2
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2000,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2001,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2002,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2003,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2004,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2005,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2006,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2007,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2008,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2009,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2010,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2011,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2012,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2013,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2014,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2015,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2016,Cubic metres,-0.1
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2017,Cubic metres,0.1
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2018,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2019,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2020,Cubic metres,0
CAN,Canada,Natural gas,Discrepancies,Class A - Commercially recoverable resources,2021,Cubic metres,0
CAN,Canada,Hard coal,Opening stock,Class A - Commercially recoverable resources,2000,Tonnes,3.079
CAN,Canada,Hard coal,Extractions,Class A - Commercially recoverable resources,2000,Tonnes,0.034
CAN,Canada,Hard coal,Downward reappraisals,Class A - Commercially recoverable resources,2000,Tonnes,0.667
CAN,Canada,Hard coal,Total reductions in stock,Class A - Commercially recoverable resources,2000,Tonnes,0.701
CAN,Canada,Hard coal,Closing stock,Class A - Commercially recoverable resources,2000,Tonnes,2.378
CAN,Canada,Hard coal,Discrepancies,Class A - Commercially recoverable resources,2000,Tonnes,0
CAN,Canada,Brown coal,Opening stock,Class A - Commercially recoverable resources,2000,Tonnes,2.423
CAN,Canada,Brown coal,Extractions,Class A - Commercially recoverable resources,2000,Tonnes,0.035
CAN,Canada,Brown coal,Downward reappraisals,Class A - Commercially recoverable resources,2000,Tonnes,0.043
CAN,Canada,Brown coal,Total reductions in stock,Class A - Commercially recoverable resources,2000,Tonnes,0.078
CAN,Canada,Brown coal,Closing stock,Class A - Commercially recoverable resources,2000,Tonnes,2.345
CAN,Canada,Brown coal,Discrepancies,Class A - Commercially recoverable resources,2000,Tonnes,0
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2000,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2001,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2002,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2003,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2004,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2005,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2006,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2007,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2008,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2009,Tonnes,1.692
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2010,Tonnes,3.194
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2011,Tonnes,3.159
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2012,Tonnes,3.123
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2013,Tonnes,3.283
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2014,Tonnes,3.559
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2015,Tonnes,4.141
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2016,Tonnes,3.005
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2017,Tonnes,2.959
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2018,Tonnes,2.902
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2019,Tonnes,3.523
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2020,Tonnes,3.468
CAN,Canada,Iron-Ore,Opening stock,Class A - Commercially recoverable resources,2021,Tonnes,3.409
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2000,Tonnes,0.035
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2001,Tonnes,0.027
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2002,Tonnes,0.031
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2003,Tonnes,0.033
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2004,Tonnes,0.029
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2005,Tonnes,0.03
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2006,Tonnes,0.034
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2007,Tonnes,0.033
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2008,Tonnes,0.032
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2009,Tonnes,1.534
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2010,Tonnes,0.001
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2012,Tonnes,0.199
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2013,Tonnes,0.318
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2014,Tonnes,0.625
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2016,Tonnes,0.001
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2018,Tonnes,0.674
CAN,Canada,Iron-Ore,Upward reappraisals,Class A - Commercially recoverable resources,2019,Tonnes,0.001
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2000,Tonnes,0.035
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2001,Tonnes,0.027
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2002,Tonnes,0.031
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2003,Tonnes,0.033
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2004,Tonnes,0.029
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2005,Tonnes,0.03
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2006,Tonnes,0.034
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2007,Tonnes,0.033
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2008,Tonnes,0.032
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2009,Tonnes,1.534
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2010,Tonnes,0.001
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2012,Tonnes,0.199
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2013,Tonnes,0.318
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2014,Tonnes,0.625
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2016,Tonnes,0.001
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2018,Tonnes,0.674
CAN,Canada,Iron-Ore,Total additions to stock,Class A - Commercially recoverable resources,2019,Tonnes,0.001
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2000,Tonnes,0.035
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2001,Tonnes,0.027
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2002,Tonnes,0.031
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2003,Tonnes,0.033
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2004,Tonnes,0.029
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2005,Tonnes,0.03
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2006,Tonnes,0.034
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2007,Tonnes,0.033
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2008,Tonnes,0.031
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2009,Tonnes,0.032
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2010,Tonnes,0.034
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2011,Tonnes,0.036
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2012,Tonnes,0.039
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2013,Tonnes,0.042
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2014,Tonnes,0.043
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2015,Tonnes,0.046
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2016,Tonnes,0.047
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2017,Tonnes,0.043
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2018,Tonnes,0.053
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2019,Tonnes,0.056
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2020,Tonnes,0.059
CAN,Canada,Iron-Ore,Extractions,Class A - Commercially recoverable resources,2021,Tonnes,0.058
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2000,Tonnes,0.035
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2001,Tonnes,0.027
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2002,Tonnes,0.031
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2003,Tonnes,0.033
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2004,Tonnes,0.029
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2005,Tonnes,0.03
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2006,Tonnes,0.034
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2007,Tonnes,0.033
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2008,Tonnes,0.031
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2009,Tonnes,0.032
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2010,Tonnes,0.034
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2011,Tonnes,0.036
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2012,Tonnes,0.039
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2013,Tonnes,0.042
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2014,Tonnes,0.043
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2015,Tonnes,1.136
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2016,Tonnes,0.047
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2017,Tonnes,0.057
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2018,Tonnes,0.053
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2019,Tonnes,0.056
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2020,Tonnes,0.059
CAN,Canada,Iron-Ore,Total reductions in stock,Class A - Commercially recoverable resources,2021,Tonnes,0.058
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2000,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2001,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2002,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2003,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2004,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2005,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2006,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2007,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2008,Tonnes,1.692
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2009,Tonnes,3.194
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2010,Tonnes,3.159
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2011,Tonnes,3.123
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2012,Tonnes,3.283
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2013,Tonnes,3.559
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2014,Tonnes,4.141
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2015,Tonnes,3.005
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2016,Tonnes,2.959
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2017,Tonnes,2.902
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2018,Tonnes,3.523
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2019,Tonnes,3.468
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2020,Tonnes,3.409
CAN,Canada,Iron-Ore,Closing stock,Class A - Commercially recoverable resources,2021,Tonnes,3.351
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2000,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2001,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2002,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2003,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2004,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2005,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2006,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2007,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2008,Tonnes,-0.001
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2009,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2010,Tonnes,-0.002
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2011,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2012,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2013,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2014,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2015,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2016,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2017,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2018,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2019,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2020,Tonnes,0
CAN,Canada,Iron-Ore,Discrepancies,Class A - Commercially recoverable resources,2021,Tonnes,0
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2000,Tonnes,7.763
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2001,Tonnes,7.419
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2002,Tonnes,6.666
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2003,Tonnes,6.774
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2004,Tonnes,6.037
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2005,Tonnes,5.546
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2006,Tonnes,6.589
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2007,Tonnes,6.923
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2008,Tonnes,7.565
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2009,Tonnes,7.456
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2010,Tonnes,7.29
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2011,Tonnes,8.851
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2012,Tonnes,10.57
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2013,Tonnes,10.364
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2014,Tonnes,10.777
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2015,Tonnes,10.215
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2016,Tonnes,9.937
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2017,Tonnes,9.101
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2018,Tonnes,8.984
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2019,Tonnes,8.115
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2020,Tonnes,7.348
CAN,Canada,Copper,Opening stock,Class A - Commercially recoverable resources,2021,Tonnes,7.001
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2000,Tonnes,0.278
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2002,Tonnes,0.692
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2004,Tonnes,0.054
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2005,Tonnes,1.62
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2006,Tonnes,0.921
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2007,Tonnes,1.22
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2008,Tonnes,0.475
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2009,Tonnes,0.304
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2010,Tonnes,2.069
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2011,Tonnes,2.273
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2012,Tonnes,0.355
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2013,Tonnes,1.034
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2014,Tonnes,0.092
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2015,Tonnes,0.42
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2017,Tonnes,0.463
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2020,Tonnes,0.232
CAN,Canada,Copper,Upward reappraisals,Class A - Commercially recoverable resources,2021,Tonnes,1.161
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2000,Tonnes,0.278
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2002,Tonnes,0.692
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2004,Tonnes,0.054
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2005,Tonnes,1.62
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2006,Tonnes,0.921
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2007,Tonnes,1.22
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2008,Tonnes,0.475
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2009,Tonnes,0.304
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2010,Tonnes,2.069
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2011,Tonnes,2.273
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2012,Tonnes,0.355
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2013,Tonnes,1.034
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2014,Tonnes,0.092
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2015,Tonnes,0.42
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2017,Tonnes,0.463
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2020,Tonnes,0.232
CAN,Canada,Copper,Total additions to stock,Class A - Commercially recoverable resources,2021,Tonnes,1.161
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2000,Tonnes,0.622
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2001,Tonnes,0.614
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2002,Tonnes,0.584
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2003,Tonnes,0.541
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2004,Tonnes,0.545
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2005,Tonnes,0.577
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2006,Tonnes,0.587
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2007,Tonnes,0.578
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2008,Tonnes,0.584
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2009,Tonnes,0.47
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2010,Tonnes,0.508
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2011,Tonnes,0.554
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2012,Tonnes,0.561
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2013,Tonnes,0.621
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2014,Tonnes,0.655
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2015,Tonnes,0.697
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2016,Tonnes,0.708
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2017,Tonnes,0.58
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2018,Tonnes,0.528
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2019,Tonnes,0.557
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2020,Tonnes,0.579
CAN,Canada,Copper,Extractions,Class A - Commercially recoverable resources,2021,Tonnes,0.542
CAN,Canada,Copper,Downward reappraisals,Class A - Commercially recoverable resources,2001,Tonnes,0.139
CAN,Canada,Copper,Downward reappraisals,Class A - Commercially recoverable resources,2003,Tonnes,0.196
CAN,Canada,Copper,Downward reappraisals,Class A - Commercially recoverable resources,2016,Tonnes,0.129
CAN,Canada,Copper,Downward reappraisals,Class A - Commercially recoverable resources,2018,Tonnes,0.342
CAN,Canada,Copper,Downward reappraisals,Class A - Commercially recoverable resources,2019,Tonnes,0.21
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2000,Tonnes,0.622
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2001,Tonnes,0.753
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2002,Tonnes,0.584
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2003,Tonnes,0.737
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2004,Tonnes,0.545
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2005,Tonnes,0.577
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2006,Tonnes,0.587
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2007,Tonnes,0.578
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2008,Tonnes,0.584
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2009,Tonnes,0.47
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2010,Tonnes,0.508
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2011,Tonnes,0.554
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2012,Tonnes,0.561
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2013,Tonnes,0.621
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2014,Tonnes,0.655
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2015,Tonnes,0.697
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2016,Tonnes,0.836
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2017,Tonnes,0.58
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2018,Tonnes,0.869
CAN,Canada,Copper,Total reductions in stock,Class A - Commercially recoverable resources,2019,Tonnes,0.767
