original,replacement,diseases,dcid,sameAs
Shiga toxin-producing  E. coli  (STEC)  †;Current  week,Current week;Shiga toxin-producing Escherichia Coli,Shiga toxin-producing Escherichia Coli,ShigaToxinEColi,
Shiga toxin-producing  E. coli  (STEC) §;Current  week,Current week;Shiga toxin-producing Escherichia Coli,Shiga toxin-producing Escherichia Coli,ShigaToxinEColi,
Shiga toxin-producing  Escherichia coli;Current  week,Current week;Shiga toxin-producing Escherichia Coli,Shiga toxin-producing Escherichia Coli,ShigaToxinEColi,
;Shigellosis;Current  week,Current week;Shigellosis,Shigellosis,Shigellosis,bio/DOID_12385
Shigellosis;Current  week,Current week;Shigellosis,Shigellosis,Shigellosis,bio/DOID_12385
Shigellosis;Current week,Current week;Shigellosis,Shigellosis,Shigellosis,bio/DOID_12385
Spotted Fever Rickettsiosis §;Confirmed;Current  week,Spotted fever rickettsiosis;Confirmed;Current week,Spotted fever rickettsiosis,SpottedFeverRickettsiosis,
Spotted Fever Rickettsiosis §;Probable;Current  week,Spotted fever rickettsiosis;Probable;Current week,Spotted fever rickettsiosis,SpottedFeverRickettsiosis,
Spotted fever rickettsiosis;Confirmed;Current  week,Spotted fever rickettsiosis;Confirmed;Current week,Spotted fever rickettsiosis,SpottedFeverRickettsiosis,
Spotted fever rickettsiosis;Probable;Current  week,Spotted fever rickettsiosis;Probable;Current week,Spotted fever rickettsiosis,SpottedFeverRickettsiosis,
Rocky Mountain spotted fever;Current week,Current week;spotted fever rickettsiosis including RMSF;Confirmed,spotted fever rickettsiosis including RMSF,SpottedFeverRickettsiosisIncludingRockyMountainSpottedFever,
Rocky Mountain spotted fever;Current  week,Current week;spotted fever rickettsiosis including RMSF;Confirmed,spotted fever rickettsiosis including RMSF,SpottedFeverRickettsiosisIncludingRockyMountainSpottedFever,
Spotted Fever Rickettsiosis (including RMSF)  §;Confirmed;Current  week,Current week;spotted fever rickettsiosis including RMSF;Confirmed,spotted fever rickettsiosis including RMSF,SpottedFeverRickettsiosisIncludingRockyMountainSpottedFever,
Spotted Fever Rickettsiosis (including RMSF)  §;Probable;Current  week,Current week;spotted fever rickettsiosis including RMSF;Pobable,spotted fever rickettsiosis including RMSF,SpottedFeverRickettsiosisIncludingRockyMountainSpottedFever,
Spotted Fever Rickettsiosis (including RMSF)  †;Confirmed;Current  week,Current week;spotted fever rickettsiosis including RMSF;Confirmed,spotted fever rickettsiosis including RMSF,SpottedFeverRickettsiosisIncludingRockyMountainSpottedFever,
Spotted Fever Rickettsiosis (including RMSF)  †;Probable;Current  week,Current week;spotted fever rickettsiosis including RMSF;Pobable,spotted fever rickettsiosis including RMSF,SpottedFeverRickettsiosisIncludingRockyMountainSpottedFever,
"Arboviral diseases, neuroinvasive and non-neuroinvasive (continued);St. Louis encephalitis virus disease;Current  week",Current week;St. Louis encephalitis virus disease,St. Louis encephalitis virus disease,StLouisEncephalitis,bio/DOID_10845
Arboviral diseases;St. Louis encephalitis virus disease;Current week,Current week;St. Louis encephalitis virus disease,St. Louis encephalitis virus disease,StLouisEncephalitis,bio/DOID_10845
Invasive Pneumococcal Disease  §;All Ages;Current  week,Current week;Invasive disease;pneumococcal disease,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease  †;All Ages;Current  week,Current week;Invasive disease;pneumococcal disease,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease  §;Age < 5;Current  week,Current week;Invasive disease;pneumococcal disease;age <5 years,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease  †;Age < 5;Current  week,Current week;Invasive disease;pneumococcal disease;age <5 years,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease §  Age < 5;Confirmed;Current  week,Current week;Invasive disease;pneumococcal disease;age <5 years;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease §  Age < 5;Probable;Current  week,Current week;Invasive disease;pneumococcal disease;age <5 years;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease §  All Ages;Confirmed;Current  week,Current week;Invasive disease;pneumococcal disease;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
Invasive Pneumococcal Disease §  All Ages;Probable;Current  week,Current week;Invasive disease;pneumococcal disease;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, age <5 §;Confirmed;Current  week",Current week;Invasive disease;pneumococcal disease;age <5 years;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, age <5 §;Probable;Current  week",Current week;Invasive disease;pneumococcal disease;age <5 years;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, age <5 †;Confirmed;Current  week",Current week;Invasive disease;pneumococcal disease;age <5 years;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, age <5 †;Probable;Current  week",Current week;Invasive disease;pneumococcal disease;age <5 years;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, age <5 years §;Confirmed;Current week",Current week;Invasive disease;pneumococcal disease;age <5 years;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, age <5 years §;Probable;Current week",Current week;Invasive disease;pneumococcal disease;age <5 years;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, all ages §;Confirmed;Current  week",Current week;Invasive disease;pneumococcal disease;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, all ages §;Confirmed;Current week",Current week;Invasive disease;pneumococcal disease;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, all ages §;Probable;Current  week",Current week;Invasive disease;pneumococcal disease;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, all ages §;Probable;Current week",Current week;Invasive disease;pneumococcal disease;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, all ages †;Confirmed;Current  week",Current week;Invasive disease;pneumococcal disease;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Invasive pneumococcal disease, all ages †;Probable;Current  week",Current week;Invasive disease;pneumococcal disease;Probable,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  , invasive disease  †  Age <5 years;Current  week",Current week;Invasive disease;pneumococcal disease;age <5 years,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  , invasive disease  †;Age <5 years;Current  week",Current week;Invasive disease;pneumococcal disease;age <5 years,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  , invasive disease  †;All ages;Current  week",Current week;Invasive disease;pneumococcal disease;Confirmed,pneumococcal disease,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  , invasive disease, drug resistant  †;Age <5 years;Current  week",Age <5 years;Streptococcus pneumoniae;drug resistant;invasive disease;Current week,Streptococcus pneumonia,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  , invasive disease, drug resistant  †;All ages;Current  week",Streptococcus pneumoniae;drug resistant;invasive disease;Current week,Streptococcus pneumonia,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  , invasive disease, nondrug resistant  †  Age <5 years;Current  week",Age <5 years;Streptococcus pneumoniae;nondrug resistant;invasive disease;Current week,Streptococcus pneumonia,StreptococcusPneumonia,bio/DOID_0040084
"Streptococcus pneumoniae  ,invasive disease  Drug resistant, all ages;Current  week",Streptococcus pneumoniae;drug resistant;invasive disease;Current week,Streptococcus pneumonia,StreptococcusPneumonia,bio/DOID_0040084
";Syphilis, primary & secondary;Current  week",Current week;Syphilis primary and secondary,Syphilis primary and secondary,SyphilisPrimaryAndSecondary,
"Spotted Fever Rickettsiosis §;Syphilis, primary & secondary;Current  week",Current week;Syphilis primary and secondary,Syphilis primary and secondary,SyphilisPrimaryAndSecondary,
"Syphilis, primary & secondary;Current  week",Current week;Syphilis primary and secondary,Syphilis primary and secondary,SyphilisPrimaryAndSecondary,
"Syphilis, primary and secondary;Current  week",Current week;Syphilis primary and secondary,Syphilis primary and secondary,SyphilisPrimaryAndSecondary,
Tetanus;Current  week,Current week;Tetanus,Tetanus,Tetanus,bio/DOID_11338
"Streptococcal disease, invasive, group A;Current  week",Current week;Invasive disease;Streptococcal disease;serogroup A,Streptococcal disease,StreptococcalToxicShockSyndrome,
Tuberculosis  †;Current  quarter,Current quarter;Tuberculosis,Tuberculosis,Tuberculosis,bio/DOID_399
Tuberculosis †;Current  quarter,Current quarter;Tuberculosis,Tuberculosis,Tuberculosis,bio/DOID_399
Tuberculosis;Current  quarter,Current quarter;Tuberculosis,Tuberculosis,Tuberculosis,bio/DOID_399
Vibriosis  §;Current  week,Current week;Vibriosis except cholera;Confirmed,Vibriosis except cholera,VibriosisExcludingCholera,
"Vibriosis (any species of the family  Vibrionaceae  , other than toxigenic  Vibrio cholerae  O1 or O139);Confirmed;Current  week",Current week;Vibriosis except cholera;Confirmed,Vibriosis except cholera,VibriosisExcludingCholera,
"Vibriosis (any species of the family  Vibrionaceae  , other than toxigenic  Vibrio cholerae  O1 or O139);Probable;Current  week",Current week;Vibriosis except cholera;Probable,Vibriosis except cholera,VibriosisExcludingCholera,
"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139) §;Confirmed;Current  week",Current week;Vibriosis except cholera;Confirmed,Vibriosis except cholera,VibriosisExcludingCholera,
"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139) §;Probable;Current  week",Current week;Vibriosis except cholera;Probable,Vibriosis except cholera,VibriosisExcludingCholera,
"Arboviral diseases, neuroinvasive and non-neuroinvasive (continued);Western equine encephalitis virus disease;Current  week",Current week;Western equine encephalitis virus disease,Western equine encephalitis virus disease,WesternEquineEncephalitis,bio/DOID_10843
Arboviral diseases;Western equine encephalitis virus disease;Current week,Current week;Western equine encephalitis virus disease,Western equine encephalitis virus disease,WesternEquineEncephalitis,bio/DOID_10843
"Arboviral diseases, neuroinvasive and non-neuroinvasive (continued);West Nile virus disease;Current  week",West Nile virus disease;Current week,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
Arboviral diseases;West Nile virus disease;Current week,West Nile virus disease;Current week,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease  §;Neuroinvasive;Current  week,Current week;West Nile virus disease;Neuroinvasive,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease  §;Non-neuroinvasive  ¶;Current  week,Non-neuroinvasive ;Current week;West Nile virus disease,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease  †;Neuroinvasive;Current  week,Current week;West Nile virus disease;Neuroinvasive,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease  †;Non-neuroinvasive  §;Current  week,Non-neuroinvasive ;Current week;West Nile virus disease,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease  †;Non-neuroinvasive;Current  week,Non-neuroinvasive ;Current week;West Nile virus disease,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease §;Neuroinvasive;Current  week,Current week;West Nile virus disease;Neuroinvasive,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease §;Non-neuroinvasive ¶;Current  week,Non-neuroinvasive ;Current week;West Nile virus disease,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease;Neuroinvasive;Current  week,Current week;West Nile virus disease;Neuroinvasive,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
West Nile virus disease;Non-neuroinvasive †;Current  week,Non-neuroinvasive ;Current week;West Nile virus disease,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
Botulism;Other (wound & unspecified);Current  week,Other wound & unspecified Botulism;Current week,Other wound & unspecified Botulism,WoundBotulism,bio/DOID_0050353
Botulism;Other (wound & unspecified);Current week,Other wound & unspecified Botulism;Current week,Other wound & unspecified Botulism,WoundBotulism,bio/DOID_0050353
"Zika virus disease, non-congenital;Current  week",Current week;Zika virus disease;non-congenital,Zika virus disease,ZikaVirusDisease,bio/DOID_0060478
