atc_code,atc_name,ddd,uom,adm_r,note
C07BB,"Beta blocking agents, selective, and thiazides",NA,NA,NA,NA
C07BB02,metoprolol and thiazides,NA,NA,NA,NA
C07BB03,atenolol and thiazides,NA,NA,NA,NA
C07BB04,acebutolol and thiazides,NA,NA,NA,NA
C07BB06,bevantolol and thiazides,NA,NA,NA,NA
C07BB07,bisoprolol and thiazides,NA,NA,NA,NA
C07BB12,nebivolol and thiazides,NA,NA,NA,NA
C07BB52,"metoprolol and thiazides, combinations",NA,NA,NA,NA
C07BG,Alpha and beta blocking agents and thiazides,NA,NA,NA,NA
C07BG01,labetalol and thiazides,NA,NA,NA,NA
C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,NA,NA,NA,NA
C07CA,"Beta blocking agents, non-selective, and other diuretics",NA,NA,NA,NA
C07CA02,oxprenolol and other diuretics,NA,NA,NA,NA
C07CA03,pindolol and other diuretics,NA,NA,NA,NA
C07CA17,bopindolol and other diuretics,NA,NA,NA,NA
C07CA23,penbutolol and other diuretics,NA,NA,NA,NA
C07CB,"Beta blocking agents, selective, and other diuretics",NA,NA,NA,NA
C07CB02,metoprolol and other diuretics,NA,NA,NA,NA
C07CB03,atenolol and other diuretics,NA,NA,NA,NA
C07CB53,"atenolol and other diuretics, combinations",NA,NA,NA,NA
C07CG,Alpha and beta blocking agents and other diuretics,NA,NA,NA,NA
C07CG01,labetalol and other diuretics,NA,NA,NA,NA
C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",NA,NA,NA,NA
C07DA,"Beta blocking agents, non-selective, thiazides and other diuretics",NA,NA,NA,NA
C07DA06,"timolol, thiazides and other diuretics",NA,NA,NA,NA
C07DB,"Beta blocking agents, selective, thiazides and other diuretics",NA,NA,NA,NA
C07DB01,"atenolol, thiazides and other diuretics",NA,NA,NA,NA
C07E,BETA BLOCKING AGENTS AND VASODILATORS,NA,NA,NA,NA
C07EA,"Beta blocking agents, non-selective, and vasodilators",NA,NA,NA,NA
C07EB,"Beta blocking agents, selective, and vasodilators",NA,NA,NA,NA
C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",NA,NA,NA,NA
C07FB,Beta blocking agents and calcium channel blockers,NA,NA,NA,NA
C07FB02,metoprolol and felodipine,NA,NA,NA,NA
C07FB03,atenolol and nifedipine,NA,NA,NA,NA
C07FB07,bisoprolol and amlodipine,NA,NA,NA,NA
C07FB12,nebivolol and amlodipine,NA,NA,NA,NA
C07FB13,metoprolol and amlodipine,NA,NA,NA,NA
C07FX,"Beta blocking agents, other combinations",NA,NA,NA,NA
C07FX01,propranolol and other combinations,NA,NA,NA,NA
C07FX02,sotalol and acetylsalicylic acid,NA,NA,NA,NA
C07FX03,metoprolol and acetylsalicylic acid,NA,NA,NA,NA
C07FX04,bisoprolol and acetylsalicylic acid,NA,NA,NA,NA
C07FX05,metoprolol and ivabradine,NA,NA,NA,NA
C07FX06,carvedilol and ivabradine,NA,NA,NA,NA
C08,CALCIUM CHANNEL BLOCKERS,NA,NA,NA,NA
C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,NA,NA,NA,NA
C08CA,Dihydropyridine derivatives,NA,NA,NA,NA
C08CA01,amlodipine,5,mg,O,NA
C08CA02,felodipine,5,mg,O,NA
C08CA03,isradipine,5,mg,O,NA
C08CA03,isradipine,5,mg,P,NA
C08CA04,nicardipine,90,mg,O,NA
C08CA04,nicardipine,90,mg,P,NA
C08CA05,nifedipine,30,mg,O,NA
C08CA05,nifedipine,30,mg,P,NA
C08CA06,nimodipine,0.3,g,O,NA
C08CA06,nimodipine,50,mg,P,NA
C08CA07,nisoldipine,20,mg,O,NA
C08CA08,nitrendipine,20,mg,O,NA
C08CA09,lacidipine,4,mg,O,NA
C08CA10,nilvadipine,8,mg,O,NA
C08CA11,manidipine,10,mg,O,NA
C08CA12,barnidipine,10,mg,O,NA
C08CA13,lercanidipine,10,mg,O,NA
C08CA14,cilnidipine,10,mg,O,NA
C08CA15,benidipine,NA,NA,NA,NA
C08CA16,clevidipine,NA,NA,NA,NA
C08CA17,levamlodipine,NA,NA,NA,NA
C08CA51,amlodipine and celecoxib,NA,NA,NA,NA
C08CA55,"nifedipine, combinations",NA,NA,NA,NA
C08CX,Other selective calcium channel blockers with mainly vascular effects,NA,NA,NA,NA
C08CX01,mibefradil,75,mg,O,NA
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,NA,NA,NA,NA
C08DA,Phenylalkylamine derivatives,NA,NA,NA,NA
C08DA01,verapamil,0.24,g,O,NA
C08DA01,verapamil,0.24,g,P,NA
C08DA02,gallopamil,NA,NA,NA,NA
C08DA51,"verapamil, combinations",NA,NA,NA,NA
C08DB,Benzothiazepine derivatives,NA,NA,NA,NA
C08DB01,diltiazem,0.24,g,O,NA
C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,NA,NA,NA,NA
C08EA,Phenylalkylamine derivatives,NA,NA,NA,NA
C08EA01,fendiline,NA,NA,NA,NA
C08EA02,bepridil,0.3,g,O,NA
C08EX,Other non-selective calcium channel blockers,NA,NA,NA,NA
C08EX01,lidoflazine,0.18,g,O,NA
C08EX02,perhexiline,0.2,g,O,NA
C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,NA,NA,NA,NA
C08GA,Calcium channel blockers and diuretics,NA,NA,NA,NA
C08GA01,nifedipine and diuretics,NA,NA,NA,NA
C08GA02,amlodipine and diuretics,NA,NA,NA,NA
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,NA,NA,NA,NA
C09A,"ACE INHIBITORS, PLAIN",NA,NA,NA,NA
C09AA,"ACE inhibitors, plain",NA,NA,NA,NA
C09AA01,captopril,50,mg,O,NA
C09AA02,enalapril,10,mg,O,NA
C09AA02,enalapril,10,mg,P,NA
C09AA03,lisinopril,10,mg,O,NA
C09AA04,perindopril,4,mg,O,NA
C09AA05,ramipril,2.5,mg,O,NA
C09AA06,quinapril,15,mg,O,NA
C09AA06,quinapril,15,mg,P,NA
C09AA07,benazepril,7.5,mg,O,NA
C09AA08,cilazapril,2.5,mg,O,NA
C09AA09,fosinopril,15,mg,O,NA
C09AA10,trandolapril,2,mg,O,NA
C09AA11,spirapril,6,mg,O,NA
C09AA12,delapril,30,mg,O,NA
C09AA13,moexipril,15,mg,O,NA
C09AA14,temocapril,10,mg,O,NA
C09AA15,zofenopril,30,mg,O,NA
C09AA16,imidapril,10,mg,O,NA
C09B,"ACE INHIBITORS, COMBINATIONS",NA,NA,NA,NA
C09BA,ACE inhibitors and diuretics,NA,NA,NA,NA
C09BA01,captopril and diuretics,NA,NA,NA,NA
C09BA02,enalapril and diuretics,NA,NA,NA,NA
C09BA03,lisinopril and diuretics,NA,NA,NA,NA
C09BA04,perindopril and diuretics,NA,NA,NA,NA
C09BA05,ramipril and diuretics,NA,NA,NA,NA
C09BA06,quinapril and diuretics,NA,NA,NA,NA
C09BA07,benazepril and diuretics,NA,NA,NA,NA
C09BA08,cilazapril and diuretics,NA,NA,NA,NA
C09BA09,fosinopril and diuretics,NA,NA,NA,NA
C09BA12,delapril and diuretics,NA,NA,NA,NA
C09BA13,moexipril and diuretics,NA,NA,NA,NA
C09BA15,zofenopril and diuretics,NA,NA,NA,NA
C09BB,ACE inhibitors and calcium channel blockers,NA,NA,NA,NA
C09BB02,enalapril and lercanidipine,NA,NA,NA,NA
C09BB03,lisinopril and amlodipine,NA,NA,NA,NA
C09BB04,perindopril and amlodipine,NA,NA,NA,NA
C09BB05,ramipril and felodipine,NA,NA,NA,NA
C09BB06,enalapril and nitrendipine,NA,NA,NA,NA
C09BB07,ramipril and amlodipine,NA,NA,NA,NA
C09BB10,trandolapril and verapamil,NA,NA,NA,NA
C09BB12,delapril and manidipine,NA,NA,NA,NA
C09BB13,benazepril and amlodipine,NA,NA,NA,NA
C09BX,"ACE inhibitors, other combinations",NA,NA,NA,NA
C09BX01,"perindopril, amlodipine and indapamide",NA,NA,NA,NA
C09BX02,perindopril and bisoprolol,NA,NA,NA,NA
C09BX03,"ramipril, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C09BX04,"perindopril, bisoprolol and amlodipine",NA,NA,NA,NA
C09BX05,ramipril and bisoprolol,NA,NA,NA,NA
C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",NA,NA,NA,NA
C09CA,"Angiotensin II receptor blockers (ARBs), plain",NA,NA,NA,NA
C09CA01,losartan,50,mg,O,NA
C09CA02,eprosartan,0.6,g,O,NA
C09CA03,valsartan,80,mg,O,NA
C09CA04,irbesartan,0.15,g,O,NA
C09CA05,tasosartan,NA,NA,NA,NA
C09CA06,candesartan,8,mg,O,NA
C09CA07,telmisartan,40,mg,O,NA
C09CA08,olmesartan medoxomil,20,mg,O,NA
C09CA09,azilsartan medoxomil,40,mg,O,NA
C09CA10,fimasartan,60,mg,O,NA
C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",NA,NA,NA,NA
C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,NA,NA,NA,NA
C09DA01,losartan and diuretics,NA,NA,NA,NA
C09DA02,eprosartan and diuretics,NA,NA,NA,NA
C09DA03,valsartan and diuretics,NA,NA,NA,NA
C09DA04,irbesartan and diuretics,NA,NA,NA,NA
C09DA06,candesartan and diuretics,NA,NA,NA,NA
C09DA07,telmisartan and diuretics,NA,NA,NA,NA
C09DA08,olmesartan medoxomil and diuretics,NA,NA,NA,NA
C09DA09,azilsartan medoxomil and diuretics,NA,NA,NA,NA
C09DA10,fimasartan and diuretics,NA,NA,NA,NA
C09DB,Angiotensin II receptor blockers (ARBs) and calcium channel blockers,NA,NA,NA,NA
C09DB01,valsartan and amlodipine,NA,NA,NA,NA
C09DB02,olmesartan medoxomil and amlodipine,NA,NA,NA,NA
C09DB04,telmisartan and amlodipine,NA,NA,NA,NA
C09DB05,irbesartan and amlodipine,NA,NA,NA,NA
C09DB06,losartan and amlodipine,NA,NA,NA,NA
C09DB07,candesartan and amlodipine,NA,NA,NA,NA
C09DB08,valsartan and lercanidipine,NA,NA,NA,NA
C09DB09,fimasartan and amlodipine,NA,NA,NA,NA
C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",NA,NA,NA,NA
C09DX01,"valsartan, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C09DX02,valsartan and aliskiren,NA,NA,NA,NA
C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C09DX04,valsartan and sacubitril,NA,NA,NA,NA
C09DX05,valsartan and nebivolol,NA,NA,NA,NA
C09DX06,"candesartan, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C09DX07,"irbesartan, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C09DX08,"telmisartan, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,NA,NA,NA,NA
C09XA,Renin-inhibitors,NA,NA,NA,NA
C09XA01,remikiren,NA,NA,NA,NA
C09XA02,aliskiren,0.15,g,O,NA
C09XA52,aliskiren and hydrochlorothiazide,NA,NA,NA,NA
C09XA53,aliskiren and amlodipine,NA,NA,NA,NA
C09XA54,"aliskiren, amlodipine and hydrochlorothiazide",NA,NA,NA,NA
C10,LIPID MODIFYING AGENTS,NA,NA,NA,NA
C10A,"LIPID MODIFYING AGENTS, PLAIN",NA,NA,NA,NA
C10AA,HMG CoA reductase inhibitors,NA,NA,NA,NA
C10AA01,simvastatin,30,mg,O,NA
C10AA02,lovastatin,45,mg,O,NA
C10AA03,pravastatin,30,mg,O,NA
C10AA04,fluvastatin,60,mg,O,NA
C10AA05,atorvastatin,20,mg,O,NA
C10AA06,cerivastatin,0.2,mg,O,NA
C10AA07,rosuvastatin,10,mg,O,NA
C10AA08,pitavastatin,2,mg,O,NA
C10AB,Fibrates,NA,NA,NA,NA
C10AB01,clofibrate,2,g,O,NA
C10AB02,bezafibrate,0.6,g,O,NA
C10AB03,aluminium clofibrate,NA,NA,NA,NA
C10AB04,gemfibrozil,1.2,g,O,NA
C10AB05,fenofibrate,0.2,g,O,micronised
C10AB06,simfibrate,NA,NA,NA,NA
C10AB07,ronifibrate,NA,NA,NA,NA
C10AB08,ciprofibrate,0.1,g,O,NA
C10AB09,etofibrate,NA,NA,NA,NA
C10AB10,clofibride,NA,NA,NA,NA
C10AB11,choline fenofibrate,0.135,g,O,Refers to fenofibric acid
C10AC,Bile acid sequestrants,NA,NA,NA,NA
C10AC01,colestyramine,14,g,O,NA
C10AC02,colestipol,20,g,O,NA
C10AC03,colextran,NA,NA,NA,NA
C10AC04,colesevelam,3.75,g,O,NA
C10AD,Nicotinic acid and derivatives,NA,NA,NA,NA
C10AD01,niceritrol,1.5,g,O,NA
C10AD02,nicotinic acid,2,g,O,NA
C10AD03,nicofuranose,NA,NA,NA,NA
C10AD04,aluminium nicotinate,NA,NA,NA,NA
C10AD05,nicotinyl alcohol (pyridylcarbinol),0.9,g,O,NA
C10AD06,acipimox,0.5,g,O,NA
C10AD52,"nicotinic acid, combinations",NA,NA,NA,NA
C10AX,Other lipid modifying agents,NA,NA,NA,NA
C10AX01,dextrothyroxine,4,mg,O,NA
C10AX02,probucol,NA,NA,NA,NA
C10AX03,tiadenol,NA,NA,NA,NA
C10AX05,meglutol,NA,NA,NA,NA
C10AX06,omega-3-triglycerides incl. other esters and acids,4,g,O,NA
C10AX07,magnesium pyridoxal 5-phosphate glutamate,NA,NA,NA,NA
C10AX08,policosanol,NA,NA,NA,NA
C10AX09,ezetimibe,10,mg,O,NA
C10AX10,alipogene tiparvovec,NA,NA,NA,NA
C10AX11,mipomersen,NA,NA,NA,NA
C10AX12,lomitapide,40,mg,O,NA
C10AX13,evolocumab,10,mg,P,NA
C10AX14,alirocumab,5.4,mg,P,NA
C10AX15,bempedoic acid,0.18,g,O,NA
C10AX16,inclisiran,1.6,mg,P,NA
C10AX17,evinacumab,NA,NA,NA,NA
C10AX18,volanesorsen,20,mg,P,NA
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",NA,NA,NA,NA
C10BA,Combinations of various lipid modifying agents,NA,NA,NA,NA
C10BA01,lovastatin and nicotinic acid,NA,NA,NA,NA
C10BA02,simvastatin and ezetimibe,NA,NA,NA,NA
C10BA03,pravastatin and fenofibrate,NA,NA,NA,NA
C10BA04,simvastatin and fenofibrate,NA,NA,NA,NA
C10BA05,atorvastatin and ezetimibe,NA,NA,NA,NA
C10BA06,rosuvastatin and ezetimibe,NA,NA,NA,NA
C10BA07,rosuvastatin and omega-3 fatty acids,NA,NA,NA,NA
C10BA08,atorvastatin and omega-3 fatty acids,NA,NA,NA,NA
C10BA09,rosuvastatin and fenofibrate,NA,NA,NA,NA
C10BA10,bempedoic acid and ezetimibe,NA,NA,NA,NA
C10BA11,pravastatin and ezetimibe,NA,NA,NA,NA
C10BA12,"pravastatin, ezetimibe and fenofibrate",NA,NA,NA,NA
C10BX,Lipid modifying agents in combination with other drugs,NA,NA,NA,NA
C10BX01,simvastatin and acetylsalicylic acid,30,mg,O,Refers to simvastatin
C10BX02,pravastatin and acetylsalicylic acid,NA,NA,NA,NA
C10BX03,atorvastatin and amlodipine,NA,NA,NA,NA
C10BX04,"simvastatin, acetylsalicylic acid and ramipril",NA,NA,NA,NA
C10BX05,rosuvastatin and acetylsalicylic acid,NA,NA,NA,NA
C10BX06,"atorvastatin, acetylsalicylic acid and ramipril",NA,NA,NA,NA
C10BX07,"rosuvastatin, amlodipine and lisinopril",NA,NA,NA,NA
C10BX08,atorvastatin and acetylsalicylic acid,NA,NA,NA,NA
C10BX09,rosuvastatin and amlodipine,NA,NA,NA,NA
C10BX10,rosuvastatin and valsartan,NA,NA,NA,NA
C10BX11,"atorvastatin, amlodipine and perindopril",NA,NA,NA,NA
C10BX12,"atorvastatin, acetylsalicylic acid and perindopril",NA,NA,NA,NA
C10BX13,"rosuvastatin, perindopril and indapamide",NA,NA,NA,NA
C10BX14,"rosuvastatin, amlodipine and perindopril",NA,NA,NA,NA
C10BX15,atorvastatin and perindopril,NA,NA,NA,NA
C10BX16,rosuvastatin and fimasartan,NA,NA,NA,NA
C10BX17,rosuvastatin and ramipril,NA,NA,NA,NA
C10BX18,"atorvastatin, amlodipine and ramipril",NA,NA,NA,NA
C10BX19,"atorvastatin, amlodipine and candesartan",NA,NA,NA,NA
D,DERMATOLOGICALS,NA,NA,NA,NA
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,NA,NA,NA,NA
D01A,ANTIFUNGALS FOR TOPICAL USE,NA,NA,NA,NA
D01AA,Antibiotics,NA,NA,NA,NA
D01AA01,nystatin,NA,NA,NA,NA
D01AA02,natamycin,NA,NA,NA,NA
D01AA03,hachimycin,NA,NA,NA,NA
D01AA04,pecilocin,NA,NA,NA,NA
D01AA06,mepartricin,NA,NA,NA,NA
D01AA07,pyrrolnitrin,NA,NA,NA,NA
D01AA08,griseofulvin,NA,NA,NA,NA
D01AA20,combinations,NA,NA,NA,NA
D01AC,Imidazole and triazole derivatives,NA,NA,NA,NA
D01AC01,clotrimazole,NA,NA,NA,NA
D01AC02,miconazole,NA,NA,NA,NA
D01AC03,econazole,NA,NA,NA,NA
D01AC04,chlormidazole,NA,NA,NA,NA
D01AC05,isoconazole,NA,NA,NA,NA
D01AC06,tiabendazole,NA,NA,NA,NA
D01AC07,tioconazole,NA,NA,NA,NA
D01AC08,ketoconazole,NA,NA,NA,NA
D01AC09,sulconazole,NA,NA,NA,NA
D01AC10,bifonazole,NA,NA,NA,NA
D01AC11,oxiconazole,NA,NA,NA,NA
D01AC12,fenticonazole,NA,NA,NA,NA
D01AC13,omoconazole,NA,NA,NA,NA
D01AC14,sertaconazole,NA,NA,NA,NA
D01AC15,fluconazole,NA,NA,NA,NA
D01AC16,flutrimazole,NA,NA,NA,NA
D01AC17,eberconazole,NA,NA,NA,NA
D01AC18,luliconazole,NA,NA,NA,NA
D01AC19,efinaconazole,NA,NA,NA,NA
D01AC20,imidazoles/triazoles in combination with corticosteroids,NA,NA,NA,NA
D01AC21,neticonazole,NA,NA,NA,NA
D01AC22,lanoconazole,NA,NA,NA,NA
D01AC52,"miconazole, combinations",NA,NA,NA,NA
D01AC60,"bifonazole, combinations",NA,NA,NA,NA
D01AE,Other antifungals for topical use,NA,NA,NA,NA
D01AE01,bromochlorosalicylanilide,NA,NA,NA,NA
D01AE02,methylrosaniline,NA,NA,NA,NA
D01AE03,tribromometacresol,NA,NA,NA,NA
D01AE04,undecylenic acid,NA,NA,NA,NA
D01AE05,polynoxylin,NA,NA,NA,NA
D01AE06,2-(4-chlorphenoxy)-ethanol,NA,NA,NA,NA
D01AE07,chlorphenesin,NA,NA,NA,NA
D01AE08,ticlatone,NA,NA,NA,NA
D01AE09,sulbentine,NA,NA,NA,NA
D01AE10,ethyl hydroxybenzoate,NA,NA,NA,NA
D01AE11,haloprogin,NA,NA,NA,NA
D01AE12,salicylic acid,NA,NA,NA,NA
D01AE13,selenium sulfide,NA,NA,NA,NA
D01AE14,ciclopirox,NA,NA,NA,NA
D01AE15,terbinafine,NA,NA,NA,NA
D01AE16,amorolfine,NA,NA,NA,NA
D01AE17,dimazole,NA,NA,NA,NA
D01AE18,tolnaftate,NA,NA,NA,NA
D01AE19,tolciclate,NA,NA,NA,NA
D01AE20,combinations,NA,NA,NA,NA
D01AE21,flucytosine,NA,NA,NA,NA
D01AE22,naftifine,NA,NA,NA,NA
D01AE23,butenafine,NA,NA,NA,NA
D01AE24,tavaborole,NA,NA,NA,NA
D01AE25,liranaftate,NA,NA,NA,NA
D01AE54,"undecylenic acid, combinations",NA,NA,NA,NA
D01B,ANTIFUNGALS FOR SYSTEMIC USE,NA,NA,NA,NA
D01BA,Antifungals for systemic use,NA,NA,NA,NA
D01BA01,griseofulvin,0.5,g,O,NA
D01BA02,terbinafine,0.25,g,O,NA
D01BA03,fosravuconazole,0.1,g,O,Expressed as ravuconazole
D02,EMOLLIENTS AND PROTECTIVES,NA,NA,NA,NA
D02A,EMOLLIENTS AND PROTECTIVES,NA,NA,NA,NA
D02AA,Silicone products,NA,NA,NA,NA
D02AB,Zinc products,NA,NA,NA,NA
D02AC,Soft paraffin and fat products,NA,NA,NA,NA
D02AD,Liquid plasters,NA,NA,NA,NA
D02AE,Carbamide products,NA,NA,NA,NA
D02AE01,carbamide,NA,NA,NA,NA
D02AE51,"carbamide, combinations",NA,NA,NA,NA
D02AF,Salicylic acid preparations,NA,NA,NA,NA
D02AX,Other emollients and protectives,NA,NA,NA,NA
D02B,PROTECTIVES AGAINST UV-RADIATION,NA,NA,NA,NA
D02BA,Protectives against UV-radiation for topical use,NA,NA,NA,NA
D02BA01,aminobenzoic acid,NA,NA,NA,NA
D02BA02,octinoxate,NA,NA,NA,NA
D02BB,Protectives against UV-radiation for systemic use,NA,NA,NA,NA
D02BB01,betacarotene,0.1,g,O,NA
D02BB02,afamelanotide,NA,NA,NA,NA
D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,NA,NA,NA,NA
D03A,CICATRIZANTS,NA,NA,NA,NA
D03AA,Cod-liver oil ointments,NA,NA,NA,NA
D03AX,Other cicatrizants,NA,NA,NA,NA
D03AX01,cadexomer iodine,NA,NA,NA,NA
D03AX02,dextranomer,NA,NA,NA,NA
D03AX03,dexpanthenol,NA,NA,NA,NA
D03AX04,calcium pantothenate,NA,NA,NA,NA
D03AX05,hyaluronic acid,NA,NA,NA,NA
D03AX06,becaplermin,NA,NA,NA,NA
D03AX09,crilanomer,NA,NA,NA,NA
D03AX10,enoxolone,NA,NA,NA,NA
D03AX11,sodium chlorite,NA,NA,NA,NA
D03AX12,trolamine,NA,NA,NA,NA
D03AX13,Betulae cortex,NA,NA,NA,NA
D03AX14,Centella asiatica herba,NA,NA,NA,NA
D03AX15,trafermin,NA,NA,NA,NA
D03B,ENZYMES,NA,NA,NA,NA
D03BA,Proteolytic enzymes,NA,NA,NA,NA
D03BA01,trypsin,NA,NA,NA,NA
D03BA02,collagenase,NA,NA,NA,NA
D03BA03,bromelains,NA,NA,NA,NA
D03BA52,"collagenase, combinations",NA,NA,NA,NA
D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",NA,NA,NA,NA
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",NA,NA,NA,NA
D04AA,Antihistamines for topical use,NA,NA,NA,NA
D04AA01,thonzylamine,NA,NA,NA,NA
D04AA02,mepyramine,NA,NA,NA,NA
D04AA03,thenalidine,NA,NA,NA,NA
D04AA04,tripelennamine,NA,NA,NA,NA
D04AA09,chloropyramine,NA,NA,NA,NA
D04AA10,promethazine,NA,NA,NA,NA
D04AA12,tolpropamine,NA,NA,NA,NA
D04AA13,dimetindene,NA,NA,NA,NA
D04AA14,clemastine,NA,NA,NA,NA
D04AA15,bamipine,NA,NA,NA,NA
D04AA16,pheniramine,NA,NA,NA,NA
D04AA22,isothipendyl,NA,NA,NA,NA
D04AA32,diphenhydramine,NA,NA,NA,NA
D04AA33,diphenhydramine methylbromide,NA,NA,NA,NA
D04AA34,chlorphenoxamine,NA,NA,NA,NA
D04AB,Anesthetics for topical use,NA,NA,NA,NA
D04AB01,lidocaine,NA,NA,NA,NA
D04AB02,cinchocaine,NA,NA,NA,NA
D04AB03,oxybuprocaine,NA,NA,NA,NA
D04AB04,benzocaine,NA,NA,NA,NA
D04AB05,quinisocaine,NA,NA,NA,NA
D04AB06,tetracaine,NA,NA,NA,NA
D04AB07,pramocaine,NA,NA,NA,NA
D04AX,Other antipruritics,NA,NA,NA,NA
D04AX01,doxepin,NA,NA,NA,NA
D05,ANTIPSORIATICS,NA,NA,NA,NA
D05A,ANTIPSORIATICS FOR TOPICAL USE,NA,NA,NA,NA
D05AA,Tars,NA,NA,NA,NA
D05AC,Antracen derivatives,NA,NA,NA,NA
D05AC01,dithranol,NA,NA,NA,NA
D05AC51,"dithranol, combinations",NA,NA,NA,NA
D05AD,Psoralens for topical use,NA,NA,NA,NA
D05AD01,trioxysalen,NA,NA,NA,NA
D05AD02,methoxsalen,NA,NA,NA,NA
D05AX,Other antipsoriatics for topical use,NA,NA,NA,NA
D05AX01,fumaric acid,NA,NA,NA,NA
D05AX02,calcipotriol,NA,NA,NA,NA
D05AX03,calcitriol,NA,NA,NA,NA
D05AX04,tacalcitol,NA,NA,NA,NA
D05AX05,tazarotene,NA,NA,NA,NA
D05AX52,"calcipotriol, combinations",NA,NA,NA,NA
D05AX55,tazarotene and ulobetasol,NA,NA,NA,NA
D05B,ANTIPSORIATICS FOR SYSTEMIC USE,NA,NA,NA,NA
D05BA,Psoralens for systemic use,NA,NA,NA,NA
D05BA01,trioxysalen,10,mg,O,NA
D05BA02,methoxsalen,10,mg,O,NA
D05BA03,bergapten,NA,NA,NA,NA
D05BB,Retinoids for treatment of psoriasis,NA,NA,NA,NA
D05BB01,etretinate,35,mg,O,NA
D05BB02,acitretin,35,mg,O,NA
D05BX,Other antipsoriatics for systemic use,NA,NA,NA,NA
D05BX51,"fumaric acid derivatives, combinations",NA,NA,NA,NA
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,NA,NA,NA,NA
D06A,ANTIBIOTICS FOR TOPICAL USE,NA,NA,NA,NA
D06AA,Tetracycline and derivatives,NA,NA,NA,NA
D06AA01,demeclocycline,NA,NA,NA,NA
D06AA02,chlortetracycline,NA,NA,NA,NA
D06AA03,oxytetracycline,NA,NA,NA,NA
D06AA04,tetracycline,NA,NA,NA,NA
D06AX,Other antibiotics for topical use,NA,NA,NA,NA
D06AX01,fusidic acid,NA,NA,NA,NA
D06AX02,chloramphenicol,NA,NA,NA,NA
D06AX04,neomycin,NA,NA,NA,NA
D06AX05,bacitracin,NA,NA,NA,NA
D06AX07,gentamicin,NA,NA,NA,NA
D06AX08,tyrothricin,NA,NA,NA,NA
D06AX09,mupirocin,NA,NA,NA,NA
D06AX10,virginiamycin,NA,NA,NA,NA
D06AX11,rifaximin,NA,NA,NA,NA
D06AX12,amikacin,NA,NA,NA,NA
D06AX13,retapamulin,NA,NA,NA,NA
D06AX14,ozenoxacin,NA,NA,NA,NA
D06AX15,rifamycin,NA,NA,NA,NA
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,NA,NA,NA,NA
D06BA,Sulfonamides,NA,NA,NA,NA
D06BA01,silver sulfadiazine,NA,NA,NA,NA
D06BA02,sulfathiazole,NA,NA,NA,NA
D06BA03,mafenide,NA,NA,NA,NA
D06BA04,sulfamethizole,NA,NA,NA,NA
D06BA05,sulfanilamide,NA,NA,NA,NA
D06BA06,sulfamerazine,NA,NA,NA,NA
D06BA51,"silver sulfadiazine, combinations",NA,NA,NA,NA
D06BB,Antivirals,NA,NA,NA,NA
D06BB01,idoxuridine,NA,NA,NA,NA
D06BB02,tromantadine,NA,NA,NA,NA
D06BB03,aciclovir,NA,NA,NA,NA
D06BB04,podophyllotoxin,NA,NA,NA,NA
D06BB05,inosine,NA,NA,NA,NA
D06BB06,penciclovir,NA,NA,NA,NA
D06BB07,lysozyme,NA,NA,NA,NA
D06BB08,ibacitabine,NA,NA,NA,NA
D06BB09,edoxudine,NA,NA,NA,NA
D06BB10,imiquimod,NA,NA,NA,NA
D06BB11,docosanol,NA,NA,NA,NA
D06BB12,sinecatechins,NA,NA,NA,NA
D06BB53,"aciclovir, combinations",NA,NA,NA,NA
D06BX,Other chemotherapeutics,NA,NA,NA,NA
D06BX01,metronidazole,NA,NA,NA,NA
