YEAR,LOCATION,SV,MEASUREMENT_METHOD,OBSERVATION
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,19
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,20
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,18
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,19
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,24
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,27
1990,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,3
1991,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,5
1992,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,3
1993,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,4
1994,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,3
1995,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,7
1996,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,6
1997,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,7
1998,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,2
1999,geoId/01033,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,10
1990,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,26
1991,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,29
1992,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,27
1993,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,29
1994,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,23
1995,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,31
1996,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,27
1997,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,32
1998,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,30
1999,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,34
2000,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,54
2001,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,64
2002,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,61
2003,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,64
2004,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,68
2005,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,71
2006,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,79
2007,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,83
2008,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,90
2009,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,92
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,90
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,103
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,117
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,128
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,118
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,113
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,116
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,110
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,116
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,129
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,139
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,114
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,127
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,148
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,165
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,148
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,151
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,163
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,159
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,157
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,173
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,188
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,13
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,10
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,12
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,16
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,13
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,8
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,14
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,19
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,12
2000,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,2
2001,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,2
2002,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,2
2003,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,2
2004,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,2
2005,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,3
2006,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2007,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2008,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2009,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,8
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,8
2000,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,17
2001,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,16
2002,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,19
2003,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,20
2004,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,22
2005,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,36
2006,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,37
2007,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,36
2008,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,45
2009,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,49
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,48
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,50
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,57
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,69
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,62
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,72
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,87
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,77
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,79
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,90
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,88
1990,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,156
1991,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,155
1992,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,158
1993,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,164
1994,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,182
1995,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,194
1996,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,227
1997,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,251
1998,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,264
1999,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,282
2000,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,530
2001,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,577
2002,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,607
2003,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,628
2004,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,711
2005,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,733
2006,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,809
2007,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,846
2008,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,889
2009,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,881
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,927
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,972
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1030
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1010
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1009
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1082
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1156
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1242
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1333
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1415
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,1459
2010,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,973
2011,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1017
2012,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1076
2013,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1074
2014,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1062
2015,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1144
2016,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1232
2017,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1318
2018,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1407
2019,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1494
2020,geoId/01033,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1537
1990,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,51629
1991,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52062
1992,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52091
1993,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52375
1994,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52212
1995,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52187
1996,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52369
1997,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52802
1998,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52626
1999,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,52223
2000,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,54380
2001,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,54120
2002,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53832
2003,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53552
2004,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53561
2005,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53494
2006,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53452
2007,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53480
2008,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53410
2009,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53361
2010,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53417
2011,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53371
2012,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53323
2013,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53281
2014,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53242
2015,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53117
2016,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53068
2017,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53198
2018,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53381
2019,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53537
2020,geoId/01033,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,53648
2010,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,600
2011,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,635
2012,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,639
2013,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,646
2014,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,667
2015,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,679
2016,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,684
2017,geoId/01033,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,694
