ObservationAbout,Year,Depth,Reserve Type,Reserves in Billion Tonne
MEGHALAYA,2022,0-300,INFERRED,0.47
MEGHALAYA,2017,0-300,INFERRED,0.47
MEGHALAYA,2009,0-300,INFERRED,0.47
ODISHA,2011,600-1200,INFERRED,0.47
MEGHALAYA,2012,0-300,INFERRED,0.47
ODISHA,2021,600-1200,INFERRED,0.47
MEGHALAYA,2016,0-300,INFERRED,0.47
ODISHA,2008,600-1200,INFERRED,0.47
MEGHALAYA,2014,0-300,INFERRED,0.47
ODISHA,2013,600-1200,INFERRED,0.47
ODISHA,2022,600-1200,INFERRED,0.47
ODISHA,2019,600-1200,INFERRED,0.47
MEGHALAYA,2020,0-300,INFERRED,0.47
MEGHALAYA,2019,0-300,INFERRED,0.47
MEGHALAYA,2011,0-300,INFERRED,0.47
MEGHALAYA,2010,0-300,INFERRED,0.47
ODISHA,2012,600-1200,INFERRED,0.47
ODISHA,2010,600-1200,INFERRED,0.47
MEGHALAYA,2021,0-300,INFERRED,0.47
ODISHA,2014,600-1200,INFERRED,0.47
MEGHALAYA,2018,0-300,INFERRED,0.47
ODISHA,2020,600-1200,INFERRED,0.47
MEGHALAYA,2015,0-300,INFERRED,0.47
ODISHA,2016,600-1200,INFERRED,0.47
ODISHA,2009,600-1200,INFERRED,0.47
ODISHA,2017,600-1200,INFERRED,0.47
MEGHALAYA,2013,0-300,INFERRED,0.47
ODISHA,2007,600-1200,INFERRED,0.47
ODISHA,2018,600-1200,INFERRED,0.47
ANDHRA PRADESH,2016,0-300,INDICATED,0.48
MAHARASHTRA,2022,0-300,INFERRED,0.48
MAHARASHTRA,2021,0-300,INFERRED,0.48
ANDHRA PRADESH,2017,0-300,INDICATED,0.48
ANDHRA PRADESH,2015,0-300,INDICATED,0.48
MAHARASHTRA,2019,0-300,INFERRED,0.48
MAHARASHTRA,2020,0-300,INFERRED,0.48
BIHAR,2018,300-600,INDICATED,0.48
ODISHA,2015,600-1200,INFERRED,0.48
ANDHRA PRADESH,2018,0-300,INDICATED,0.48
BIHAR,2017,0-300,INFERRED,0.49
TELANGANA,2015,300-600,INFERRED,0.49
JHARKHAND,2011,0-600,INDICATED,0.5
JHARKHAND,2008,0-600,INDICATED,0.5
JHARKHAND,2009,0-600,INDICATED,0.5
BIHAR,2020,600-1200,INDICATED,0.5
JHARKHAND,2006,0-600,INDICATED,0.5
BIHAR,2022,600-1200,INDICATED,0.5
JHARKHAND,2010,0-600,INDICATED,0.5
BIHAR,2021,600-1200,INDICATED,0.5
JHARKHAND,2012,0-600,INDICATED,0.5
JHARKHAND,2007,0-600,INDICATED,0.5
TELANGANA,2020,300-600,INFERRED,0.52
ANDHRA PRADESH,2006,300-600,INFERRED,0.55
TELANGANA,2016,300-600,INFERRED,0.55
ANDHRA PRADESH,2016,300-600,INDICATED,0.58
ANDHRA PRADESH,2018,300-600,INDICATED,0.58
ANDHRA PRADESH,2017,300-600,INDICATED,0.58
ANDHRA PRADESH,2015,300-600,INDICATED,0.58
ANDHRA PRADESH,2020,300-600,INDICATED,0.58
ANDHRA PRADESH,2019,300-600,INDICATED,0.58
ANDHRA PRADESH,2007,300-600,INFERRED,0.58
ANDHRA PRADESH,2012,300-600,INFERRED,0.6
WEST BENGAL,2013,600-1200,PROVED,0.61
BIHAR,2019,0-300,INDICATED,0.61
WEST BENGAL,2015,600-1200,PROVED,0.61
WEST BENGAL,2014,600-1200,PROVED,0.61
WEST BENGAL,2016,600-1200,PROVED,0.61
ANDHRA PRADESH,2013,300-600,INFERRED,0.62
ANDHRA PRADESH,2014,300-600,INFERRED,0.64
WEST BENGAL,2017,600-1200,PROVED,0.64
WEST BENGAL,2018,600-1200,PROVED,0.64
WEST BENGAL,2019,600-1200,PROVED,0.65
ANDHRA PRADESH,2011,300-600,INFERRED,0.65
ANDHRA PRADESH,2010,300-600,INFERRED,0.65
CHHATTISGARH,2021,300-600,INFERRED,0.65
WEST BENGAL,2020,600-1200,PROVED,0.65
WEST BENGAL,2021,600-1200,PROVED,0.65
ANDHRA PRADESH,2008,300-600,INFERRED,0.65
CHHATTISGARH,2022,300-600,INFERRED,0.65
ANDHRA PRADESH,2009,300-600,INFERRED,0.65
WEST BENGAL,2022,600-1200,PROVED,0.65
ANDHRA PRADESH,2022,600-1200,PROVED,0.67
CHHATTISGARH,2007,600-1200,INDICATED,0.67
ANDHRA PRADESH,2021,600-1200,PROVED,0.67
CHHATTISGARH,2006,600-1200,INDICATED,0.67
CHHATTISGARH,2020,300-600,INFERRED,0.67
TELANGANA,2021,300-600,INFERRED,0.7
TELANGANA,2022,300-600,INFERRED,0.7
BIHAR,2017,300-600,INFERRED,0.74
MADHYA PRADESH,2009,600-1200,INDICATED,0.75
ODISHA,2006,600-1200,INDICATED,0.76
MAHARASHTRA,2017,300-600,PROVED,0.76
BIHAR,2019,300-600,INDICATED,0.76
BIHAR,2020,0-300,INDICATED,0.76
UTTAR PRADESH,2008,0-300,PROVED,0.77
UTTAR PRADESH,2007,0-300,PROVED,0.77
CHHATTISGARH,2009,600-1200,INDICATED,0.77
UTTAR PRADESH,2009,0-300,PROVED,0.77
CHHATTISGARH,2008,600-1200,INDICATED,0.77
UTTAR PRADESH,2006,0-300,PROVED,0.77
CHHATTISGARH,2017,300-600,INFERRED,0.78
MAHARASHTRA,2018,300-600,PROVED,0.78
CHHATTISGARH,2016,300-600,INFERRED,0.78
CHHATTISGARH,2019,300-600,INFERRED,0.78
CHHATTISGARH,2015,300-600,INFERRED,0.78
CHHATTISGARH,2018,300-600,INFERRED,0.78
CHHATTISGARH,2021,0-300,INFERRED,0.79
CHHATTISGARH,2022,0-300,INFERRED,0.79
MADHYA PRADESH,2010,300-600,PROVED,0.79
CHHATTISGARH,2012,300-600,PROVED,0.8
UTTAR PRADESH,2011,0-300,PROVED,0.87
UTTAR PRADESH,2010,0-300,PROVED,0.87
UTTAR PRADESH,2015,0-300,PROVED,0.88
UTTAR PRADESH,2013,0-300,PROVED,0.88
UTTAR PRADESH,2016,0-300,PROVED,0.88
UTTAR PRADESH,2018,0-300,PROVED,0.88
UTTAR PRADESH,2021,0-300,PROVED,0.88
UTTAR PRADESH,2012,0-300,PROVED,0.88
UTTAR PRADESH,2020,0-300,PROVED,0.88
UTTAR PRADESH,2017,0-300,PROVED,0.88
UTTAR PRADESH,2014,0-300,PROVED,0.88
UTTAR PRADESH,2022,0-300,PROVED,0.88
UTTAR PRADESH,2019,0-300,PROVED,0.88
CHHATTISGARH,2010,600-1200,INDICATED,0.88
MADHYA PRADESH,2012,300-600,PROVED,0.89
CHHATTISGARH,2014,300-600,INFERRED,0.89
CHHATTISGARH,2012,300-600,INFERRED,0.89
MADHYA PRADESH,2011,300-600,PROVED,0.89
CHHATTISGARH,2013,300-600,INFERRED,0.9
ODISHA,2011,300-600,PROVED,0.96
ODISHA,2009,600-1200,INDICATED,0.99
ODISHA,2008,600-1200,INDICATED,0.99
ODISHA,2007,600-1200,INDICATED,0.99
MADHYA PRADESH,2011,0-300,INFERRED,1
ODISHA,2012,300-600,PROVED,1.01
MAHARASHTRA,2019,300-600,PROVED,1.01
MAHARASHTRA,2006,300-600,INDICATED,1.02
MADHYA PRADESH,2011,300-600,INFERRED,1.02
CHHATTISGARH,2013,300-600,PROVED,1.02
ANDHRA PRADESH,2006,600-1200,INDICATED,1.02
MAHARASHTRA,2020,300-600,PROVED,1.02
ANDHRA PRADESH,2007,600-1200,INDICATED,1.05
MAHARASHTRA,2021,300-600,PROVED,1.06
MAHARASHTRA,2022,300-600,PROVED,1.06
MADHYA PRADESH,2010,0-300,INFERRED,1.08
JHARKHAND,2022,600-1200,INFERRED,1.09
JHARKHAND,2019,600-1200,INFERRED,1.09
JHARKHAND,2020,600-1200,INFERRED,1.09
JHARKHAND,2021,600-1200,INFERRED,1.09
JHARKHAND,2017,600-1200,INFERRED,1.09
JHARKHAND,2018,600-1200,INFERRED,1.09
BIHAR,2021,0-300,INDICATED,1.1
ANDHRA PRADESH,2008,600-1200,INDICATED,1.1
BIHAR,2022,0-300,INDICATED,1.1
ODISHA,2010,600-1200,INDICATED,1.11
MADHYA PRADESH,2010,300-600,INFERRED,1.11
ANDHRA PRADESH,2009,600-1200,INDICATED,1.11
MADHYA PRADESH,2013,300-600,PROVED,1.14
BIHAR,2020,300-600,INDICATED,1.17
MAHARASHTRA,2007,300-600,INDICATED,1.17
MAHARASHTRA,2008,300-600,INDICATED,1.17
MADHYA PRADESH,2009,0-300,INFERRED,1.18
MADHYA PRADESH,2012,0-300,INFERRED,1.2
MADHYA PRADESH,2014,0-300,INFERRED,1.24
ODISHA,2012,600-1200,INDICATED,1.24
ODISHA,2011,600-1200,INDICATED,1.24
MADHYA PRADESH,2013,0-300,INFERRED,1.25
MAHARASHTRA,2021,300-600,INFERRED,1.29
MAHARASHTRA,2019,300-600,INFERRED,1.29
MAHARASHTRA,2022,300-600,INFERRED,1.29
MAHARASHTRA,2009,300-600,INDICATED,1.29
MAHARASHTRA,2020,300-600,INFERRED,1.29
MADHYA PRADESH,2007,0-300,INFERRED,1.32
MADHYA PRADESH,2008,0-300,INFERRED,1.32
ODISHA,2013,300-600,PROVED,1.33
JHARKHAND,2006,600-1200,INFERRED,1.34
JHARKHAND,2013,600-1200,INFERRED,1.34
JHARKHAND,2012,600-1200,INFERRED,1.34
JHARKHAND,2008,600-1200,INFERRED,1.34
JHARKHAND,2016,600-1200,INFERRED,1.34
JHARKHAND,2007,600-1200,INFERRED,1.34
JHARKHAND,2014,600-1200,INFERRED,1.34
JHARKHAND,2011,600-1200,INFERRED,1.34
JHARKHAND,2010,600-1200,INFERRED,1.34
JHARKHAND,2009,600-1200,INFERRED,1.34
JHARKHAND,2015,600-1200,INFERRED,1.34
MAHARASHTRA,2006,0-300,INDICATED,1.38
CHHATTISGARH,2007,300-600,INFERRED,1.39
CHHATTISGARH,2006,300-600,INFERRED,1.39
CHHATTISGARH,2008,300-600,INFERRED,1.39
MAHARASHTRA,2010,300-600,INDICATED,1.39
CHHATTISGARH,2009,300-600,INFERRED,1.4
JHARKHAND,2006,300-600,PROVED,1.4
CHHATTISGARH,2020,0-300,INFERRED,1.4
CHHATTISGARH,2010,300-600,INFERRED,1.4
CHHATTISGARH,2011,300-600,INFERRED,1.4
TELANGANA,2015,600-1200,INDICATED,1.41
ODISHA,2013,600-1200,INDICATED,1.41
TELANGANA,2017,600-1200,INDICATED,1.41
TELANGANA,2016,600-1200,INDICATED,1.41
TELANGANA,2018,600-1200,INDICATED,1.41
TELANGANA,2022,600-1200,INDICATED,1.42
TELANGANA,2021,600-1200,INDICATED,1.42
TELANGANA,2020,600-1200,INDICATED,1.42
CHHATTISGARH,2011,600-1200,INDICATED,1.42
CHHATTISGARH,2017,0-300,INFERRED,1.42
CHHATTISGARH,2019,0-300,INFERRED,1.42
CHHATTISGARH,2018,0-300,INFERRED,1.42
TELANGANA,2019,600-1200,INDICATED,1.42
MAHARASHTRA,2011,300-600,INDICATED,1.43
MADHYA PRADESH,2009,300-600,INFERRED,1.43
MADHYA PRADESH,2008,300-600,INFERRED,1.43
MADHYA PRADESH,2007,300-600,INFERRED,1.43
MAHARASHTRA,2012,300-600,INDICATED,1.43
JHARKHAND,2008,300-600,PROVED,1.44
ANDHRA PRADESH,2014,600-1200,INDICATED,1.44
ANDHRA PRADESH,2012,600-1200,INDICATED,1.44
ANDHRA PRADESH,2013,600-1200,INDICATED,1.44
JHARKHAND,2007,300-600,PROVED,1.44
MAHARASHTRA,2018,0-300,INDICATED,1.44
MAHARASHTRA,2018,300-600,INFERRED,1.45
MAHARASHTRA,2006,300-600,INFERRED,1.45
MADHYA PRADESH,2006,0-300,INFERRED,1.45
MADHYA PRADESH,2006,300-600,INFERRED,1.45
ANDHRA PRADESH,2010,600-1200,INDICATED,1.45
ANDHRA PRADESH,2011,600-1200,INDICATED,1.45
MAHARASHTRA,2008,300-600,INFERRED,1.45
MAHARASHTRA,2010,300-600,INFERRED,1.45
MAHARASHTRA,2007,300-600,INFERRED,1.45
MAHARASHTRA,2009,300-600,INFERRED,1.45
MAHARASHTRA,2011,300-600,INFERRED,1.45
MAHARASHTRA,2017,300-600,INFERRED,1.46
MAHARASHTRA,2016,300-600,INFERRED,1.47
CHHATTISGARH,2012,600-1200,INDICATED,1.48
CHHATTISGARH,2014,600-1200,INDICATED,1.48
MADHYA PRADESH,2012,300-600,INFERRED,1.48
CHHATTISGARH,2016,600-1200,INDICATED,1.48
CHHATTISGARH,2015,600-1200,INDICATED,1.48
CHHATTISGARH,2013,600-1200,INDICATED,1.48
MAHARASHTRA,2020,0-300,INDICATED,1.49
MAHARASHTRA,2019,0-300,INDICATED,1.49
CHHATTISGARH,2016,0-300,INFERRED,1.5
CHHATTISGARH,2015,0-300,INFERRED,1.5
MAHARASHTRA,2014,300-600,INDICATED,1.52
JHARKHAND,2021,0-300,INFERRED,1.52
CHHATTISGARH,2017,600-1200,INDICATED,1.52
MAHARASHTRA,2017,0-300,INDICATED,1.52
MAHARASHTRA,2013,300-600,INDICATED,1.52
JHARKHAND,2022,0-300,INFERRED,1.52
MAHARASHTRA,2015,300-600,INDICATED,1.52
MAHARASHTRA,2012,300-600,INFERRED,1.53
MADHYA PRADESH,2020,0-300,INFERRED,1.53
MAHARASHTRA,2022,0-300,INDICATED,1.53
MAHARASHTRA,2013,300-600,INFERRED,1.53
MAHARASHTRA,2014,300-600,INFERRED,1.53
MAHARASHTRA,2015,300-600,INFERRED,1.53
MAHARASHTRA,2021,0-300,INDICATED,1.53
MADHYA PRADESH,2013,300-600,INFERRED,1.54
BIHAR,2021,300-600,INDICATED,1.54
MADHYA PRADESH,2014,300-600,INFERRED,1.54
BIHAR,2022,300-600,INDICATED,1.54
MAHARASHTRA,2010,0-300,INDICATED,1.55
MAHARASHTRA,2016,300-600,INDICATED,1.55
MADHYA PRADESH,2021,0-300,INFERRED,1.55
MADHYA PRADESH,2022,0-300,INFERRED,1.55
MAHARASHTRA,2016,0-300,INDICATED,1.56
MAHARASHTRA,2009,0-300,INDICATED,1.57
MAHARASHTRA,2018,300-600,INDICATED,1.57
MAHARASHTRA,2017,300-600,INDICATED,1.58
CHHATTISGARH,2014,300-600,PROVED,1.59
JHARKHAND,2020,0-300,INFERRED,1.59
MADHYA PRADESH,2015,300-600,INFERRED,1.59
JHARKHAND,2019,0-300,INFERRED,1.59
MADHYA PRADESH,2016,300-600,INFERRED,1.59
JHARKHAND,2018,0-300,INFERRED,1.6
MADHYA PRADESH,2014,300-600,PROVED,1.6
MADHYA PRADESH,2015,300-600,PROVED,1.6
MADHYA PRADESH,2016,0-300,INFERRED,1.6
MAHARASHTRA,2008,0-300,INDICATED,1.61
MAHARASHTRA,2007,0-300,INDICATED,1.61
ODISHA,2014,600-1200,INDICATED,1.61
JHARKHAND,2011,600-1200,PROVED,1.62
MAHARASHTRA,2011,0-300,INDICATED,1.62
JHARKHAND,2010,600-1200,PROVED,1.62
JHARKHAND,2006,600-1200,PROVED,1.62
JHARKHAND,2008,600-1200,PROVED,1.62
JHARKHAND,2007,600-1200,PROVED,1.62
JHARKHAND,2012,600-1200,PROVED,1.62
JHARKHAND,2009,600-1200,PROVED,1.62
JHARKHAND,2013,600-1200,PROVED,1.62
MAHARASHTRA,2015,0-300,INDICATED,1.63
MAHARASHTRA,2012,0-300,INDICATED,1.63
MAHARASHTRA,2014,0-300,INDICATED,1.63
JHARKHAND,2015,600-1200,PROVED,1.63
MAHARASHTRA,2013,0-300,INDICATED,1.63
JHARKHAND,2014,600-1200,PROVED,1.63
MAHARASHTRA,2020,300-600,INDICATED,1.64
MADHYA PRADESH,2015,0-300,INFERRED,1.64
CHHATTISGARH,2018,600-1200,INDICATED,1.64
MAHARASHTRA,2019,300-600,INDICATED,1.64
ODISHA,2016,600-1200,INDICATED,1.66
MAHARASHTRA,2021,300-600,INDICATED,1.66
MAHARASHTRA,2022,300-600,INDICATED,1.66
JHARKHAND,2009,300-600,PROVED,1.67
ODISHA,2014,300-600,PROVED,1.67
JHARKHAND,2010,300-600,PROVED,1.67
JHARKHAND,2017,0-300,INFERRED,1.68
JHARKHAND,2008,0-300,INFERRED,1.69
JHARKHAND,2006,0-300,INFERRED,1.69
JHARKHAND,2009,0-300,INFERRED,1.69
JHARKHAND,2007,0-300,INFERRED,1.69
JHARKHAND,2016,0-300,INFERRED,1.69
JHARKHAND,2010,0-300,INFERRED,1.69
JHARKHAND,2015,0-300,INFERRED,1.7
JHARKHAND,2014,0-300,INFERRED,1.7
JHARKHAND,2013,0-300,INFERRED,1.7
JHARKHAND,2016,600-1200,PROVED,1.72
JHARKHAND,2012,0-300,INFERRED,1.73
JHARKHAND,2011,0-300,INFERRED,1.73
JHARKHAND,2011,300-600,PROVED,1.74
WEST BENGAL,2006,300-600,PROVED,1.74
MADHYA PRADESH,2018,0-300,INFERRED,1.74
MADHYA PRADESH,2019,0-300,INFERRED,1.74
WEST BENGAL,2007,300-600,PROVED,1.74
JHARKHAND,2012,300-600,PROVED,1.74
MADHYA PRADESH,2017,300-600,INFERRED,1.75
MADHYA PRADESH,2017,0-300,INFERRED,1.76
WEST BENGAL,2008,300-600,PROVED,1.77
WEST BENGAL,2009,300-600,PROVED,1.78
WEST BENGAL,2022,600-1200,INFERRED,1.79
WEST BENGAL,2020,600-1200,INFERRED,1.79
WEST BENGAL,2021,600-1200,INFERRED,1.79
WEST BENGAL,2019,600-1200,INFERRED,1.79
WEST BENGAL,2013,600-1200,INFERRED,1.8
WEST BENGAL,2014,600-1200,INFERRED,1.8
WEST BENGAL,2018,600-1200,INFERRED,1.8
WEST BENGAL,2017,600-1200,INFERRED,1.8
WEST BENGAL,2016,600-1200,INFERRED,1.81
WEST BENGAL,2015,600-1200,INFERRED,1.81
WEST BENGAL,2010,300-600,PROVED,1.81
WEST BENGAL,2011,300-600,PROVED,1.81
WEST BENGAL,2012,600-1200,INFERRED,1.83
WEST BENGAL,2008,600-1200,INFERRED,1.86
WEST BENGAL,2006,600-1200,INFERRED,1.86
WEST BENGAL,2011,600-1200,INFERRED,1.86
WEST BENGAL,2010,600-1200,INFERRED,1.86
WEST BENGAL,2007,600-1200,INFERRED,1.86
WEST BENGAL,2009,600-1200,INFERRED,1.86
ODISHA,2015,600-1200,INDICATED,1.88
MADHYA PRADESH,2022,300-600,INFERRED,1.89
MADHYA PRADESH,2021,300-600,INFERRED,1.89
CHHATTISGARH,2019,600-1200,INDICATED,1.9
CHHATTISGARH,2015,300-600,PROVED,1.91
ANDHRA PRADESH,2006,600-1200,INFERRED,1.93
ANDHRA PRADESH,2007,600-1200,INFERRED,1.97
MADHYA PRADESH,2018,300-600,INFERRED,1.99
MADHYA PRADESH,2019,300-600,INFERRED,1.99
TELANGANA,2015,600-1200,INFERRED,2
MADHYA PRADESH,2016,300-600,PROVED,2.01
TELANGANA,2017,600-1200,INFERRED,2.02
TELANGANA,2016,600-1200,INFERRED,2.03
CHHATTISGARH,2016,300-600,PROVED,2.04
MADHYA PRADESH,2020,300-600,INFERRED,2.07
TELANGANA,2019,600-1200,INFERRED,2.11
MADHYA PRADESH,2017,300-600,PROVED,2.12
TELANGANA,2020,600-1200,INFERRED,2.12
TELANGANA,2018,600-1200,INFERRED,2.13
ANDHRA PRADESH,2007,0-300,INDICATED,2.16
WEST BENGAL,2012,300-600,PROVED,2.16
CHHATTISGARH,2017,300-600,PROVED,2.18
WEST BENGAL,2009,0-300,INDICATED,2.21
ANDHRA PRADESH,2008,600-1200,INFERRED,2.22
ANDHRA PRADESH,2009,600-1200,INFERRED,2.22
JHARKHAND,2013,300-600,PROVED,2.23
CHHATTISGARH,2018,300-600,PROVED,2.23
ANDHRA PRADESH,2010,600-1200,INFERRED,2.23
ANDHRA PRADESH,2011,600-1200,INFERRED,2.23
ANDHRA PRADESH,2006,0-300,INDICATED,2.24
ANDHRA PRADESH,2013,600-1200,INFERRED,2.28
JHARKHAND,2017,600-1200,PROVED,2.28
ANDHRA PRADESH,2014,600-1200,INFERRED,2.28
WEST BENGAL,2008,0-300,INDICATED,2.28
ANDHRA PRADESH,2012,600-1200,INFERRED,2.28
WEST BENGAL,2020,0-300,INDICATED,2.3
JHARKHAND,2014,300-600,PROVED,2.31
ANDHRA PRADESH,2008,0-300,INDICATED,2.31
ANDHRA PRADESH,2009,0-300,INDICATED,2.33
CHHATTISGARH,2014,0-300,INFERRED,2.34
JHARKHAND,2015,300-600,PROVED,2.36
TELANGANA,2022,600-1200,INFERRED,2.37
ODISHA,2017,600-1200,INDICATED,2.37
TELANGANA,2021,600-1200,INFERRED,2.37
WEST BENGAL,2007,0-300,INDICATED,2.38
CHHATTISGARH,2013,0-300,INFERRED,2.39
WEST BENGAL,2022,0-300,INDICATED,2.39
WEST BENGAL,2021,0-300,INDICATED,2.39
WEST BENGAL,2019,0-300,INDICATED,2.41
WEST BENGAL,2006,300-600,INFERRED,2.41
WEST BENGAL,2018,0-300,INDICATED,2.41
ODISHA,2015,300-600,PROVED,2.44
WEST BENGAL,2006,0-300,INDICATED,2.45
WEST BENGAL,2017,0-300,INDICATED,2.45
WEST BENGAL,2022,300-600,INFERRED,2.47
WEST BENGAL,2021,300-600,INFERRED,2.47
MADHYA PRADESH,2018,300-600,PROVED,2.48
WEST BENGAL,2014,300-600,PROVED,2.49
WEST BENGAL,2010,0-300,INDICATED,2.49
WEST BENGAL,2013,300-600,PROVED,2.49
WEST BENGAL,2019,300-600,INFERRED,2.5
WEST BENGAL,2020,300-600,INFERRED,2.5
WEST BENGAL,2018,300-600,INFERRED,2.51
WEST BENGAL,2016,0-300,INDICATED,2.51
WEST BENGAL,2011,0-300,INDICATED,2.52
CHHATTISGARH,2012,0-300,INFERRED,2.52
WEST BENGAL,2014,0-300,INDICATED,2.52
WEST BENGAL,2015,0-300,INDICATED,2.52
WEST BENGAL,2016,300-600,PROVED,2.52
WEST BENGAL,2015,300-600,PROVED,2.52
WEST BENGAL,2013,0-300,INDICATED,2.52
WEST BENGAL,2017,300-600,PROVED,2.55
ODISHA,2021,0-300,INFERRED,2.55
ODISHA,2019,0-300,INFERRED,2.55
CHHATTISGARH,2019,300-600,PROVED,2.55
ODISHA,2020,0-300,INFERRED,2.55
ODISHA,2018,0-300,INFERRED,2.55
ODISHA,2022,0-300,INFERRED,2.55
ODISHA,2018,600-1200,INDICATED,2.59
ODISHA,2019,600-1200,INDICATED,2.59
MADHYA PRADESH,2019,300-600,PROVED,2.6
JHARKHAND,2018,600-1200,PROVED,2.6
CHHATTISGARH,2010,0-300,INFERRED,2.61
CHHATTISGARH,2011,0-300,INFERRED,2.61
WEST BENGAL,2012,300-600,INFERRED,2.62
ODISHA,2016,0-300,INFERRED,2.62
WEST BENGAL,2012,0-300,INDICATED,2.62
JHARKHAND,2021,300-600,INFERRED,2.68
JHARKHAND,2022,300-600,INFERRED,2.68
ODISHA,2017,0-300,INFERRED,2.69
WEST BENGAL,2013,300-600,INFERRED,2.7
WEST BENGAL,2015,300-600,INFERRED,2.7
WEST BENGAL,2014,300-600,INFERRED,2.7
WEST BENGAL,2016,300-600,INFERRED,2.7
WEST BENGAL,2017,300-600,INFERRED,2.74
MADHYA PRADESH,2020,300-600,PROVED,2.74
ODISHA,2015,0-300,INFERRED,2.79
WEST BENGAL,2018,300-600,PROVED,2.82
WEST BENGAL,2019,300-600,PROVED,2.87
WEST BENGAL,2009,300-600,INFERRED,2.89
WEST BENGAL,2010,300-600,INFERRED,2.89
WEST BENGAL,2011,300-600,INFERRED,2.89
WEST BENGAL,2007,300-600,INFERRED,2.89
WEST BENGAL,2008,300-600,INFERRED,2.89
JHARKHAND,2016,300-600,PROVED,2.89
ANDHRA PRADESH,2006,300-600,PROVED,2.9
ANDHRA PRADESH,2006,300-600,INDICATED,2.9
TELANGANA,2022,0-300,INDICATED,2.98
TELANGANA,2021,0-300,INDICATED,2.98
CHHATTISGARH,2009,0-300,INFERRED,2.98
ANDHRA PRADESH,2007,300-600,PROVED,3.04
TELANGANA,2020,0-300,INDICATED,3.04
TELANGANA,2017,0-300,INDICATED,3.04
CHHATTISGARH,2006,0-300,INFERRED,3.05
