"Table with row headers in columns A, C, and D and column headers in row 6.",,,,,,,,,,,,,,,,,,,,,
"Estimates of the Population of States by Age, Sex, and Race:  1970-1979",,,,,,,,,,,,,,,,,,,,,
"Source:  1970-1979 Population Estimates by Age, Sex, and Race, PE-19",,,,,,,,,,,,,,,,,,,,,
"Internet Release Date:  November 5, 2004",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year of Estimate,FIPS State Code,State Name,Race/Sex Indicator,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
1971,54,West Virginia,Black female,"2,582","3,150","3,868","4,073","2,562","1,477","1,340","1,360","1,814","1,953","1,987","2,010","2,068","1,990","1,444",911,485,380
1971,54,West Virginia,Other races male,183,160,116,109,120,133,158,129,113,75,46,47,36,29,31,18,12,19
1971,54,West Virginia,Other races female,203,152,116,123,166,190,155,147,118,92,54,50,44,46,38,25,15,15
1971,55,Wisconsin,White male,"183,032","213,983","233,688","215,011","168,244","134,999","114,020","106,048","115,196","115,922","111,405","103,064","90,065","72,839","56,312","39,935","22,966","12,884"
1971,55,Wisconsin,White female,"174,354","204,952","223,023","210,730","182,434","135,388","115,024","107,959","115,957","120,514","117,758","109,918","98,182","83,624","71,025","54,553","35,530","23,726"
1971,55,Wisconsin,Black male,"8,989","9,177","9,146","7,641","5,911","4,365","3,688","3,313","3,311","2,822","2,097","1,653","1,203",860,566,317,147,122
1971,55,Wisconsin,Black female,"8,962","9,174","9,112","7,736","6,943","5,170","4,573","4,062","3,626","2,801","2,170","1,677","1,317",991,643,351,224,167
1971,55,Wisconsin,Other races male,"1,833","1,876","1,730","1,594","1,541","1,203","1,018",841,660,581,482,389,349,299,250,157,104,89
1971,55,Wisconsin,Other races female,"1,818","1,942","1,809","1,601","1,586","1,260","1,068",946,772,625,496,481,380,311,243,192,117,78
1971,56,Wyoming,White male,"14,671","16,143","18,222","16,875","13,913","11,716","9,488","8,867","9,750","9,524","8,880","7,932","6,794","4,983","3,786","2,768","1,574",861
1971,56,Wyoming,White female,"13,818","15,599","17,195","16,224","13,549","11,128","9,423","9,009","9,284","9,413","8,781","7,889","6,571","5,370","4,254","3,273","2,121","1,325"
1971,56,Wyoming,Black male,129,149,162,170,265,96,84,74,56,42,51,53,35,28,15,11,7,12
1971,56,Wyoming,Black female,121,164,155,133,117,72,82,61,54,59,58,34,26,28,16,17,7,8
1971,56,Wyoming,Other races male,392,406,422,371,311,240,201,165,150,123,125,81,63,70,45,35,16,18
1971,56,Wyoming,Other races female,380,419,439,352,277,229,204,201,186,126,102,80,49,58,45,30,16,7
1972,01,Alabama,White male,"106,893","115,481","130,448","125,274","110,652","95,268","78,815","71,745","74,707","74,417","71,028","62,493","54,051","42,458","28,581","18,221","10,063","5,829"
1972,01,Alabama,White female,"101,791","109,875","123,549","121,201","112,154","96,796","81,078","74,820","77,531","79,155","75,989","69,378","63,376","54,055","40,251","28,999","18,264","11,689"
1972,01,Alabama,Black male,"47,322","52,190","59,136","55,052","35,248","21,323","18,060","16,360","16,976","17,479","17,714","17,315","16,540","15,331","9,995","6,547","3,517","2,476"
1972,01,Alabama,Black female,"47,038","51,576","58,581","56,607","40,763","25,542","22,417","21,516","23,160","22,910","22,386","21,453","20,483","20,280","13,201","9,197","5,428","4,408"
1972,01,Alabama,Other races male,352,367,385,386,482,314,313,242,193,164,129,112,95,66,74,34,34,65
1972,01,Alabama,Other races female,356,367,373,349,442,400,391,357,314,231,160,129,120,99,84,61,33,28
1972,02,Alaska,White male,"13,054","13,601","14,044","12,347","19,588","14,859","11,633","10,042","8,598","7,263","6,046","4,316","2,599","1,408",683,370,226,150
1972,02,Alaska,White female,"12,360","12,955","13,124","10,659","12,351","13,014","10,012","8,039","6,647","6,008","4,920","3,350","2,010","1,115",607,351,203,150
1972,02,Alaska,Black male,629,560,467,479,"1,576",733,486,408,243,194,149,97,76,27,11,3,6,20
1972,02,Alaska,Black female,618,575,485,345,547,469,359,258,194,158,111,78,55,26,13,6,6,5
1972,02,Alaska,Other races male,"3,711","4,093","4,190","3,419","2,482","1,967","1,758","1,551","1,357","1,162",912,787,603,532,279,184,94,184
1972,02,Alaska,Other races female,"3,531","3,900","4,022","3,386","2,498","1,932","1,755","1,525","1,338","1,031",849,697,536,400,250,164,91,87
1972,04,Arizona,White male,"79,648","83,375","95,008","89,226","82,606","68,387","53,501","47,708","48,152","48,004","46,285","40,448","37,111","32,696","23,275","14,538","7,332","3,624"
1972,04,Arizona,White female,"76,389","80,395","91,556","87,129","79,576","67,805","54,570","48,788","49,332","51,795","50,741","45,595","43,129","37,424","27,088","18,020","10,112","5,941"
1972,04,Arizona,Black male,"3,247","3,578","3,820","3,630","3,308","1,955","1,648","1,567","1,326","1,192","1,106","1,012",912,826,506,325,172,105
1972,04,Arizona,Black female,"3,222","3,479","3,812","3,195","2,470","1,837","1,732","1,475","1,378","1,284","1,188","1,065",899,703,535,337,179,150
1972,04,Arizona,Other races male,"8,227","8,442","8,649","7,333","5,531","4,003","3,374","2,805","2,518","2,015","1,757","1,521","1,266","1,156",760,470,284,280
1972,04,Arizona,Other races female,"8,219","8,435","8,701","7,620","5,928","4,252","3,777","3,286","2,884","2,450","1,988","1,595","1,258",985,637,446,254,262
1972,05,Arkansas,White male,"65,712","70,868","79,357","76,632","65,547","57,576","46,706","41,712","43,229","44,016","44,519","41,977","39,907","34,817","24,523","16,606","9,894","5,677"
1972,05,Arkansas,White female,"62,226","67,680","75,946","74,530","67,450","58,292","47,957","44,194","45,365","47,161","48,022","46,439","45,365","40,487","30,642","22,643","14,229","9,599"
1972,05,Arkansas,Black male,"19,090","20,622","23,215","21,400","12,841","7,350","6,143","5,447","5,700","5,863","6,400","6,594","6,820","7,037","5,318","3,779","2,195","1,670"
1972,05,Arkansas,Black female,"19,008","20,594","23,006","21,602","14,356","8,844","7,601","7,139","7,704","7,920","8,179","8,151","8,293","8,534","6,196","4,508","2,694","2,093"
1972,05,Arkansas,Other races male,262,285,313,317,330,229,212,175,169,146,115,129,99,97,73,43,32,37
1972,05,Arkansas,Other races female,281,287,345,326,357,297,264,224,224,201,161,127,117,113,81,51,38,22
1972,06,California,White male,"714,550","791,982","884,424","865,990","847,486","734,427","579,827","508,953","521,422","535,495","509,124","430,249","350,046","271,839","195,553","131,091","76,635","44,509"
1972,06,California,White female,"683,582","761,748","852,060","824,876","802,670","718,068","571,738","504,016","525,033","561,650","536,063","462,573","396,320","339,147","275,407","210,638","139,204","95,329"
1972,06,California,Black male,"74,552","83,326","88,032","78,660","69,723","56,779","49,358","41,838","39,500","36,200","32,507","25,552","19,708","15,004","9,105","4,940","2,402","1,670"
1972,06,California,Black female,"73,546","82,119","87,513","76,890","70,918","60,328","52,632","44,439","41,586","39,257","35,511","29,132","23,490","17,944","11,827","7,385","4,133","3,095"
1972,06,California,Other races male,"37,291","39,788","41,492","41,212","43,680","35,907","31,420","27,011","25,518","22,660","18,350","15,016","14,103","12,336","7,791","3,808","3,144","2,090"
1972,06,California,Other races female,"35,947","38,428","40,238","39,210","42,799","37,475","34,728","30,990","29,571","24,171","18,640","13,231","9,968","8,226","6,144","4,074","2,565","1,571"
1972,08,Colorado,White male,"96,548","105,700","119,370","117,351","115,624","95,693","74,970","64,519","63,371","61,261","57,175","47,319","39,174","29,729","21,319","14,727","9,118","5,660"
1972,08,Colorado,White female,"92,322","101,643","115,139","112,733","109,264","95,115","75,115","64,743","64,030","63,832","58,981","50,561","43,451","35,492","28,531","22,360","15,402","10,799"
1972,08,Colorado,Black male,"3,924","4,227","4,452","4,302","6,026","3,261","2,576","2,317","1,980","1,717","1,412","1,015",805,552,358,247,128,112
1972,08,Colorado,Black female,"3,781","4,188","4,386","3,830","3,573","2,929","2,560","2,180","1,985","1,778","1,419","1,171",898,703,572,363,213,190
1972,08,Colorado,Other races male,"1,527","1,529","1,535","1,588","1,888","1,433","1,148",845,774,674,534,393,270,229,183,102,84,87
1972,08,Colorado,Other races female,"1,552","1,531","1,591","1,562","1,866","1,504","1,292","1,114","1,031",768,551,344,256,192,179,143,81,64
1972,09,Connecticut,White male,"108,668","127,534","144,374","131,514","109,843","101,649","82,273","75,088","82,503","87,850","88,022","76,287","60,693","43,385","30,590","21,793","13,137","7,335"
1972,09,Connecticut,White female,"104,376","122,213","138,817","128,460","114,527","103,407","84,314","78,300","85,713","93,451","94,009","81,893","68,065","55,832","45,215","35,709","23,684","15,769"
1972,09,Connecticut,Black male,"10,881","11,847","11,836","9,485","7,549","6,712","5,999","4,945","4,699","4,217","3,592","2,668","1,979","1,369",910,488,260,163
1972,09,Connecticut,Black female,"11,041","11,893","11,657","9,803","9,389","8,227","7,360","5,955","5,409","4,743","4,066","3,121","2,443","1,908","1,230",743,457,317
1972,09,Connecticut,Other races male,822,715,586,557,687,695,716,527,415,314,220,164,147,116,91,57,98,83
1972,09,Connecticut,Other races female,776,730,616,496,664,756,715,534,398,314,238,175,153,129,106,65,58,45
1972,10,Delaware,White male,"19,871","22,660","25,486","23,578","20,493","18,115","14,824","13,613","14,306","14,388","13,915","11,355","8,927","6,305","4,387","2,938","1,694",933
1972,10,Delaware,White female,"18,774","21,637","24,278","23,812","21,496","18,687","15,068","13,733","14,575","15,234","14,494","12,128","10,071","8,015","6,497","4,923","3,231","2,232"
1972,10,Delaware,Black male,"4,438","5,021","5,369","4,594","3,409","2,460","2,251","2,050","1,974","1,876","1,765","1,506","1,249",929,636,369,164,145
1972,10,Delaware,Black female,"4,460","5,063","5,390","4,734","4,021","2,998","2,658","2,263","2,235","2,132","1,884","1,619","1,377","1,109",757,504,290,191
1972,10,Delaware,Other races male,183,166,142,122,104,129,183,136,113,65,59,40,34,29,23,15,24,18
1972,10,Delaware,Other races female,177,162,140,118,131,169,195,156,115,83,47,42,35,36,30,22,8,10
1972,11,District of Columbia,White male,"3,447","3,208","3,361","6,311","13,158","11,918","7,614","5,776","5,149","5,183","5,627","5,741","5,736","4,685","3,573","2,565","1,477",866
1972,11,District of Columbia,White female,"3,260","3,012","3,329","7,418","14,147","11,328","6,873","4,890","4,974","5,965","7,067","7,807","8,219","7,396","6,758","5,355","3,563","2,387"
1972,11,District of Columbia,Black male,"23,348","25,931","27,632","25,069","22,475","19,639","16,671","13,744","14,058","13,451","12,685","10,705","8,536","5,837","3,511","2,047",920,639
1972,11,District of Columbia,Black female,"23,178","25,733","27,455","27,271","28,988","23,503","18,302","15,892","16,051","15,826","15,184","12,777","10,411","7,774","5,161","3,233","1,833","1,375"
1972,11,District of Columbia,Other races male,263,249,213,268,456,448,403,295,232,219,147,147,147,121,93,43,27,18
1972,11,District of Columbia,Other races female,258,231,212,282,492,511,428,303,290,228,208,167,136,79,77,46,28,25
1972,12,Florida,White male,"212,220","237,156","276,070","270,134","247,503","208,300","167,339","155,318","168,469","174,658","172,354","155,874","159,470","173,383","140,425","93,639","47,580","22,692"
1972,12,Florida,White female,"201,513","226,125","264,199","258,187","241,058","210,572","174,675","162,509","177,817","191,779","193,966","191,285","207,608","211,980","168,338","112,464","61,761","36,099"
1972,12,Florida,Black male,"60,696","65,341","71,250","62,525","44,691","32,315","29,100","26,222","25,945","23,378","22,134","19,663","16,950","14,247","8,799","4,878","2,448","1,778"
1972,12,Florida,Black female,"60,149","65,208","71,307","63,960","50,466","37,580","34,071","30,741","30,124","27,013","25,167","22,445","19,780","17,122","10,788","6,896","3,870","2,910"
1972,12,Florida,Other races male,"1,591","1,535","1,467","1,418","1,865","1,424","1,383","1,134","1,000",736,539,453,416,409,378,250,160,173
1972,12,Florida,Other races female,"1,515","1,503","1,470","1,328","1,636","1,701","1,620","1,549","1,231",892,670,502,506,438,415,302,163,134
1972,13,Georgia,White male,"151,732","159,338","174,922","168,199","166,170","143,103","115,559","101,585","101,966","99,604","93,839","80,219","65,691","47,801","31,545","20,174","10,855","5,963"
1972,13,Georgia,White female,"144,133","151,632","166,389","161,461","162,503","143,683","116,235","103,223","103,914","104,644","99,655","87,703","77,314","63,489","48,364","35,285","22,456","14,532"
1972,13,Georgia,Black male,"67,311","72,315","78,413","71,885","52,901","37,484","31,004","25,832","24,858","23,453","23,091","21,594","18,850","15,933","9,428","5,999","3,231","2,198"
1972,13,Georgia,Black female,"66,747","72,047","77,838","73,572","60,193","43,882","36,730","32,118","31,654","29,818","28,972","27,104","24,531","22,564","14,533","9,918","5,895","4,635"
1972,13,Georgia,Other races male,586,543,498,626,"1,084",714,608,427,360,247,204,137,101,71,43,30,29,63
1972,13,Georgia,Other races female,631,583,526,507,746,838,729,628,520,309,208,145,143,95,87,53,46,45
1972,15,Hawaii,White male,"15,327","15,365","15,719","15,849","29,893","17,002","12,674","10,884","8,753","7,951","7,183","5,452","4,231","2,857","1,778",988,514,264
1972,15,Hawaii,White female,"14,548","14,479","14,715","12,876","16,859","15,282","11,213","8,782","7,661","7,076","6,393","5,014","4,018","3,058","2,110","1,450",839,561
1972,15,Hawaii,Black male,563,490,367,646,"2,311",704,533,313,202,147,98,70,48,21,8,13,3,3
1972,15,Hawaii,Black female,591,449,326,254,486,410,299,159,92,74,49,27,22,14,8,5,4,3
1972,15,Hawaii,Other races male,"21,882","24,157","26,571","24,658","20,176","17,307","14,925","13,088","14,675","15,657","14,530","12,866","11,275","8,048","5,085","2,660","1,786","1,237"
1972,15,Hawaii,Other races female,"20,974","22,871","25,500","24,504","21,253","17,545","15,934","14,995","17,021","16,862","14,776","10,906","7,764","5,716","4,605","3,281","1,834","1,256"
1972,16,Idaho,White male,"35,408","36,057","41,093","39,411","31,126","26,977","21,531","18,849","19,220","19,025","19,410","17,944","15,810","12,255","8,532","5,876","3,762","2,299"
1972,16,Idaho,White female,"33,646","34,700","39,056","38,685","30,587","26,214","21,212","19,156","19,129","19,732","19,938","18,125","15,719","12,541","9,773","7,530","5,225","3,632"
1972,16,Idaho,Black male,110,107,103,267,309,101,88,81,56,31,43,31,22,21,13,9,3,10
1972,16,Idaho,Black female,117,107,113,91,81,63,59,35,49,37,30,29,30,23,9,8,3,0
1972,16,Idaho,Other races male,702,675,756,725,598,446,370,300,283,270,220,181,137,99,87,63,37,37
1972,16,Idaho,Other races female,709,684,751,674,548,448,354,319,281,259,225,165,111,83,80,79,41,44
1972,17,Illinois,White male,"384,107","429,433","481,275","455,535","378,830","350,935","283,201","252,769","271,072","281,490","278,523","249,224","209,253","156,833","111,536","76,815","45,484","25,568"
1972,17,Illinois,White female,"366,010","410,005","461,251","440,061","399,313","351,801","284,989","256,178","274,749","295,020","297,525","271,714","236,244","196,097","159,298","124,536","81,430","52,643"
1972,17,Illinois,Black male,"80,914","86,506","93,083","78,860","55,672","45,789","41,458","37,259","37,073","33,735","29,952","23,932","19,490","15,975","10,328","5,978","2,769","1,732"
1972,17,Illinois,Black female,"80,878","86,492","93,501","82,568","69,617","56,803","52,293","45,887","43,633","38,880","34,041","27,714","23,421","19,313","13,183","8,330","4,469","3,278"
1972,17,Illinois,Other races male,"5,061","4,373","3,970","3,776","4,153","4,558","4,578","3,545","3,029","2,392","1,621","1,245","1,122",890,574,331,203,144
1972,17,Illinois,Other races female,"4,926","4,286","3,900","3,623","4,849","5,624","4,803","3,778","3,103","2,256","1,600","1,208",940,816,616,396,217,149
1972,18,Indiana,White male,"211,918","230,347","256,215","243,083","203,119","177,884","142,576","126,168","133,805","136,568","130,684","113,746","95,433","73,365","53,119","36,101","21,444","12,646"
1972,18,Indiana,White female,"202,007","221,198","244,823","238,141","212,349","177,988","144,562","130,749","137,384","144,463","139,490","122,668","107,193","90,268","74,523","57,277","38,357","26,503"
1972,18,Indiana,Black male,"19,923","21,020","23,286","21,656","14,687","11,277","9,561","8,525","9,009","8,894","7,831","6,604","5,510","4,258","2,976","1,926",919,624
1972,18,Indiana,Black female,"19,797","21,253","23,514","21,575","16,966","12,763","11,139","10,298","10,538","9,837","8,702","7,237","6,199","5,232","3,534","2,355","1,375",965
1972,18,Indiana,Other races male,838,750,734,728,902,750,679,523,435,330,246,204,169,137,117,77,53,63
1972,18,Indiana,Other races female,798,785,774,704,"1,006",925,795,669,579,364,273,202,177,166,133,99,49,57
1972,19,Iowa,White male,"114,947","129,427","147,047","140,527","107,840","93,456","75,252","67,103","72,526","74,790","74,699","68,061","60,260","49,156","38,702","28,624","17,989","10,715"
1972,19,Iowa,White female,"109,508","123,945","140,674","138,098","113,988","92,988","76,184","70,320","74,175","78,497","79,173","72,804","67,091","59,690","52,390","43,011","30,223","22,183"
1972,19,Iowa,Black male,"2,040","2,105","2,140","2,010","1,742","1,141",927,788,792,704,663,537,465,375,311,199,123,69
1972,19,Iowa,Black female,"1,899","2,004","2,105","2,056","1,730","1,169",972,885,814,758,709,605,548,424,365,256,155,112
1972,19,Iowa,Other races male,592,517,471,451,559,515,376,245,210,157,113,91,78,67,59,38,37,27
1972,19,Iowa,Other races female,666,585,504,467,572,531,422,327,239,177,131,115,89,77,73,53,36,37
1972,20,Kansas,White male,"82,369","91,742","105,649","105,382","97,002","73,898","57,960","52,930","56,292","58,562","56,923","50,989","45,654","38,041","28,634","20,805","12,885","8,033"
1972,20,Kansas,White female,"78,317","87,937","101,099","102,245","89,465","71,478","58,291","54,123","57,640","60,463","59,893","55,194","51,632","46,412","39,357","31,443","22,310","16,107"
1972,20,Kansas,Black male,"5,656","6,182","6,729","6,296","6,840","3,630","2,734","2,506","2,331","2,240","2,118","1,885","1,660","1,456","1,127",794,485,301
1972,20,Kansas,Black female,"5,715","6,188","6,667","5,962","5,003","3,535","2,996","2,703","2,680","2,503","2,328","2,107","1,933","1,744","1,419",992,655,496
1972,20,Kansas,Other races male,895,861,872,983,"1,403",853,640,480,410,336,292,225,169,145,120,74,50,51
1972,20,Kansas,Other races female,852,873,880,956,"1,158",886,713,631,542,405,313,241,194,161,139,109,76,51
1972,21,Kentucky,White male,"131,572","142,558","160,111","159,257","134,001","108,467","88,180","78,060","81,482","82,917","79,496","70,658","62,366","51,635","37,724","25,519","14,972","8,875"
1972,21,Kentucky,White female,"125,235","135,831","152,543","148,214","133,549","111,105","90,645","82,358","85,063","87,846","84,844","77,561","71,367","62,094","49,408","37,045","23,588","16,009"
1972,21,Kentucky,Black male,"11,274","12,273","13,705","15,304","11,469","6,317","5,154","4,581","5,016","5,077","5,031","4,676","4,358","4,007","2,839","1,897","1,070",724
1972,21,Kentucky,Black female,"11,146","12,063","13,603","13,067","10,532","7,319","6,198","5,741","6,073","6,132","5,993","5,567","5,274","4,806","3,645","2,607","1,542","1,183"
1972,21,Kentucky,Other races male,307,273,270,364,480,300,257,208,180,100,98,77,54,56,48,35,21,40
1972,21,Kentucky,Other races female,341,301,251,269,420,402,330,314,266,186,125,102,93,101,69,56,29,34
1972,22,Louisiana,White male,"113,595","124,024","137,660","133,936","120,257","99,249","78,347","69,400","73,315","72,923","68,758","59,650","50,217","38,953","26,157","15,903","8,482","4,779"
1972,22,Louisiana,White female,"108,457","119,215","132,386","127,483","114,763","97,689","78,552","71,507","75,092","76,693","72,516","64,396","57,670","49,796","37,347","26,170","15,827","10,288"
1972,22,Louisiana,Black male,"61,193","66,278","72,741","66,373","44,876","29,144","24,550","21,421","21,875","21,324","20,515","19,033","17,731","16,000","10,804","6,999","3,872","2,626"
1972,22,Louisiana,Black female,"60,842","66,088","71,326","67,533","51,921","35,230","30,308","27,555","27,767","26,462","25,080","22,757","21,296","20,108","13,657","9,600","5,491","4,470"
1972,22,Louisiana,Other races male,833,854,881,816,847,643,553,446,396,318,264,211,214,203,115,83,65,59
1972,22,Louisiana,Other races female,819,878,808,715,767,679,642,543,441,335,263,229,192,145,106,61,40,37
1972,23,Maine,White male,"43,230","48,046","53,516","50,548","42,182","33,967","27,902","25,629","27,080","27,647","26,887","24,204","21,662","17,875","13,268","8,928","5,397","3,216"
1972,23,Maine,White female,"41,493","45,926","51,190","49,440","41,543","34,128","28,183","26,520","28,295","29,401","28,630","26,285","24,825","21,920","18,060","14,062","9,334","6,852"
1972,23,Maine,Black male,154,174,133,220,534,168,133,125,66,59,41,34,24,22,22,10,4,9
1972,23,Maine,Black female,150,167,179,135,117,97,86,62,49,39,27,23,21,26,21,10,11,8
1972,23,Maine,Other races male,260,263,240,209,264,187,169,154,98,67,55,56,39,32,34,16,16,28
1972,23,Maine,Other races female,254,256,240,188,185,195,187,161,131,96,72,61,47,38,34,24,15,14
1972,24,Maryland,White male,"129,579","148,790","166,261","151,833","139,628","128,135","103,648","93,252","98,050","100,092","95,685","78,876","61,905","43,760","29,424","18,820","10,205","5,513"
1972,24,Maryland,White female,"123,436","142,608","159,276","148,974","140,412","129,418","104,589","93,373","98,664","106,455","100,663","83,548","69,492","55,844","44,191","32,498","21,058","13,687"
1972,24,Maryland,Black male,"38,064","44,124","48,211","41,473","31,893","26,770","23,398","20,435","19,941","18,475","16,509","13,398","10,790","8,112","5,233","3,100","1,522",987
1972,24,Maryland,Black female,"37,640","43,531","47,924","42,742","37,543","31,053","27,386","23,492","22,087","20,218","17,926","14,692","11,866","9,616","6,359","3,990","2,309","1,736"
1972,24,Maryland,Other races male,"1,925","1,792","1,579","1,344","1,593","1,565","1,777","1,386","1,179",905,571,407,361,240,157,97,73,69
1972,24,Maryland,Other races female,"1,885","1,719","1,610","1,318","1,595","2,007","2,032","1,712","1,313",875,600,363,313,215,147,106,65,41
1972,25,Massachusetts,White male,"213,234","243,733","274,668","259,137","227,211","194,803","150,515","135,816","148,205","154,562","154,130","135,835","114,200","87,340","65,363","45,636","26,990","15,457"
1972,25,Massachusetts,White female,"203,414","233,370","262,381","260,361","245,633","199,912","155,190","141,431","154,763","168,115","170,677","155,294","139,472","121,047","103,849","80,580","53,567","36,808"
1972,25,Massachusetts,Black male,"11,484","11,292","11,237","9,806","8,801","7,214","5,906","4,879","4,526","4,023","3,685","2,620","1,898","1,463","1,061",783,418,290
1972,25,Massachusetts,Black female,"11,366","11,389","11,347","10,284","10,220","8,578","7,083","5,777","5,235","4,776","4,117","3,176","2,585","2,048","1,536","1,101",667,542
1972,25,Massachusetts,Other races male,"1,840","1,564","1,468","1,577","2,084","1,846","1,701","1,250","1,002",869,683,535,440,360,293,232,163,106
1972,25,Massachusetts,Other races female,"1,901","1,565","1,500","1,531","2,085","1,914","1,631","1,268","1,052",805,658,514,470,405,360,278,164,124
1972,26,Michigan,White male,"340,211","380,947","432,406","401,790","321,802","286,526","227,598","201,642","218,730","225,408","216,163","186,031","151,747","114,115","81,678","56,834","32,918","17,695"
1972,26,Michigan,White female,"324,669","363,466","413,611","396,141","340,372","287,434","230,680","208,521","223,749","236,883","229,599","197,645","165,310","133,036","106,640","82,652","53,845","35,008"
1972,26,Michigan,Black male,"58,432","58,161","61,762","55,805","43,968","34,882","27,660","23,984","26,388","26,671","24,598","20,142","15,919","11,864","7,755","4,418","2,042","1,198"
1972,26,Michigan,Black female,"57,875","57,912","61,404","57,784","51,306","39,485","32,299","29,031","29,949","29,007","26,018","21,026","17,133","13,212","8,946","5,700","3,094","2,206"
1972,26,Michigan,Other races male,"2,954","2,718","2,639","2,447","2,394","2,361","2,184","1,564","1,430","1,181",892,716,609,534,378,250,129,86
1972,26,Michigan,Other races female,"2,961","2,812","2,580","2,407","2,719","2,757","2,272","1,848","1,560","1,225",924,707,576,444,360,292,154,127
1972,27,Minnesota,White male,"160,045","182,967","207,386","191,721","149,448","136,835","107,688","93,959","96,994","97,777","95,868","86,079","74,984","60,999","47,629","35,371","21,603","12,608"
1972,27,Minnesota,White female,"152,489","174,512","198,232","191,344","163,344","136,536","108,188","95,074","97,442","99,747","99,822","91,459","82,321","71,793","61,651","48,862","33,203","23,098"
1972,27,Minnesota,Black male,"2,417","2,294","2,280","2,155","1,947","1,676","1,317","1,065",977,868,728,601,481,379,277,166,104,79
1972,27,Minnesota,Black female,"2,342","2,335","2,200","2,012","1,903","1,540","1,175",974,888,846,708,578,474,418,301,215,129,95
1972,27,Minnesota,Other races male,"2,533","2,580","2,410","2,030","1,748","1,591","1,315",944,849,666,553,467,398,327,219,145,112,99
1972,27,Minnesota,Other races female,"2,648","2,616","2,414","2,079","2,034","1,776","1,408","1,053",811,705,592,459,365,327,234,179,114,68
1972,28,Mississippi,White male,"60,532","63,933","72,274","73,046","67,020","52,064","43,781","39,050","40,367","39,993","38,221","34,762","31,612","25,309","17,294","11,080","6,191","3,612"
1972,28,Mississippi,White female,"57,112","60,973","68,387","68,655","62,361","51,953","43,848","40,356","41,699","42,283","41,090","38,517","36,055","31,232","23,557","17,233","10,741","7,219"
1972,28,Mississippi,Black male,"48,349","51,617","57,380","52,631","31,726","18,116","14,987","13,188","13,411","13,284","14,272","14,663","14,742","14,865","9,679","6,596","3,701","2,585"
1972,28,Mississippi,Black female,"48,483","51,749","56,060","52,461","36,055","21,981","18,954","17,479","18,241","18,121","18,240","17,650","17,503","18,012","11,682","8,060","4,690","3,832"
1972,28,Mississippi,Other races male,450,465,484,518,504,286,297,212,205,160,120,111,110,85,54,29,31,51
1972,28,Mississippi,Other races female,455,467,469,457,437,363,337,293,251,186,143,127,101,97,72,32,39,25
1972,29,Missouri,White male,"163,976","183,788","209,928","201,517","165,761","145,566","117,634","106,959","113,339","116,654","113,756","104,509","95,828","79,975","58,826","40,514","24,386","14,262"
1972,29,Missouri,White female,"156,101","175,672","200,293","195,772","172,935","148,768","120,801","111,391","117,342","124,439","123,829","116,977","111,486","99,821","82,066","63,413","42,875","29,183"
1972,29,Missouri,Black male,"24,731","27,014","30,224","26,538","18,102","13,315","11,716","10,487","10,724","10,426","9,652","8,630","7,828","6,957","4,879","3,152","1,745","1,156"
1972,29,Missouri,Black female,"24,645","26,765","30,262","27,331","21,435","16,263","14,483","13,381","13,479","12,831","11,771","10,466","9,631","8,685","6,201","4,158","2,437","1,730"
1972,29,Missouri,Other races male,915,891,810,849,"1,089","1,023",899,630,487,416,314,244,243,190,149,106,167,105
1972,29,Missouri,Other races female,957,908,863,812,"1,115","1,106",985,789,635,468,367,258,236,209,183,148,120,70
1972,30,Montana,White male,"28,142","32,078","37,340","35,440","28,409","24,295","19,907","17,661","18,512","18,777","19,209","17,354","14,776","11,449","7,810","5,593","4,054","2,674"
1972,30,Montana,White female,"26,836","30,637","36,357","34,488","27,609","23,594","19,587","17,663","18,284","18,557","19,158","17,389","14,629","11,605","9,033","7,539","5,686","3,891"
1972,30,Montana,Black male,122,103,81,212,317,110,85,72,48,31,25,13,18,16,19,9,4,7
1972,30,Montana,Black female,111,86,87,84,84,71,53,37,23,21,21,16,20,15,14,7,2,3
1972,30,Montana,Other races male,"2,076","2,175","2,253","1,920","1,299",959,871,657,645,558,508,426,343,296,187,129,77,58
1972,30,Montana,Other races female,"2,040","2,123","2,253","1,923","1,402","1,029",917,822,723,572,509,416,318,259,185,117,83,75
1972,31,Nebraska,White male,"59,644","66,193","75,148","71,680","60,808","49,823","40,032","36,553","38,076","38,979","37,758","33,843","31,015","25,934","20,436","15,314","9,572","5,789"
1972,31,Nebraska,White female,"57,170","63,837","71,707","71,263","62,321","49,311","40,035","37,089","38,263","39,460","39,002","36,587","34,706","31,075","27,061","22,378","15,433","10,997"
1972,31,Nebraska,Black male,"2,400","2,651","2,827","2,587","1,983","1,345","1,180","1,068",981,890,689,578,529,436,313,198,107,64
1972,31,Nebraska,Black female,"2,455","2,683","2,777","2,463","2,054","1,577","1,335","1,216","1,110",935,801,674,589,489,378,245,138,132
1972,31,Nebraska,Other races male,661,652,678,576,631,407,377,262,249,200,186,155,109,116,78,69,44,49
