Region,Indicator,Sex,Units,2011,2012,2013,2014,2015,2016
Luweero,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,16,16,
Luweero,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,52,46,
Luweero,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,48,42,
Luweero,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,27,21,20,20,21
Luweero,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,48,57,44,50,55
Gomba,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,156,161,140,146,139,
Gomba,"Net Intake Rate (PNI) , primary",Both Sex,%,77,81,73,66,65,
Gomba,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,123,132,116,111,94,
Gomba,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,105,112,103,97,81,
Gomba,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,52,47,44,35,36
Gomba,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,55,60,51,57,44
Gomba,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,37,25,
Gomba,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,4,2,
Gomba,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,25,19,
Gomba,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,23,18,
Gomba,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,20,18,17,17,18
Gomba,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,39,46,33,53,40
Rakai,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,146,147,152,166,171,
Rakai,"Net Intake Rate (PNI) , primary",Both Sex,%,72,70,77,69,77,
Rakai,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,114,119,120,117,106,
Rakai,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,98,103,106,97,90,
Rakai,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,44,43,41,39,39
Rakai,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,60,61,59,70,55
Rakai,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,47,38,
Rakai,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,11,10,
Rakai,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,31,29,
Rakai,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,29,27,
Rakai,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,38,29,26,27,29
Rakai,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,55,60,47,51,58
Bukomansimbi,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,155,142,156,177,204,
Bukomansimbi,"Net Intake Rate (PNI) , primary",Both Sex,%,8,74,89,80,104,
Bukomansimbi,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,113,113,127,131,138,
Bukomansimbi,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,99,98,115,116,124,
Bukomansimbi,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,51,53,52,53,55
Bukomansimbi,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,60,68,66,37,73
Bukomansimbi,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,38,27,
Bukomansimbi,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,6,11,
Bukomansimbi,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,28,23,
Bukomansimbi,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,26,22,
Bukomansimbi,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,25,29,29,28,30
Bukomansimbi,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,37,53,55,50,49
Nakaseke,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,182,201,184,201,243,
Nakaseke,"Net Intake Rate (PNI) , primary",Both Sex,%,90,91,85,81,106,
Nakaseke,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,128,143,130,138,155,
Nakaseke,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,110,121,112,118,132,
Nakaseke,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,46,40,50,39,43
Nakaseke,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,44,41,46,49,46
Nakaseke,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,40,35,
Nakaseke,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,7,8,
Nakaseke,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,32,25,
Nakaseke,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,29,23,
Nakaseke,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,21,18,17,17,16
Nakaseke,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,46,54,47,36,34
Lyantonde,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,204,226,234,215,201,
Lyantonde,"Net Intake Rate (PNI) , primary",Both Sex,%,91,104,111,104,96,
Lyantonde,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,120,138,147,149,123,
Lyantonde,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,103,121,132,133,105,
Lyantonde,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,43,40,34,36,36
Lyantonde,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,47,46,43,51,36
Lyantonde,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,50,43,
Lyantonde,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,6,3,
Lyantonde,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,34,28,
Lyantonde,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,30,25,
Lyantonde,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,23,20,20,19,20
Lyantonde,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,52,53,50,77,52
Mubende,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,148,136,115,127,135,
Mubende,"Net Intake Rate (PNI) , primary",Both Sex,%,60,53,45,44,54,
Mubende,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,105,107,85,88,85,
Mubende,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,85,87,71,70,69,
Mubende,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,53,45,45,39,35
Mubende,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,50,58,54,61,42
Mubende,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,34,31,
Mubende,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,4,4,
Mubende,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,24,22,
Mubende,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,21,20,
Mubende,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,29,24,24,25,20
Mubende,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,53,57,47,51,48
Kiboga,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,111,105,110,122,157,
Kiboga,"Net Intake Rate (PNI) , primary",Both Sex,%,47,38,43,42,60,
Kiboga,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,91,91,91,90,103,
Kiboga,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,71,73,76,71,83,
Kiboga,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,33,31,28,27,27
Kiboga,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,44,43,35,42,37
Kiboga,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,41,39,
Kiboga,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,6,8,
Kiboga,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,30,29,
Kiboga,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,28,27,
Kiboga,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,31,18,18,21,19
Kiboga,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,53,62,50,56,50
Lwengo,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,201,184,185,210,202,
Lwengo,"Net Intake Rate (PNI) , primary",Both Sex,%,91,89,93,88,94,
Lwengo,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,138,137,135,137,112,
Lwengo,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,116,117,120,120,97,
Lwengo,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,48,48,52,38,41
Lwengo,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,56,60,62,71,50
Lwengo,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,41,37,
Lwengo,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,9,8,
Lwengo,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,26,28,
Lwengo,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,25,26,
Lwengo,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,32,22,24,23,22
Lwengo,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,58,89,51,49,56
Buvuma,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,160,150,176,231,153,
Buvuma,"Net Intake Rate (PNI) , primary",Both Sex,%,56,64,71,89,65,
Buvuma,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,125,154,179,198,103,
Buvuma,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,104,124,160,172,86,
Buvuma,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,43,50,59,36,41
Buvuma,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,56,82,77,123,54
Buvuma,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,24,9,
Buvuma,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,1,0,
Buvuma,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,10,6,
Buvuma,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,9,5,
Buvuma,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,11,12,11,11,16
Buvuma,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,19,25,20,53,49
Wakiso,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,74,70,82,88,59,
Wakiso,"Net Intake Rate (PNI) , primary",Both Sex,%,33,33,38,44,29,
Wakiso,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,77,78,89,89,61,
Wakiso,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,63,65,75,75,51,
Wakiso,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,30,26,26,27,26
Wakiso,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,37,36,39,40,36
Wakiso,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,37,35,
Wakiso,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,14,12,
Wakiso,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,30,26,
Wakiso,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,27,23,
Wakiso,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,25,19,20,20,19
Wakiso,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,46,49,52,51,50
Mpigi,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,125,127,129,135,137,
Mpigi,"Net Intake Rate (PNI) , primary",Both Sex,%,61,65,65,62,62,
Mpigi,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,108,119,110,115,107,
Mpigi,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,89,100,95,96,92,
Mpigi,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,42,41,40,36,37
Mpigi,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,49,54,46,51,44
Mpigi,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,63,53,
Mpigi,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,13,12,
Mpigi,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,50,41,
Mpigi,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,46,38,
Mpigi,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,22,15,16,17,15
Mpigi,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,39,47,39,39,41
Kampala,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,57,59,65,75,73,
Kampala,"Net Intake Rate (PNI) , primary",Both Sex,%,27,29,35,36,40,
Kampala,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,61,64,76,82,78,
Kampala,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,50,53,64,71,66,
Kampala,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,29,26,30,28,25
Kampala,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,38,34,41,42,34
Kampala,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,42,38,
Kampala,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,16,13,
Kampala,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,30,25,
Kampala,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,27,23,
Kampala,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,29,21,19,21,19
Kampala,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,52,57,49,59,51
Nakasongola,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,178,174,161,156,137,
Nakasongola,"Net Intake Rate (PNI) , primary",Both Sex,%,92,91,85,67,65,
Nakasongola,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,146,145,143,131,95,
Nakasongola,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,114,116,118,104,76,
Nakasongola,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,39,34,31,29,25
Nakasongola,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,43,39,36,39,33
Nakasongola,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,63,41,
Nakasongola,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,12,8,
Nakasongola,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,41,30,
Nakasongola,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,37,28,
Nakasongola,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,27,23,21,22,21
Nakasongola,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,49,52,46,43,35
Kyankwanzi,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,167,157,151,153,142,
Kyankwanzi,"Net Intake Rate (PNI) , primary",Both Sex,%,63,57,59,51,53,
Kyankwanzi,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,118,111,115,114,86,
Kyankwanzi,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,94,90,97,91,68,
Kyankwanzi,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,38,34,35,33,32
Kyankwanzi,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,48,46,45,58,44
Kyankwanzi,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,29,21,
Kyankwanzi,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,4,4,
Kyankwanzi,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,16,14,
Kyankwanzi,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,15,13,
Kyankwanzi,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,18,15,15,20,15
Kyankwanzi,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,30,37,37,47,37
Kayunga,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,172,160,127,144,144,
Kayunga,"Net Intake Rate (PNI) , primary",Both Sex,%,85,81,64,64,70,
Kayunga,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,147,140,114,120,100,
Kayunga,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,123,116,97,100,84,
Kayunga,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,52,50,41,44,38
Kayunga,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,59,57,53,67,51
Kayunga,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,46,33,
Kayunga,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,11,7,
Kayunga,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,35,27,
Kayunga,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,31,25,
Kayunga,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,30,21,19,25,21
Kayunga,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,41,62,48,52,50
Masaka,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,165,141,156,161,126,
Masaka,"Net Intake Rate (PNI) , primary",Both Sex,%,75,66,80,68,61,
Masaka,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,12,113,122,127,91,
Masaka,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,103,97,109,110,79,
Masaka,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,37,31,33,30,29
Masaka,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,43,38,39,43,38
Masaka,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,73,41,
Masaka,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,27,1,
Masaka,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,56,35,
Masaka,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,52,32,
Masaka,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,29,18,19,19,19
Masaka,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,47,48,33,49,40
Kalangala,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,77,93,99,102,111,
Kalangala,"Net Intake Rate (PNI) , primary",Both Sex,%,33,35,41,37,49,
Kalangala,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,60,54,73,78,87,
Kalangala,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,48,45,60,62,72,
Kalangala,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,30,29,27,29,31
Kalangala,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,28,26,29,25,31
Kalangala,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,17,20,
Kalangala,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,1,1,
Kalangala,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,7,16,
Kalangala,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,6,12,
Kalangala,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,13,12,12,13,9
Kalangala,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,39,58,40,35,29
Mukono,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,128,119,107,122,111,
Mukono,"Net Intake Rate (PNI) , primary",Both Sex,%,60,53,46,47,50,
Mukono,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,111,105,100,109,91,
Mukono,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,91,88,84,91,77,
Mukono,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,42,39,44,37,38
Mukono,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,49,43,51,53,45
Mukono,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,45,34,
Mukono,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,13,8,
Mukono,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,41,27,
Mukono,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,37,25,
Mukono,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,34,20,18,23,22
Mukono,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,43,58,43,57,55
Kalungu,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,209,212,227,265,229,
Kalungu,"Net Intake Rate (PNI) , primary",Both Sex,%,113,112,119,115,105,
Kalungu,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,145,148,156,168,139,
Kalungu,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,123,126,138,143,119,
Kalungu,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,48,48,49,45,45
Kalungu,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,60,64,68,84,57
Kalungu,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,66,61,
Kalungu,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,14,11,
Kalungu,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,52,46,
Kalungu,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,48,43,
Kalungu,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,49,21,21,20,20
Kalungu,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,43,14,41,47,45
Serere,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,137,125,133,161,168,
Serere,"Net Intake Rate (PNI) , primary",Both Sex,%,81,75,81,74,82,
Serere,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,130,133,146,146,130,
Serere,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,115,118,131,125,109,
Serere,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,63,55,52,49,52
Serere,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,67,67,69,71,66
Serere,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,43,18,
Serere,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,3,1,
Serere,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,24,13,
Serere,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,21,11,
Serere,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,35,24,26,23,24
Serere,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,67,86,70,60,57
Sironko,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,149,134,146,149,175,
Sironko,"Net Intake Rate (PNI) , primary",Both Sex,%,87,71,84,72,84,
Sironko,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,152,137,137,143,142,
Sironko,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,133,119,121,123,118,
Sironko,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,53,53,50,48,46
Sironko,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,66,73,63,66,59
Sironko,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,45,33,
Sironko,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,7,4,
Sironko,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,32,26,
Sironko,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,29,24,
Sironko,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,34,21,23,22,23
Sironko,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,49,56,49,61,66
Jinja,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,74,88,56,80,101,
Jinja,"Net Intake Rate (PNI) , primary",Both Sex,%,45,52,32,44,59,
Jinja,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,87,98,67,91,98,
Jinja,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,75,84,59,80,85,
Jinja,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,40,36,40,37,36
Jinja,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,53,51,53,58,49
Jinja,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,65,62,
Jinja,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,14,13,
Jinja,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,49,48,
Jinja,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,44,43,
Jinja,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,34,27,25,25,25
Jinja,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,57,64,58,54,54
Bududa,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,144,146,163,167,148,
Bududa,"Net Intake Rate (PNI) , primary",Both Sex,%,76,68,82,78,65,
Bududa,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,127,129,131,133,107,
Bududa,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,108,110,116,109,91,
Bududa,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,48,47,46,50,54
Bududa,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,59,59,70,74,65
Bududa,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,38,27,
Bududa,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,3,2,
Bududa,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,25,18,
Bududa,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,21,16,
Bududa,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,43,33,32,39,47
Bududa,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,71,66,47,56,65
Bulambuli,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,155,150,164,176,120,
Bulambuli,"Net Intake Rate (PNI) , primary",Both Sex,%,101,84,98,94,64,
Bulambuli,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,162,167,170,172,101,
Bulambuli,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,142,146,149,150,88,
Bulambuli,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,55,51,50,48,47
Bulambuli,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,76,68,63,35,63
Bulambuli,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,103,40,
Bulambuli,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,18,6,
Bulambuli,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,50,29,
Bulambuli,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,47,25,
Bulambuli,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,57,31,32,34,31
Bulambuli,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,62,107,74,63,50
Butaleja,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,208,208,225,261,219,
Butaleja,"Net Intake Rate (PNI) , primary",Both Sex,%,122,120,135,144,122,
Butaleja,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,169,172,179,190,141,
Butaleja,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,149,152,163,168,127,
