RefSeqID	chromosome_dcid
NW_003315966.2	dcid:bio/hg19_chr20_GL383577v2_alt
NT_187623.1	dcid:bio/hg19_chr20_KI270869v1_alt
NT_187624.1	dcid:bio/hg19_chr20_KI270870v1_alt
NT_187625.1	dcid:bio/hg19_chr20_KI270871v1_alt
NW_003315967.2	dcid:bio/hg19_chr21_GL383578v2_alt
NW_003315968.2	dcid:bio/hg19_chr21_GL383579v2_alt
NW_003315969.2	dcid:bio/hg19_chr21_GL383580v2_alt
NW_003315970.2	dcid:bio/hg19_chr21_GL383581v2_alt
NT_187626.1	dcid:bio/hg19_chr21_KI270872v1_alt
NT_187627.1	dcid:bio/hg19_chr21_KI270873v1_alt
NT_187628.1	dcid:bio/hg19_chr21_KI270874v1_alt
NW_003315971.2	dcid:bio/hg19_chr22_GL383582v2_alt
NW_003315972.2	dcid:bio/hg19_chr22_GL383583v2_alt
NT_187629.1	dcid:bio/hg19_chr22_KI270875v1_alt
NT_187630.1	dcid:bio/hg19_chr22_KI270876v1_alt
NT_187631.1	dcid:bio/hg19_chr22_KI270877v1_alt
NT_187632.1	dcid:bio/hg19_chr22_KI270878v1_alt
NT_187633.1	dcid:bio/hg19_chr22_KI270879v1_alt
NT_187634.1	dcid:bio/hg19_chrX_KI270880v1_alt
NT_187635.1	dcid:bio/hg19_chrX_KI270881v1_alt
NT_187646.1	dcid:bio/hg19_chr1_KI270892v1_alt
NT_187647.1	dcid:bio/hg19_chr2_KI270893v1_alt
NT_187648.1	dcid:bio/hg19_chr2_KI270894v1_alt
NT_187649.1	dcid:bio/hg19_chr3_KI270895v1_alt
NT_187650.1	dcid:bio/hg19_chr4_KI270896v1_alt
NT_187651.1	dcid:bio/hg19_chr5_KI270897v1_alt
NT_187652.1	dcid:bio/hg19_chr5_KI270898v1_alt
NT_113891.3	dcid:bio/hg19_chr6_GL000251v2_alt
NT_187653.1	dcid:bio/hg19_chr7_KI270899v1_alt
NT_187654.1	dcid:bio/hg19_chr8_KI270900v1_alt
NT_187655.1	dcid:bio/hg19_chr8_KI270901v1_alt
NT_187656.1	dcid:bio/hg19_chr11_KI270902v1_alt
NT_187657.1	dcid:bio/hg19_chr11_KI270903v1_alt
NT_187658.1	dcid:bio/hg19_chr12_KI270904v1_alt
NT_187660.1	dcid:bio/hg19_chr15_KI270905v1_alt
NT_187659.1	dcid:bio/hg19_chr15_KI270906v1_alt
NW_003871093.1	dcid:bio/hg19_chr17_JH159148v1_alt
NT_187662.1	dcid:bio/hg19_chr17_KI270907v1_alt
NT_187663.1	dcid:bio/hg19_chr17_KI270908v1_alt
NT_187661.1	dcid:bio/hg19_chr17_KI270909v1_alt
NT_187664.1	dcid:bio/hg19_chr17_KI270910v1_alt
NT_187666.1	dcid:bio/hg19_chr18_KI270911v1_alt
NT_187665.1	dcid:bio/hg19_chr18_KI270912v1_alt
NW_003571055.2	dcid:bio/hg19_chr19_GL949747v2_alt
NW_004504305.1	dcid:bio/hg19_chr22_KB663609v1_alt
NT_187667.1	dcid:bio/hg19_chrX_KI270913v1_alt
NT_187678.1	dcid:bio/hg19_chr3_KI270924v1_alt
NT_187679.1	dcid:bio/hg19_chr4_KI270925v1_alt
NT_167245.2	dcid:bio/hg19_chr6_GL000252v2_alt
NT_187680.1	dcid:bio/hg19_chr8_KI270926v1_alt
NT_187681.1	dcid:bio/hg19_chr11_KI270927v1_alt
NW_003571056.2	dcid:bio/hg19_chr19_GL949748v2_alt
NT_187682.1	dcid:bio/hg19_chr22_KI270928v1_alt
NT_187688.1	dcid:bio/hg19_chr3_KI270934v1_alt
NT_167246.2	dcid:bio/hg19_chr6_GL000253v2_alt
NW_003571057.2	dcid:bio/hg19_chr19_GL949749v2_alt
NT_187689.1	dcid:bio/hg19_chr3_KI270935v1_alt
NT_167247.2	dcid:bio/hg19_chr6_GL000254v2_alt
NW_003571058.2	dcid:bio/hg19_chr19_GL949750v2_alt
NT_187690.1	dcid:bio/hg19_chr3_KI270936v1_alt
NT_167248.2	dcid:bio/hg19_chr6_GL000255v2_alt
NW_003571059.2	dcid:bio/hg19_chr19_GL949751v2_alt
NT_187691.1	dcid:bio/hg19_chr3_KI270937v1_alt
NT_167249.2	dcid:bio/hg19_chr6_GL000256v2_alt
NW_003571060.1	dcid:bio/hg19_chr19_GL949752v1_alt
NT_187692.1	dcid:bio/hg19_chr6_KI270758v1_alt
NW_003571061.2	dcid:bio/hg19_chr19_GL949753v2_alt
NT_187693.1	dcid:bio/hg19_chr19_KI270938v1_alt
NT_187636.1	dcid:bio/hg19_chr19_KI270882v1_alt
NT_187637.1	dcid:bio/hg19_chr19_KI270883v1_alt
NT_187638.1	dcid:bio/hg19_chr19_KI270884v1_alt
NT_187639.1	dcid:bio/hg19_chr19_KI270885v1_alt
NT_187640.1	dcid:bio/hg19_chr19_KI270886v1_alt
NT_187641.1	dcid:bio/hg19_chr19_KI270887v1_alt
NT_187642.1	dcid:bio/hg19_chr19_KI270888v1_alt
NT_187643.1	dcid:bio/hg19_chr19_KI270889v1_alt
NT_187644.1	dcid:bio/hg19_chr19_KI270890v1_alt
NT_187645.1	dcid:bio/hg19_chr19_KI270891v1_alt
NT_187668.1	dcid:bio/hg19_chr19_KI270914v1_alt
NT_187669.1	dcid:bio/hg19_chr19_KI270915v1_alt
NT_187670.1	dcid:bio/hg19_chr19_KI270916v1_alt
NT_187671.1	dcid:bio/hg19_chr19_KI270917v1_alt
NT_187672.1	dcid:bio/hg19_chr19_KI270918v1_alt
NT_187673.1	dcid:bio/hg19_chr19_KI270919v1_alt
NT_187674.1	dcid:bio/hg19_chr19_KI270920v1_alt
NT_187675.1	dcid:bio/hg19_chr19_KI270921v1_alt
NT_187676.1	dcid:bio/hg19_chr19_KI270922v1_alt
NT_187677.1	dcid:bio/hg19_chr19_KI270923v1_alt
NT_187683.1	dcid:bio/hg19_chr19_KI270929v1_alt
NT_187684.1	dcid:bio/hg19_chr19_KI270930v1_alt
NT_187685.1	dcid:bio/hg19_chr19_KI270931v1_alt
NT_187686.1	dcid:bio/hg19_chr19_KI270932v1_alt
NT_187687.1	dcid:bio/hg19_chr19_KI270933v1_alt
NT_113949.2	dcid:bio/hg19_chr19_GL000209v2_alt
NC_012920.1	dcid:bio/hg19_chrM
NC_000001.10	dcid:bio/hg38_chr1
NC_000002.11	dcid:bio/hg38_chr2
NC_000003.11	dcid:bio/hg38_chr3
NC_000004.11	dcid:bio/hg38_chr4
NC_000005.9	dcid:bio/hg38_chr5
NC_000006.11	dcid:bio/hg38_chr6
NC_000007.13	dcid:bio/hg38_chr7
NC_000008.10	dcid:bio/hg38_chr8
NC_000009.11	dcid:bio/hg38_chr9
NC_000010.10	dcid:bio/hg38_chr10
NC_000011.9	dcid:bio/hg38_chr11
NC_000012.11	dcid:bio/hg38_chr12
NC_000013.10	dcid:bio/hg38_chr13
NC_000014.8	dcid:bio/hg38_chr14
NC_000015.9	dcid:bio/hg38_chr15
NC_000016.9	dcid:bio/hg38_chr16
NC_000017.10	dcid:bio/hg38_chr17
NC_000018.9	dcid:bio/hg38_chr18
NC_000019.9	dcid:bio/hg38_chr19
NC_000020.10	dcid:bio/hg38_chr20
NC_000021.8	dcid:bio/hg38_chr21
NC_000022.10	dcid:bio/hg38_chr22
NC_000023.10	dcid:bio/hg38_chrX
NC_000024.9	dcid:bio/hg38_chrY
NT_113878.1	dcid:bio/hg38_chr1_gl000191_random
NT_167207.1	dcid:bio/hg38_chr1_gl000192_random
NT_113885.1	dcid:bio/hg38_chr4_gl000193_random
NT_113888.1	dcid:bio/hg38_chr4_gl000194_random
NT_113901.1	dcid:bio/hg38_chr7_gl000195_random
NT_113909.1	dcid:bio/hg38_chr8_gl000196_random
NT_113907.1	dcid:bio/hg38_chr8_gl000197_random
NT_113914.1	dcid:bio/hg38_chr9_gl000198_random
NT_113916.2	dcid:bio/hg38_chr9_gl000199_random
NT_113915.1	dcid:bio/hg38_chr9_gl000200_random
NT_113911.1	dcid:bio/hg38_chr9_gl000201_random
NT_113921.2	dcid:bio/hg38_chr11_gl000202_random
NT_113941.1	dcid:bio/hg38_chr17_gl000203_random
NT_113943.1	dcid:bio/hg38_chr17_gl000204_random
NT_113930.1	dcid:bio/hg38_chr17_gl000205_random
NT_113945.1	dcid:bio/hg38_chr17_gl000206_random
NT_113947.1	dcid:bio/hg38_chr18_gl000207_random
NT_113948.1	dcid:bio/hg38_chr19_gl000208_random
NT_113949.1	dcid:bio/hg38_chr19_gl000209_random
NT_113950.2	dcid:bio/hg38_chr21_gl000210_random
NT_113961.1	dcid:bio/hg38_chrUn_gl000211
NT_113923.1	dcid:bio/hg38_chrUn_gl000212
NT_167208.1	dcid:bio/hg38_chrUn_gl000213
NT_167209.1	dcid:bio/hg38_chrUn_gl000214
NT_167210.1	dcid:bio/hg38_chrUn_gl000215
NT_167211.1	dcid:bio/hg38_chrUn_gl000216
NT_167212.1	dcid:bio/hg38_chrUn_gl000217
NT_113889.1	dcid:bio/hg38_chrUn_gl000218
NT_167213.1	dcid:bio/hg38_chrUn_gl000219
NT_167214.1	dcid:bio/hg38_chrUn_gl000220
NT_167215.1	dcid:bio/hg38_chrUn_gl000221
NT_167216.1	dcid:bio/hg38_chrUn_gl000222
NT_167217.1	dcid:bio/hg38_chrUn_gl000223
NT_167218.1	dcid:bio/hg38_chrUn_gl000224
NT_167219.1	dcid:bio/hg38_chrUn_gl000225
NT_167220.1	dcid:bio/hg38_chrUn_gl000226
NT_167221.1	dcid:bio/hg38_chrUn_gl000227
NT_167222.1	dcid:bio/hg38_chrUn_gl000228
NT_167223.1	dcid:bio/hg38_chrUn_gl000229
NT_167224.1	dcid:bio/hg38_chrUn_gl000230
NT_167225.1	dcid:bio/hg38_chrUn_gl000231
NT_167226.1	dcid:bio/hg38_chrUn_gl000232
NT_167227.1	dcid:bio/hg38_chrUn_gl000233
NT_167228.1	dcid:bio/hg38_chrUn_gl000234
NT_167229.1	dcid:bio/hg38_chrUn_gl000235
NT_167230.1	dcid:bio/hg38_chrUn_gl000236
NT_167231.1	dcid:bio/hg38_chrUn_gl000237
NT_167232.1	dcid:bio/hg38_chrUn_gl000238
NT_167233.1	dcid:bio/hg38_chrUn_gl000239
NT_167234.1	dcid:bio/hg38_chrUn_gl000240
NT_167235.1	dcid:bio/hg38_chrUn_gl000241
NT_167236.1	dcid:bio/hg38_chrUn_gl000242
NT_167237.1	dcid:bio/hg38_chrUn_gl000243
NT_167238.1	dcid:bio/hg38_chrUn_gl000244
NT_167239.1	dcid:bio/hg38_chrUn_gl000245
NT_167240.1	dcid:bio/hg38_chrUn_gl000246
NT_167241.1	dcid:bio/hg38_chrUn_gl000247
NT_167242.1	dcid:bio/hg38_chrUn_gl000248
NT_167243.1	dcid:bio/hg38_chrUn_gl000249
NW_003315903.1	dcid:bio/hg38_chr1_GL383516v1_fix
NW_003315904.1	dcid:bio/hg38_chr1_GL383517v1_fix
NW_003571030.1	dcid:bio/hg38_chr1_GL949741v1_fix
NW_003871055.3	dcid:bio/hg38_chr1_JH636052v4_fix
NW_003871056.3	dcid:bio/hg38_chr1_JH636053v3_fix
NW_003871057.1	dcid:bio/hg38_chr1_JH636054v1_fix
NW_004070863.1	dcid:bio/hg38_chr1_JH806573v1_fix
NW_004070864.2	dcid:bio/hg38_chr1_JH806574v2_fix
NW_004070865.1	dcid:bio/hg38_chr1_JH806575v1_fix
NW_003315905.1	dcid:bio/hg38_chr1_GL383518v1_alt
NW_003315906.1	dcid:bio/hg38_chr1_GL383519v1_alt
NW_003315907.1	dcid:bio/hg38_chr1_GL383520v1_alt
NW_003571031.1	dcid:bio/hg38_chr2_GL877870v2_fix
NW_003571032.1	dcid:bio/hg38_chr2_GL877871v1_fix
NW_004504299.1	dcid:bio/hg38_chr2_KB663603v1_fix
NW_003315908.1	dcid:bio/hg38_chr2_GL383521v1_alt
NW_003315909.1	dcid:bio/hg38_chr2_GL383522v1_alt
NW_003571033.2	dcid:bio/hg38_chr2_GL582966v2_alt
NW_003315910.1	dcid:bio/hg38_chr3_GL383523v1_fix
NW_003315911.1	dcid:bio/hg38_chr3_GL383524v1_fix
NW_003315912.1	dcid:bio/hg38_chr3_GL383525v1_fix
NW_003871058.1	dcid:bio/hg38_chr3_JH159131v1_fix
NW_003871059.1	dcid:bio/hg38_chr3_JH159132v1_fix
NW_004775426.1	dcid:bio/hg38_chr3_KE332495v1_fix
NW_003315913.1	dcid:bio/hg38_chr3_GL383526v1_alt
NW_003871060.1	dcid:bio/hg38_chr3_JH636055v1_alt
NW_003571035.1	dcid:bio/hg38_chr4_GL582967v1_fix
NW_003571034.1	dcid:bio/hg38_chr4_GL877872v1_fix
NW_004775427.1	dcid:bio/hg38_chr4_KE332496v1_fix
NW_003315914.1	dcid:bio/hg38_chr4_GL383527v1_alt
NW_003315915.1	dcid:bio/hg38_chr4_GL383528v1_alt
NW_003315916.1	dcid:bio/hg38_chr4_GL383529v1_alt
NW_003871061.1	dcid:bio/hg38_chr5_JH159133v1_fix
NW_004775428.1	dcid:bio/hg38_chr5_KE332497v1_fix
NW_003315917.2	dcid:bio/hg38_chr5_GL339449v2_alt
NW_003315918.1	dcid:bio/hg38_chr5_GL383530v1_alt
NW_003315919.1	dcid:bio/hg38_chr5_GL383531v1_alt
NW_003315920.1	dcid:bio/hg38_chr5_GL383532v1_alt
NW_003571036.1	dcid:bio/hg38_chr5_GL949742v1_alt
NW_003871062.1	dcid:bio/hg38_chr6_JH636056v1_fix
NW_003871063.1	dcid:bio/hg38_chr6_JH636057v1_fix
NW_004070866.1	dcid:bio/hg38_chr6_JH806576v1_fix
NW_004504300.1	dcid:bio/hg38_chr6_KB663604v1_fix
NW_004775429.1	dcid:bio/hg38_chr6_KE332498v1_fix
NW_003315921.1	dcid:bio/hg38_chr6_GL383533v1_alt
NW_004166862.1	dcid:bio/hg38_chr6_KB021644v1_alt
NW_003571037.1	dcid:bio/hg38_chr7_GL582968v1_fix
NW_003571038.1	dcid:bio/hg38_chr7_GL582969v1_fix
NW_003571039.1	dcid:bio/hg38_chr7_GL582970v1_fix
NW_003571040.1	dcid:bio/hg38_chr7_GL582971v1_fix
NW_003571041.1	dcid:bio/hg38_chr7_GL582972v1_fix
NW_003871064.1	dcid:bio/hg38_chr7_JH159134v2_fix
NW_003871065.1	dcid:bio/hg38_chr7_JH636058v1_fix
NW_004775430.1	dcid:bio/hg38_chr7_KE332499v1_fix
NW_003315922.2	dcid:bio/hg38_chr7_GL383534v2_alt
NW_003315923.1	dcid:bio/hg38_chr8_GL383535v1_fix
NW_003315924.1	dcid:bio/hg38_chr8_GL383536v1_fix
NW_003571042.1	dcid:bio/hg38_chr8_GL949743v1_fix
NW_003871066.2	dcid:bio/hg38_chr8_JH159135v2_fix
NW_004775431.1	dcid:bio/hg38_chr8_KE332500v1_fix
NW_003315925.1	dcid:bio/hg38_chr9_GL339450v1_fix
NW_003315926.1	dcid:bio/hg38_chr9_GL383537v1_fix
NW_003315927.1	dcid:bio/hg38_chr9_GL383538v1_fix
NW_003871067.1	dcid:bio/hg38_chr9_JH636059v1_fix
NW_004070867.1	dcid:bio/hg38_chr9_JH806577v1_fix
NW_004070868.1	dcid:bio/hg38_chr9_JH806578v1_fix
NW_004070869.1	dcid:bio/hg38_chr9_JH806579v1_fix
NW_004504301.1	dcid:bio/hg38_chr9_KB663605v1_fix
NW_003315928.1	dcid:bio/hg38_chr9_GL383539v1_alt
NW_003315929.1	dcid:bio/hg38_chr9_GL383540v1_alt
NW_003315930.1	dcid:bio/hg38_chr9_GL383541v1_alt
NW_003315931.1	dcid:bio/hg38_chr9_GL383542v1_alt
NW_003315932.1	dcid:bio/hg38_chr10_GL383543v1_fix
NW_003315933.1	dcid:bio/hg38_chr10_GL383544v1_fix
NW_003571043.1	dcid:bio/hg38_chr10_GL877873v1_fix
NW_003871068.1	dcid:bio/hg38_chr10_JH591181v2_fix
NW_003871069.1	dcid:bio/hg38_chr10_JH591182v1_fix
NW_003871070.1	dcid:bio/hg38_chr10_JH591183v1_fix
NW_003871071.1	dcid:bio/hg38_chr10_JH636060v1_fix
NW_004070870.1	dcid:bio/hg38_chr10_JH806580v1_fix
NW_004504302.1	dcid:bio/hg38_chr10_KB663606v1_fix
NW_004775432.1	dcid:bio/hg38_chr10_KE332501v1_fix
NW_003315934.1	dcid:bio/hg38_chr10_GL383545v1_alt
NW_003315935.1	dcid:bio/hg38_chr10_GL383546v1_alt
NW_003571045.1	dcid:bio/hg38_chr11_GL582973v1_fix
NW_003571046.1	dcid:bio/hg38_chr11_GL949744v1_fix
NW_003871076.1	dcid:bio/hg38_chr11_JH159138v1_fix
NW_003871077.1	dcid:bio/hg38_chr11_JH159139v1_fix
NW_003871078.1	dcid:bio/hg38_chr11_JH159140v1_fix
NW_003871079.1	dcid:bio/hg38_chr11_JH159141v2_fix
NW_003871080.1	dcid:bio/hg38_chr11_JH159142v2_fix
NW_003871081.1	dcid:bio/hg38_chr11_JH159143v1_fix
NW_003871075.1	dcid:bio/hg38_chr11_JH591184v1_fix
NW_003871082.1	dcid:bio/hg38_chr11_JH591185v1_fix
NW_003871072.2	dcid:bio/hg38_chr11_JH720443v2_fix
NW_004070871.1	dcid:bio/hg38_chr11_JH806581v1_fix
NW_003315936.1	dcid:bio/hg38_chr11_GL383547v1_alt
NW_003871073.1	dcid:bio/hg38_chr11_JH159136v1_alt
NW_003871074.1	dcid:bio/hg38_chr11_JH159137v1_alt
NW_003315937.1	dcid:bio/hg38_chr12_GL383548v1_fix
NW_003571048.1	dcid:bio/hg38_chr12_GL582974v1_fix
NW_003871083.2	dcid:bio/hg38_chr12_JH720444v2_fix
NW_004504303.2	dcid:bio/hg38_chr12_KB663607v2_fix
NW_003315938.1	dcid:bio/hg38_chr12_GL383549v1_alt
NW_003315939.1	dcid:bio/hg38_chr12_GL383550v1_alt
NW_003315940.1	dcid:bio/hg38_chr12_GL383551v1_alt
NW_003315941.1	dcid:bio/hg38_chr12_GL383552v1_alt
NW_003315942.2	dcid:bio/hg38_chr12_GL383553v2_alt
NW_003571049.1	dcid:bio/hg38_chr12_GL877875v1_alt
NW_003571050.1	dcid:bio/hg38_chr12_GL877876v1_alt
NW_003571047.1	dcid:bio/hg38_chr12_GL949745v1_alt
NW_003571051.1	dcid:bio/hg38_chr13_GL582975v1_fix
NW_004166863.1	dcid:bio/hg38_chr14_KB021645v1_fix
NW_003871084.1	dcid:bio/hg38_chr15_JH720445v1_fix
NW_003315943.1	dcid:bio/hg38_chr15_GL383554v1_alt
NW_003315944.1	dcid:bio/hg38_chr15_GL383555v1_alt
NW_003871085.1	dcid:bio/hg38_chr16_JH720446v1_fix
NW_003315945.1	dcid:bio/hg38_chr16_GL383556v1_alt
NW_003315946.1	dcid:bio/hg38_chr16_GL383557v1_alt
NW_003315947.1	dcid:bio/hg38_chr17_GL383558v1_fix
NW_003315948.2	dcid:bio/hg38_chr17_GL383559v2_fix
NW_003315949.1	dcid:bio/hg38_chr17_GL383560v1_fix
NW_003315950.2	dcid:bio/hg38_chr17_GL383561v2_fix
NW_003315951.1	dcid:bio/hg38_chr17_GL383562v1_fix
NW_003571052.1	dcid:bio/hg38_chr17_GL582976v1_fix
NW_003871088.1	dcid:bio/hg38_chr17_JH159144v1_fix
NW_003871090.1	dcid:bio/hg38_chr17_JH159145v1_fix
NW_003871089.1	dcid:bio/hg38_chr17_JH591186v1_fix
NW_003871087.1	dcid:bio/hg38_chr17_JH636061v1_fix
NW_003871086.1	dcid:bio/hg38_chr17_JH720447v1_fix
NW_004070872.2	dcid:bio/hg38_chr17_JH806582v2_fix
NW_004166864.2	dcid:bio/hg38_chr17_KB021646v2_fix
NW_004775433.1	dcid:bio/hg38_chr17_KE332502v1_fix
NW_003315952.2	dcid:bio/hg38_chr17_GL383563v2_alt
NW_003315953.1	dcid:bio/hg38_chr17_GL383564v1_alt
NW_003315954.1	dcid:bio/hg38_chr17_GL383565v1_alt
NW_003315955.1	dcid:bio/hg38_chr17_GL383566v1_alt
NW_003871091.1	dcid:bio/hg38_chr17_JH159146v1_alt
NW_003871092.1	dcid:bio/hg38_chr17_JH159147v1_alt
NW_003871093.1	dcid:bio/hg38_chr17_JH159148v1_alt
NW_003315956.1	dcid:bio/hg38_chr18_GL383567v1_alt
NW_003315957.1	dcid:bio/hg38_chr18_GL383568v1_alt
NW_003315958.1	dcid:bio/hg38_chr18_GL383569v1_alt
NW_003315959.1	dcid:bio/hg38_chr18_GL383570v1_alt
NW_003315960.1	dcid:bio/hg38_chr18_GL383571v1_alt
NW_003315961.1	dcid:bio/hg38_chr18_GL383572v1_alt
NW_003571053.2	dcid:bio/hg38_chr19_GL582977v2_fix
NW_003871094.1	dcid:bio/hg38_chr19_JH159149v1_fix
NW_004166865.1	dcid:bio/hg38_chr19_KB021647v1_fix
NW_004775434.1	dcid:bio/hg38_chr19_KE332505v1_fix
NW_003315962.1	dcid:bio/hg38_chr19_GL383573v1_alt
NW_003315963.1	dcid:bio/hg38_chr19_GL383574v1_alt
NW_003315964.2	dcid:bio/hg38_chr19_GL383575v2_alt
NW_003315965.1	dcid:bio/hg38_chr19_GL383576v1_alt
NW_003571054.1	dcid:bio/hg38_chr19_GL949746v1_alt
NW_003571055.1	dcid:bio/hg38_chr19_GL949747v1_alt
NW_003571056.1	dcid:bio/hg38_chr19_GL949748v1_alt
NW_003571057.1	dcid:bio/hg38_chr19_GL949749v1_alt
NW_003571058.1	dcid:bio/hg38_chr19_GL949750v1_alt
NW_003571059.1	dcid:bio/hg38_chr19_GL949751v1_alt
NW_003571060.1	dcid:bio/hg38_chr19_GL949752v1_alt
NW_003571061.1	dcid:bio/hg38_chr19_GL949753v1_alt
NW_003571063.2	dcid:bio/hg38_chr20_GL582979v2_fix
NW_003871095.1	dcid:bio/hg38_chr20_JH720448v1_fix
NW_004504304.1	dcid:bio/hg38_chr20_KB663608v1_fix
NW_003315966.1	dcid:bio/hg38_chr20_GL383577v1_alt
NW_004775435.1	dcid:bio/hg38_chr21_KE332506v1_fix
NW_003315967.1	dcid:bio/hg38_chr21_GL383578v1_alt
NW_003315968.1	dcid:bio/hg38_chr21_GL383579v1_alt
NW_003315969.1	dcid:bio/hg38_chr21_GL383580v1_alt
NW_003315970.1	dcid:bio/hg38_chr21_GL383581v1_alt
NW_003871096.1	dcid:bio/hg38_chr22_JH720449v1_fix
NW_004070873.1	dcid:bio/hg38_chr22_JH806583v1_fix
NW_004070874.1	dcid:bio/hg38_chr22_JH806584v1_fix
NW_004070875.1	dcid:bio/hg38_chr22_JH806585v1_fix
NW_004070876.1	dcid:bio/hg38_chr22_JH806586v1_fix
NW_003315971.2	dcid:bio/hg38_chr22_GL383582v2_alt
NW_003315972.1	dcid:bio/hg38_chr22_GL383583v1_alt
NW_004504305.1	dcid:bio/hg38_chr22_KB663609v1_alt
NW_003571064.2	dcid:bio/hg38_chrX_GL877877v2_fix
NW_003871103.3	dcid:bio/hg38_chrX_JH159150v3_fix
NW_003871098.1	dcid:bio/hg38_chrX_JH720451v1_fix
NW_003871099.1	dcid:bio/hg38_chrX_JH720452v1_fix
NW_003871100.1	dcid:bio/hg38_chrX_JH720453v1_fix
NW_003871101.3	dcid:bio/hg38_chrX_JH720454v3_fix
NW_003871102.1	dcid:bio/hg38_chrX_JH720455v1_fix
NW_004070877.1	dcid:bio/hg38_chrX_JH806587v1_fix
NW_004070878.1	dcid:bio/hg38_chrX_JH806588v1_fix
NW_004070879.1	dcid:bio/hg38_chrX_JH806589v1_fix
NW_004070880.2	dcid:bio/hg38_chrX_JH806590v2_fix
NW_004070881.1	dcid:bio/hg38_chrX_JH806591v1_fix
NW_004070882.1	dcid:bio/hg38_chrX_JH806592v1_fix
NW_004070883.1	dcid:bio/hg38_chrX_JH806593v1_fix
NW_004070884.1	dcid:bio/hg38_chrX_JH806594v1_fix
NW_004070885.1	dcid:bio/hg38_chrX_JH806595v1_fix
NW_004070886.1	dcid:bio/hg38_chrX_JH806596v1_fix
NW_004070887.1	dcid:bio/hg38_chrX_JH806597v1_fix
NW_004070888.1	dcid:bio/hg38_chrX_JH806598v1_fix
NW_004070889.1	dcid:bio/hg38_chrX_JH806599v1_fix
NW_004070890.2	dcid:bio/hg38_chrX_JH806600v2_fix
NW_004070891.1	dcid:bio/hg38_chrX_JH806601v1_fix
NW_004070892.1	dcid:bio/hg38_chrX_JH806602v1_fix
NW_004070893.1	dcid:bio/hg38_chrX_JH806603v1_fix
NW_004166866.1	dcid:bio/hg38_chrX_KB021648v1_fix
NT_167244.1	dcid:bio/hg38_chr6_apd_hap1
NT_113891.2	dcid:bio/hg38_chr6_cox_hap2
NT_167245.1	dcid:bio/hg38_chr6_dbb_hap3
NT_167246.1	dcid:bio/hg38_chr6_mann_hap4
NT_167247.1	dcid:bio/hg38_chr6_mcf_hap5
NT_167248.1	dcid:bio/hg38_chr6_qbl_hap6
NT_167249.1	dcid:bio/hg38_chr6_ssto_hap7
NT_167250.1	dcid:bio/hg38_chr4_ctg9_hap1
NT_167251.1	dcid:bio/hg38_chr17_ctg5_hap1
NC_012920.1	dcid:bio/hg38_chrM
NC_000001.11	dcid:bio/hg38_chr1
NC_000002.12	dcid:bio/hg38_chr2
NC_000003.12	dcid:bio/hg38_chr3
NC_000004.12	dcid:bio/hg38_chr4
NC_000005.10	dcid:bio/hg38_chr5
NC_000006.12	dcid:bio/hg38_chr6
NC_000007.14	dcid:bio/hg38_chr7
NC_000008.11	dcid:bio/hg38_chr8
NC_000009.12	dcid:bio/hg38_chr9
NC_000010.11	dcid:bio/hg38_chr10
NC_000011.10	dcid:bio/hg38_chr11
NC_000012.12	dcid:bio/hg38_chr12
NC_000013.11	dcid:bio/hg38_chr13
NC_000014.9	dcid:bio/hg38_chr14
NC_000015.10	dcid:bio/hg38_chr15
NC_000016.10	dcid:bio/hg38_chr16
NC_000017.11	dcid:bio/hg38_chr17
NC_000018.10	dcid:bio/hg38_chr18
NC_000019.10	dcid:bio/hg38_chr19
NC_000020.11	dcid:bio/hg38_chr20
NC_000021.9	dcid:bio/hg38_chr21
NC_000022.11	dcid:bio/hg38_chr22
NC_000023.11	dcid:bio/hg38_chrX
NC_000024.10	dcid:bio/hg38_chrY
NT_187361.1	dcid:bio/hg38_chr1_KI270706v1_random
NT_187362.1	dcid:bio/hg38_chr1_KI270707v1_random
NT_187363.1	dcid:bio/hg38_chr1_KI270708v1_random
NT_187364.1	dcid:bio/hg38_chr1_KI270709v1_random
NT_187365.1	dcid:bio/hg38_chr1_KI270710v1_random
NT_187366.1	dcid:bio/hg38_chr1_KI270711v1_random
NT_187367.1	dcid:bio/hg38_chr1_KI270712v1_random
NT_187368.1	dcid:bio/hg38_chr1_KI270713v1_random
NT_187369.1	dcid:bio/hg38_chr1_KI270714v1_random
NT_187370.1	dcid:bio/hg38_chr2_KI270715v1_random
NT_187371.1	dcid:bio/hg38_chr2_KI270716v1_random
NT_167215.1	dcid:bio/hg38_chr3_GL000221v1_random
NT_113793.3	dcid:bio/hg38_chr4_GL000008v2_random
NT_113948.1	dcid:bio/hg38_chr5_GL000208v1_random
NT_187372.1	dcid:bio/hg38_chr9_KI270717v1_random
NT_187373.1	dcid:bio/hg38_chr9_KI270718v1_random
NT_187374.1	dcid:bio/hg38_chr9_KI270719v1_random
NT_187375.1	dcid:bio/hg38_chr9_KI270720v1_random
NT_113796.3	dcid:bio/hg38_chr14_GL000009v2_random
NT_113888.1	dcid:bio/hg38_chr14_GL000194v1_random
NT_167219.1	dcid:bio/hg38_chr14_GL000225v1_random
NT_187377.1	dcid:bio/hg38_chr14_KI270722v1_random
NT_187378.1	dcid:bio/hg38_chr14_KI270723v1_random
NT_187379.1	dcid:bio/hg38_chr14_KI270724v1_random
