territory,value,period,statisticalVariable
IN-UP,3.4,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,6.5,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,20.5,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,5.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DN,60.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,2.8,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,6.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN,5.7,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,5.4,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,8.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,7.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,16.5,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CT,4.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,4.6,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,9.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,1.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,5.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,9.9,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,19.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JH,8.9,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,4.4,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,13.9,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,3.5,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,3.8,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,10.8,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,3.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,6.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,36.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,2.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,3.6,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,2.5,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,4.5,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,56.4,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UT,20.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UP,3.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,6.4,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,19.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,10.4,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DD,2.2,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,35.0,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,3.7,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN,5.2,2012-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,9.1,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,20.6,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,11.4,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,6.2,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CT,11.4,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,11.4,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,29.8,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,4.3,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,12.0,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,13.7,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,22.9,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JH,11.5,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,7.2,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,27.5,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,6.9,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,11.5,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,12.3,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,8.9,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,17.7,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,36.4,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,12.7,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,13.5,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,9.9,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-SK,9.9,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,9.0,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,19.7,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UT,23.8,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UP,10.5,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,6.0,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,47.1,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,21.2,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DD,4.3,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,56.5,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,17.6,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN,10.8,2018-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,10.2,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,29.0,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,15.5,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,12.3,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CT,7.8,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,9.9,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,14.4,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,2.5,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,8.9,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,14.9,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,27.2,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JH,8.4,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,6.1,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,18.8,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,6.2,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,10.6,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,7.7,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,13.3,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,12.7,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,42.9,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,21.9,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,11.3,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,14.2,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-SK,7.5,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,8.4,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,30.1,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UT,30.0,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UP,6.1,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,3.7,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,38.2,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,9.7,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DN,5.4,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,48.7,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,5.2,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN,9.9,2019-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,3.0,1994-03,dcs:UnemploymentRate_Person_Urban
IN-AR,2.6,1994-03,dcs:UnemploymentRate_Person_Urban
IN-AS,8.9,1994-03,dcs:UnemploymentRate_Person_Urban
IN-BR,7.1,1994-03,dcs:UnemploymentRate_Person_Urban
IN-DL,1.5,1994-03,dcs:UnemploymentRate_Person_Urban
IN-GA,10.1,1994-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,3.3,1994-03,dcs:UnemploymentRate_Person_Urban
IN-HR,2.6,1994-03,dcs:UnemploymentRate_Person_Urban
IN-HP,2.6,1994-03,dcs:UnemploymentRate_Person_Urban
IN-JK,6.6,1994-03,dcs:UnemploymentRate_Person_Urban
IN-KA,3.6,1994-03,dcs:UnemploymentRate_Person_Urban
IN-KL,10.3,1994-03,dcs:UnemploymentRate_Person_Urban
IN-MP,5.0,1994-03,dcs:UnemploymentRate_Person_Urban
IN-MH,4.4,1994-03,dcs:UnemploymentRate_Person_Urban
IN-MN,4.2,1994-03,dcs:UnemploymentRate_Person_Urban
IN-ML,1.7,1994-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,0.5,1994-03,dcs:UnemploymentRate_Person_Urban
IN-NL,6.8,1994-03,dcs:UnemploymentRate_Person_Urban
IN-OR,6.5,1994-03,dcs:UnemploymentRate_Person_Urban
IN-PB,3.4,1994-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,1.4,1994-03,dcs:UnemploymentRate_Person_Urban
IN-SK,3.1,1994-03,dcs:UnemploymentRate_Person_Urban
IN-TN,5.0,1994-03,dcs:UnemploymentRate_Person_Urban
IN-TR,8.5,1994-03,dcs:UnemploymentRate_Person_Urban
IN-UP,2.9,1994-03,dcs:UnemploymentRate_Person_Urban
IN-WB,7.9,1994-03,dcs:UnemploymentRate_Person_Urban
IN-AN,5.4,1994-03,dcs:UnemploymentRate_Person_Urban
IN-CH,7.2,1994-03,dcs:UnemploymentRate_Person_Urban
IN-DD,5.8,1994-03,dcs:UnemploymentRate_Person_Urban
IN-LD,20.0,1994-03,dcs:UnemploymentRate_Person_Urban
IN-PY,6.8,1994-03,dcs:UnemploymentRate_Person_Urban
IN,4.5,1994-03,dcs:UnemploymentRate_Person_Urban
IN-AP,3.9,2000-03,dcs:UnemploymentRate_Person_Urban
IN-AR,2.9,2000-03,dcs:UnemploymentRate_Person_Urban
IN-AS,9.7,2000-03,dcs:UnemploymentRate_Person_Urban
IN-BR,7.4,2000-03,dcs:UnemploymentRate_Person_Urban
IN-DL,3.3,2000-03,dcs:UnemploymentRate_Person_Urban
IN-GA,18.5,2000-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,2.0,2000-03,dcs:UnemploymentRate_Person_Urban
IN-HR,2.7,2000-03,dcs:UnemploymentRate_Person_Urban
IN-HP,6.6,2000-03,dcs:UnemploymentRate_Person_Urban
IN-JK,5.0,2000-03,dcs:UnemploymentRate_Person_Urban
IN-KA,3.3,2000-03,dcs:UnemploymentRate_Person_Urban
IN-KL,10.2,2000-03,dcs:UnemploymentRate_Person_Urban
IN-MP,3.5,2000-03,dcs:UnemploymentRate_Person_Urban
IN-MH,5.8,2000-03,dcs:UnemploymentRate_Person_Urban
IN-MN,6.7,2000-03,dcs:UnemploymentRate_Person_Urban
IN-ML,4.6,2000-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,3.0,2000-03,dcs:UnemploymentRate_Person_Urban
IN-NL,9.1,2000-03,dcs:UnemploymentRate_Person_Urban
IN-OR,6.7,2000-03,dcs:UnemploymentRate_Person_Urban
IN-PB,2.7,2000-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,2.5,2000-03,dcs:UnemploymentRate_Person_Urban
IN-SK,7.5,2000-03,dcs:UnemploymentRate_Person_Urban
IN-TN,4.0,2000-03,dcs:UnemploymentRate_Person_Urban
IN-TR,5.8,2000-03,dcs:UnemploymentRate_Person_Urban
IN-UP,4.1,2000-03,dcs:UnemploymentRate_Person_Urban
IN-WB,7.6,2000-03,dcs:UnemploymentRate_Person_Urban
IN-AN,6.9,2000-03,dcs:UnemploymentRate_Person_Urban
IN-CH,4.8,2000-03,dcs:UnemploymentRate_Person_Urban
IN-DN,1.4,2000-03,dcs:UnemploymentRate_Person_Urban
IN-DD,3.0,2000-03,dcs:UnemploymentRate_Person_Urban
IN-LD,10.0,2000-03,dcs:UnemploymentRate_Person_Urban
IN-PY,4.1,2000-03,dcs:UnemploymentRate_Person_Urban
IN,4.7,2000-03,dcs:UnemploymentRate_Person_Urban
IN-AP,3.6,2005-03,dcs:UnemploymentRate_Person_Urban
IN-AR,1.2,2005-03,dcs:UnemploymentRate_Person_Urban
IN-AS,7.2,2005-03,dcs:UnemploymentRate_Person_Urban
IN-BR,6.4,2005-03,dcs:UnemploymentRate_Person_Urban
IN-CT,3.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-DL,4.8,2005-03,dcs:UnemploymentRate_Person_Urban
IN-GA,8.7,2005-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,2.4,2005-03,dcs:UnemploymentRate_Person_Urban
IN-HR,4.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-HP,3.8,2005-03,dcs:UnemploymentRate_Person_Urban
IN-JK,4.9,2005-03,dcs:UnemploymentRate_Person_Urban
IN-JH,6.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-KA,2.8,2005-03,dcs:UnemploymentRate_Person_Urban
IN-KL,15.6,2005-03,dcs:UnemploymentRate_Person_Urban
IN-MP,2.8,2005-03,dcs:UnemploymentRate_Person_Urban
IN-MH,3.6,2005-03,dcs:UnemploymentRate_Person_Urban
IN-MN,5.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-ML,3.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,1.9,2005-03,dcs:UnemploymentRate_Person_Urban
IN-NL,5.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-OR,13.4,2005-03,dcs:UnemploymentRate_Person_Urban
IN-PB,5.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,2.9,2005-03,dcs:UnemploymentRate_Person_Urban
IN-SK,3.7,2005-03,dcs:UnemploymentRate_Person_Urban
IN-TN,3.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-TR,28.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-UT,5.4,2005-03,dcs:UnemploymentRate_Person_Urban
IN-UP,3.3,2005-03,dcs:UnemploymentRate_Person_Urban
IN-WB,6.2,2005-03,dcs:UnemploymentRate_Person_Urban
IN-AN,8.8,2005-03,dcs:UnemploymentRate_Person_Urban
IN-CH,4.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-DN,3.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-DD,3.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-LD,25.0,2005-03,dcs:UnemploymentRate_Person_Urban
IN-PY,8.1,2005-03,dcs:UnemploymentRate_Person_Urban
IN,4.5,2005-03,dcs:UnemploymentRate_Person_Urban
IN-AP,3.1,2010-03,dcs:UnemploymentRate_Person_Urban
IN-AR,3.4,2010-03,dcs:UnemploymentRate_Person_Urban
IN-AS,5.2,2010-03,dcs:UnemploymentRate_Person_Urban
IN-BR,7.3,2010-03,dcs:UnemploymentRate_Person_Urban
IN-CT,2.9,2010-03,dcs:UnemploymentRate_Person_Urban
IN-DL,2.6,2010-03,dcs:UnemploymentRate_Person_Urban
IN-GA,4.1,2010-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,1.8,2010-03,dcs:UnemploymentRate_Person_Urban
IN-HR,2.5,2010-03,dcs:UnemploymentRate_Person_Urban
IN-HP,4.9,2010-03,dcs:UnemploymentRate_Person_Urban
IN-JK,6.0,2010-03,dcs:UnemploymentRate_Person_Urban
IN-JH,6.3,2010-03,dcs:UnemploymentRate_Person_Urban
IN-KA,2.7,2010-03,dcs:UnemploymentRate_Person_Urban
IN-KL,7.3,2010-03,dcs:UnemploymentRate_Person_Urban
IN-MP,2.9,2010-03,dcs:UnemploymentRate_Person_Urban
IN-MH,3.2,2010-03,dcs:UnemploymentRate_Person_Urban
IN-MN,4.8,2010-03,dcs:UnemploymentRate_Person_Urban
IN-ML,5.1,2010-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,2.8,2010-03,dcs:UnemploymentRate_Person_Urban
IN-NL,9.2,2010-03,dcs:UnemploymentRate_Person_Urban
IN-OR,4.2,2010-03,dcs:UnemploymentRate_Person_Urban
IN-PB,4.8,2010-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,2.2,2010-03,dcs:UnemploymentRate_Person_Urban
IN-TN,3.2,2010-03,dcs:UnemploymentRate_Person_Urban
IN-TR,17.1,2010-03,dcs:UnemploymentRate_Person_Urban
IN-UT,2.9,2010-03,dcs:UnemploymentRate_Person_Urban
IN-UP,2.9,2010-03,dcs:UnemploymentRate_Person_Urban
IN-WB,4.0,2010-03,dcs:UnemploymentRate_Person_Urban
IN-AN,8.4,2010-03,dcs:UnemploymentRate_Person_Urban
IN-CH,3.4,2010-03,dcs:UnemploymentRate_Person_Urban
IN-DN,5.3,2010-03,dcs:UnemploymentRate_Person_Urban
IN-DD,2.4,2010-03,dcs:UnemploymentRate_Person_Urban
IN-LD,5.7,2010-03,dcs:UnemploymentRate_Person_Urban
IN-PY,3.1,2010-03,dcs:UnemploymentRate_Person_Urban
IN,3.4,2010-03,dcs:UnemploymentRate_Person_Urban
IN-AP,4.3,2012-03,dcs:UnemploymentRate_Person_Urban
IN-AR,4.8,2012-03,dcs:UnemploymentRate_Person_Urban
IN-AS,5.6,2012-03,dcs:UnemploymentRate_Person_Urban
IN-BR,5.6,2012-03,dcs:UnemploymentRate_Person_Urban
IN-CT,4.3,2012-03,dcs:UnemploymentRate_Person_Urban
IN-DL,3.5,2012-03,dcs:UnemploymentRate_Person_Urban
IN-GA,4.6,2012-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,0.8,2012-03,dcs:UnemploymentRate_Person_Urban
IN-HR,4.2,2012-03,dcs:UnemploymentRate_Person_Urban
IN-HP,4.0,2012-03,dcs:UnemploymentRate_Person_Urban
IN-JK,7.0,2012-03,dcs:UnemploymentRate_Person_Urban
IN-JH,5.1,2012-03,dcs:UnemploymentRate_Person_Urban
IN-KA,2.9,2012-03,dcs:UnemploymentRate_Person_Urban
IN-KL,6.1,2012-03,dcs:UnemploymentRate_Person_Urban
IN-MP,2.6,2012-03,dcs:UnemploymentRate_Person_Urban
IN-MH,2.3,2012-03,dcs:UnemploymentRate_Person_Urban
IN-MN,7.1,2012-03,dcs:UnemploymentRate_Person_Urban
IN-ML,2.8,2012-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,5.0,2012-03,dcs:UnemploymentRate_Person_Urban
IN-NL,23.8,2012-03,dcs:UnemploymentRate_Person_Urban
IN-OR,3.5,2012-03,dcs:UnemploymentRate_Person_Urban
IN-PB,2.8,2012-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,3.1,2012-03,dcs:UnemploymentRate_Person_Urban
IN-SK,2.3,2012-03,dcs:UnemploymentRate_Person_Urban
IN-TN,2.7,2012-03,dcs:UnemploymentRate_Person_Urban
IN-TR,25.2,2012-03,dcs:UnemploymentRate_Person_Urban
IN-UT,5.3,2012-03,dcs:UnemploymentRate_Person_Urban
IN-UP,4.1,2012-03,dcs:UnemploymentRate_Person_Urban
IN-WB,4.8,2012-03,dcs:UnemploymentRate_Person_Urban
IN-AN,8.6,2012-03,dcs:UnemploymentRate_Person_Urban
IN-CH,6.4,2012-03,dcs:UnemploymentRate_Person_Urban
IN-DD,0.5,2012-03,dcs:UnemploymentRate_Person_Urban
IN-LD,11.5,2012-03,dcs:UnemploymentRate_Person_Urban
IN-PY,2.9,2012-03,dcs:UnemploymentRate_Person_Urban
IN,3.4,2012-03,dcs:UnemploymentRate_Person_Urban
IN-AP,6.6,2018-03,dcs:UnemploymentRate_Person_Urban
IN-AR,9.9,2018-03,dcs:UnemploymentRate_Person_Urban
IN-AS,6.3,2018-03,dcs:UnemploymentRate_Person_Urban
IN-BR,9.0,2018-03,dcs:UnemploymentRate_Person_Urban
IN-CT,7.5,2018-03,dcs:UnemploymentRate_Person_Urban
IN-DL,9.8,2018-03,dcs:UnemploymentRate_Person_Urban
IN-GA,13.8,2018-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,4.3,2018-03,dcs:UnemploymentRate_Person_Urban
IN-HR,7.3,2018-03,dcs:UnemploymentRate_Person_Urban
IN-HP,8.7,2018-03,dcs:UnemploymentRate_Person_Urban
IN-JK,10.0,2018-03,dcs:UnemploymentRate_Person_Urban
IN-JH,10.5,2018-03,dcs:UnemploymentRate_Person_Urban
IN-KA,6.5,2018-03,dcs:UnemploymentRate_Person_Urban
IN-KL,13.2,2018-03,dcs:UnemploymentRate_Person_Urban
IN-MP,7.7,2018-03,dcs:UnemploymentRate_Person_Urban
IN-MH,7.4,2018-03,dcs:UnemploymentRate_Person_Urban
IN-MN,11.4,2018-03,dcs:UnemploymentRate_Person_Urban
IN-ML,6.7,2018-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,14.4,2018-03,dcs:UnemploymentRate_Person_Urban
IN-NL,21.1,2018-03,dcs:UnemploymentRate_Person_Urban
IN-OR,8.3,2018-03,dcs:UnemploymentRate_Person_Urban
IN-PB,7.7,2018-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,7.2,2018-03,dcs:UnemploymentRate_Person_Urban
IN-SK,5.8,2018-03,dcs:UnemploymentRate_Person_Urban
IN-TN,7.2,2018-03,dcs:UnemploymentRate_Person_Urban
IN-TR,8.7,2018-03,dcs:UnemploymentRate_Person_Urban
IN-UT,9.5,2018-03,dcs:UnemploymentRate_Person_Urban
IN-UP,9.7,2018-03,dcs:UnemploymentRate_Person_Urban
IN-WB,6.5,2018-03,dcs:UnemploymentRate_Person_Urban
IN-AN,17.4,2018-03,dcs:UnemploymentRate_Person_Urban
IN-CH,9.2,2018-03,dcs:UnemploymentRate_Person_Urban
IN-DN,0.1,2018-03,dcs:UnemploymentRate_Person_Urban
IN-DD,2.6,2018-03,dcs:UnemploymentRate_Person_Urban
IN-LD,25.3,2018-03,dcs:UnemploymentRate_Person_Urban
IN-PY,10.3,2018-03,dcs:UnemploymentRate_Person_Urban
IN,7.8,2018-03,dcs:UnemploymentRate_Person_Urban
IN-AP,7.3,2019-03,dcs:UnemploymentRate_Person_Urban
IN-AR,11.1,2019-03,dcs:UnemploymentRate_Person_Urban
IN-AS,10.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-BR,10.5,2019-03,dcs:UnemploymentRate_Person_Urban
IN-CT,5.5,2019-03,dcs:UnemploymentRate_Person_Urban
IN-DL,10.8,2019-03,dcs:UnemploymentRate_Person_Urban
IN-GA,9.1,2019-03,dcs:UnemploymentRate_Person_Urban
IN-GJ,3.2,2019-03,dcs:UnemploymentRate_Person_Urban
IN-HR,8.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-HP,8.8,2019-03,dcs:UnemploymentRate_Person_Urban
IN-JK,10.1,2019-03,dcs:UnemploymentRate_Person_Urban
IN-JH,8.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-KA,5.2,2019-03,dcs:UnemploymentRate_Person_Urban
IN-KL,9.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-MP,7.4,2019-03,dcs:UnemploymentRate_Person_Urban
IN-MH,6.4,2019-03,dcs:UnemploymentRate_Person_Urban
IN-MN,9.2,2019-03,dcs:UnemploymentRate_Person_Urban
IN-ML,7.5,2019-03,dcs:UnemploymentRate_Person_Urban
IN-MZ,9.1,2019-03,dcs:UnemploymentRate_Person_Urban
IN-NL,21.1,2019-03,dcs:UnemploymentRate_Person_Urban
IN-OR,12.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-PB,7.0,2019-03,dcs:UnemploymentRate_Person_Urban
IN-RJ,9.5,2019-03,dcs:UnemploymentRate_Person_Urban
IN-SK,4.9,2019-03,dcs:UnemploymentRate_Person_Urban
IN-TN,6.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-TR,13.5,2019-03,dcs:UnemploymentRate_Person_Urban
IN-UT,13.4,2019-03,dcs:UnemploymentRate_Person_Urban
IN-UP,10.6,2019-03,dcs:UnemploymentRate_Person_Urban
IN-WB,4.9,2019-03,dcs:UnemploymentRate_Person_Urban
IN-AN,12.0,2019-03,dcs:UnemploymentRate_Person_Urban
IN-CH,8.2,2019-03,dcs:UnemploymentRate_Person_Urban
IN-DN,1.8,2019-03,dcs:UnemploymentRate_Person_Urban
IN-LD,28.6,2019-03,dcs:UnemploymentRate_Person_Urban
IN-PY,6.0,2019-03,dcs:UnemploymentRate_Person_Urban
IN,7.7,2019-03,dcs:UnemploymentRate_Person_Urban
IN-AP,0.7,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AR,1.6,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,4.6,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,1.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,7.0,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,1.3,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,1.5,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,0.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,0.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,0.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,5.5,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,0.7,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,1.2,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,1.2,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,0.4,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,1.4,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,2.1,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,1.8,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,1.3,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,0.4,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,0.6,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,1.8,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,1.4,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,0.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,1.8,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,2.3,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CH,2.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DN,0.9,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DD,1.7,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,6.8,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,3.5,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN,1.4,1994-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,1.0,2000-03,dcs:UnemploymentRate_Person_Rural_Male
