Region,Variable,Units,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kampala,Countrywide routine immunization rates for measles,%,100,109,135,134,149,135,,,,201,,130
Kampala,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,175,,131
Kampala,Countrywide routine immunization rates for OPV3,%,96,85,110,125,130,112,,,,,,
Kampala,Countrywide routine immunization rates for DPT3,%,95,84,110,123,122,100,136,,,174,,135
Kampala,Countrywide routine immunization rates for BCG,%,128,103,127,145,155,151,,,,235,,162
Kampala,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,,100,100,104
Kampala,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,28,,39,50,50
Kampala,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,,47,66,65
Nakasongola,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Nakasongola,"Number of Health Units, Health Center",Number,,30,28,,30,33,,,,,,
Nakasongola,Total,Number,,,,,,,,,33,,,
Nakasongola,Government,Number,,,,,,,,,29,,,
Nakasongola,NGO,Number,,,,,,,,,4,,,
Nakasongola,Private,Number,,,,,,,,,0,,,
Nakasongola,Out Patient Department Utilisation in Government and PNFP,Number,,,1.2,1.1,1.2,1.3,1.4,,,,,
Nakasongola,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,2,1.7,1.6,1.4
Nakasongola,Pit Latrine Coverage,Number,,,70,71,73,73,97,,,,,
Nakasongola,"Pit Latrine Coverage in households, Percent",%,,,,,,,,65,76,89,87,
Nakasongola,Deliveries in Health Facilities,Number,,,33,30,31,31,38,,,,,
Nakasongola,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,33,40,41,43,44
Nakasongola,Countrywide routine immunization rates for measles,%,93,140,76,73,62,63,,,,69,,67
Nakasongola,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,72,,81
Nakasongola,Countrywide routine immunization rates for OPV3,%,99,77,84,80,70,70,,,,,,
Nakasongola,Countrywide routine immunization rates for DPT3,%,103,82,88,84,115,71,86,,,77,,88
Nakasongola,Countrywide routine immunization rates for BCG,%,101,84,79,85,78,76,,,,82,,74
Nakasongola,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,41,42,42,143
Nakasongola,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,45,62,63,59,52
Nakasongola,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,44,45,44,39
Kyankwanzi,Total,Number,,,,,,,,,21,,,
Kyankwanzi,Government,Number,,,,,,,,,14,,,
Kyankwanzi,NGO,Number,,,,,,,,,5,,,
Kyankwanzi,Private,Number,,,,,,,,,2,,,
Kyankwanzi,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,0.7,,,,,
Kyankwanzi,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.8,0.7,0.6,0.6
Kyankwanzi,"Pit Latrine Coverage in households, Percent",%,,,,,,,,90,64,63,55,
Kyankwanzi,Deliveries in Health Facilities,Number,,,,,,,17,,,,,
Kyankwanzi,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,19,17,18,23,22
Kyankwanzi,Countrywide routine immunization rates for measles,%,,,,,,,,,,70,,85
Kyankwanzi,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,88,,101
Kyankwanzi,Countrywide routine immunization rates for DPT3,%,,,,,,,132,,,87,,103
Kyankwanzi,Countrywide routine immunization rates for BCG,%,,,,,,,,,,86,,89
Kyankwanzi,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,33,34,34,152
Kyankwanzi,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,39,54,55,53,52
Kyankwanzi,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,21,22,23,25
Kayunga,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Kayunga,"Number of Health Units, Health Center",Number,,22,21,,23,54,,,,,,
Kayunga,Total,Number,,,,,100,100,,,24,,,
Kayunga,Government,Number,,,,,100,100,,,20,,,
Kayunga,NGO,Number,,,,,,,,,4,,,
Kayunga,Private,Number,,,,,,,,,0,,,
Kayunga,Out Patient Department Utilisation in Government and PNFP,Number,,,0.8,0.7,0.7,0.9,0.8,,,,,
Kayunga,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.9,0.8,1,0.8
Kayunga,Pit Latrine Coverage,Number,,,59,59,75,75,70,,,,,
Kayunga,"Pit Latrine Coverage in households, Percent",%,,,,,,,,68,62,70,71,
Kayunga,Deliveries in Health Facilities,Number,,,26,31,29,36,37,,,,,
Kayunga,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,36,36,37,46,54
Kayunga,Countrywide routine immunization rates for measles,%,81,80,79,72,77,71,,,,117,,219
Kayunga,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,108,,103
Kayunga,Countrywide routine immunization rates for OPV3,%,81,82,83,82,84,75,,,,,,
Kayunga,Countrywide routine immunization rates for DPT3,%,82,83,85,84,82,78,94,,,108,,120
Kayunga,Countrywide routine immunization rates for BCG,%,112,101,96,76,80,78,,,,132,,127
Kayunga,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,38,39,39,109
Kayunga,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,7,54,55,60,51
Kayunga,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,31,32,42,32
Masaka,"Number of Health Units, Hospitals",Number,,3,,,,,,,,,,
Masaka,"Number of Health Units, Health Center",Number,,77,80,,80,77,,,,,,
Masaka,Total,Number,,,,,340,340,,,32,,,
Masaka,Government,Number,,,,,,,,,26,,,
Masaka,PNFP (Private Not Profit),Number,,,,,340,340,,,,,,
Masaka,NGO,Number,,,,,,,,,6,,,
Masaka,Private,Number,,,,,,,,,0,,,
Masaka,Out Patient Department Utilisation in Government and PNFP,Number,,,0.9,0.7,0.8,0.8,0.3,,,,,
Masaka,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.5,1.4,2,1.5
Masaka,Pit Latrine Coverage,Number,,,86,95,95,95,87,,,,,
Masaka,"Pit Latrine Coverage in households, Percent",%,,,,,,,,66,85,77,84,
Masaka,Deliveries in Health Facilities,Number,,,27,17,31,27,57,,,,,
Masaka,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,76,90,91,88,88
Masaka,Countrywide routine immunization rates for measles,%,76,126,85,66,89,87,,,,100,,119
Masaka,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,107,,99
Masaka,Countrywide routine immunization rates for OPV3,%,79,123,82,66,91,90,,,,,,
Masaka,Countrywide routine immunization rates for DPT3,%,74,122,83,67,80,89,97,,,111,,104
Masaka,Countrywide routine immunization rates for BCG,%,90,141,89,73,103,95,,,,138,,113
Masaka,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,83,84,84,226
Masaka,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,33,44,45,46,44
Masaka,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,37,38,34,35
Kalungu,Total,Number,,,,,,,,,24,,,
Kalungu,Government,Number,,,,,,,,,13,,,
Kalungu,NGO,Number,,,,,,,,,11,,,
Kalungu,Private,Number,,,,,,,,,0,,,
Kalungu,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,0.9,,,,,
Kalungu,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.1,1,1.1,1
Kalungu,Pit Latrine Coverage,Number,,,,,,,86,,,,,
Kalungu,"Pit Latrine Coverage in households, Percent",%,,,,,,,,86,86,88,91,
Kalungu,Deliveries in Health Facilities,Number,,,,,,,18,,,,,
Kalungu,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,14,49,50,50,53
Kalungu,Countrywide routine immunization rates for measles,%,,,,,,,,,,73,,63
Kalungu,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,79,,70
Kalungu,Countrywide routine immunization rates for DPT3,%,,,,,,,102,,,81,,71
Kalungu,Countrywide routine immunization rates for BCG,%,,,,,,,,,,97,,77
Kalungu,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,72,73,73,102
Kalungu,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,20,50,51,50,55
Kalungu,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,37,38,45,37
Mukono,"Number of Health Units, Hospitals",Number,,5,,,,,,,,,,
Mukono,"Number of Health Units, Health Center",Number,,69,69,,77,77,,,,,,
Mukono,Total,Number,,,,,682,682,,,45,,,
Mukono,Government,Number,,,,,100,100,,,36,,,
Mukono,PNFP (Private Not Profit),Number,,,,,582,582,,,,,,
Mukono,NGO,Number,,,,,,,,,9,,,
Mukono,Private,Number,,,,,,,,,0,,,
Mukono,Out Patient Department Utilisation in Government and PNFP,Number,,,0.7,0.6,0.7,0.9,0.8,,,,,
Mukono,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.9,0.7,0.9,0.7
Mukono,Pit Latrine Coverage,Number,,,86,81,73,85,80,,,,,
Mukono,"Pit Latrine Coverage in households, Percent",%,,,,,,,,9,82,83,81,
Mukono,Deliveries in Health Facilities,Number,,,40,41,37,38,45,,,,,
Mukono,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,0,40,41,47,48
Mukono,Countrywide routine immunization rates for measles,%,103,95,102,74,66,63,,,,116,,135
Mukono,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,109,,90
Mukono,Countrywide routine immunization rates for OPV3,%,104,88,89,75,71,74,,,,,,
Mukono,Countrywide routine immunization rates for DPT3,%,105,89,89,75,64,65,94,,,108,,92
Mukono,Countrywide routine immunization rates for BCG,%,116,98,101,85,78,76,,,,122,,90
Mukono,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,43,44,44,124
Mukono,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,,51,52,56,42
Mukono,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,24,25,30,31
Kalangala,"Number of Health Units, Hospitals",Number,,0,,,,,,,,,,
Kalangala,"Number of Health Units, Health Center",Number,,11,11,,11,13,,,,,,
Kalangala,Total,Number,,,,,,,,,11,,,
Kalangala,Government,Number,,,,,,,,,10,,,
Kalangala,NGO,Number,,,,,,,,,1,,,
Kalangala,Private,Number,,,,,,,,,0,,,
Kalangala,Out Patient Department Utilisation in Government and PNFP,Number,,,1,0.9,1,0.9,1.2,,,,,
Kalangala,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.9,1.3,1.9,1.9
Kalangala,Pit Latrine Coverage,Number,,,54,51,52,56,87,,,,,
Kalangala,"Pit Latrine Coverage in households, Percent",%,,,,,,,,59,59,65,69,
Kalangala,Deliveries in Health Facilities,Number,,,10,10,10,12,18,,,,,
Kalangala,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,15,18,19,26,34
Kalangala,Countrywide routine immunization rates for measles,%,78,71,86,74,72,70,,,,92,,118
Kalangala,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,104,,125
Kalangala,Countrywide routine immunization rates for OPV3,%,85,85,97,79,75,78,,,,,,
Kalangala,Countrywide routine immunization rates for DPT3,%,85,86,105,79,67,175,134,,,97,,127
Kalangala,Countrywide routine immunization rates for BCG,%,76,125,82,70,63,62,,,,74,,89
Kalangala,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,136,137,137,176
Kalangala,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,28,40,41,36,55
Kalangala,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,40,41,28,34
