VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Population living in households that use an improved sanitation facility (%),I6821_96,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,"Population and household profile-population living in households that use an improved sanitation facility -flush to piped sewer system, flush to septic tank, flush to pit latrine, flush to don't know where, ventilated improved pit ( VIP ) or biogas latrine, pit latrine with slab, twin pit or composting toilet, which is not shared with any other household. this indicator does not denote access to toilet facility (%)"
Population living in households with an improved drinking water source (%),I6821_97,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,"Population and household profile-population living in households with an improved drinking-water source(1piped water into dwelling or yard or plot, piped to neighbour public tap or standpipe, tube well or borehole, protected dug well, protected spring, rainwater, tanker truck, cart with  small tank, bottled water, community RO plant) (%)"
Population living in households with electricity (%),I6821_98,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,Population and household profile-population living in households with electricity (%)
Pregnant women age group 15 to 49 years who are anaemic (%),I6821_99,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults -pregnant women age 15 to 49 years who are anaemic (less than 11.0 g/dl) (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of nfhs-5 need not be compared with other surveys using venous blood) (%)"
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),I6821_100,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Prevalence of diarrhoea in the 2 weeks preceding the survey (treatment of childhood diseases (children under age 5 years) (%)
Prevalence of symptoms of acute respiratory infection (ari) in the 2 weeks preceding the survey (%),I6821_101,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years) -prevalence of symptoms of acute respiratory infection ( ARI ) in the 2 weeks preceding the survey (%)
Registered pregnancies for which the mother received a mother and child protection card ( mcp )(%),I6821_102,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-registered pregnancies for which the mother received a mother and child protection ( MCP ) card (%)
Sex ratio at birth for children born in the last five years (%),I6821_103,Numeric Variable,Ratio,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-sex ratio at birth for children born in the last five years (females per 1,000 males) (%)"
Sex ratio of the total population (%),I6821_104,Numeric Variable,Ratio,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-sex ratio of the total population (females per 1,000 males) (%)"
Children age group 6 to 23 months receiving an adequate diet (%),I6821_105,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-total children age 6 to 23 months receiving an adequate diet (based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding  practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed  infants 6-8 months and at least three times a day for breastfed children 9 to 23 months, and solid or semi-solid foods from at least four food groups not including the milk or  milk products food group) (%)"
Fertility rate (%),I6821_106,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Marriage and fertility-total fertility rate (children per woman) (%)
Married women age group 15 to 49 years unmet need for family planning (%),I6821_107,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Unmet need for family planning (currently married women age 15 to 49 years)-total unmet need (unmet need for family planning refers to fecund women who are not using contraception but who wish to postpone the next birth (spacing) or stop childbearing altogether (limiting). specifically, women are considered to have unmet need for spacing if they are:   · at risk of becoming pregnant, not using contraception, and either do not want to become pregnant within the next two years, or are unsure if or when they want to become pregnant.  pregnant with a mistimed pregnancy. postpartum amenorrhoeic for up to two years following a mistimed birth and not using contraception.  women are considered to have unmet need for limiting if they are:  · at risk of becoming pregnant, not using contraception, and want no (more) children. pregnant with an unwanted pregnancy. postpartum amenorrhoeic for up to two years following an unwanted birth and not using contraception.  women who are classified as infecund have no unmet need because they are not at risk of becoming pregnant. unmet need for family planning is the sum of unmet need for spacing plus unmet need for limiting) (%)"
Infant and child (under five year) mortality rates (%),I6821_108,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Infant and child mortality rates (per 1,000 live births) -under-five mortality rate (u5mr) (%)"
Women unmet need for family planning (%),I6821_109,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Unmet need for spacing (unmet need for family planning refers to fecund women who are not using contraception but who wish to postpone the next birth (spacing) or stop childbearing altogether (limiting). specifically, women are considered to have unmet need for spacing if they are at risk of becoming pregnant, not using contraception, and either do not want to become pregnant within the next two years, or are unsure if or when they want to become pregnant. pregnant with a mistimed pregnancy. postpartum amenorrhoeic for up to two years following a mistimed birth and not using contraception. women are considered to have unmet need for limiting if they are:  · at risk of becoming pregnant, not using contraception, and want no (more) children. pregnant with an unwanted pregnancy. postpartum amenorrhoeic for up to two years following an unwanted birth and not using contraception. women who are classified as infecund have no unmet need because they are not at risk of becoming pregnant. unmet need for family planning is the sum of unmet need for spacing plus unmet need for limiting) (%)"
Women age group 15 years and above who consume alcohol (%),I6821_110,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Tobacco use and alcohol consumption among adults (age 15 years and above) -women age 15 years and above who consume alcohol (%)
Women age group 15 years and above who use any kind of tobacco (%),I6821_111,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Tobacco use and alcohol consumption among adults (age 15 years and above)-women age 15 years and above who use any kind of tobacco (%)
Women age group 15 to 19 years who were already mothers or pregnant at the time of the survey (%),I6821_112,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Marriage and fertility-women age 15 to 19 years who were already mothers or pregnant at the time of the survey (%)
Women age group 15 to 24 years who use hygienic methods of protection during their menstrual period (%),I6821_113,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Women's empowerment (women age 15 to 49 years) (locally prepared napkins, sanitary napkins, tampons, and menstrual cups are considered to be hygienic methods of protection.) -women age 15 to 24 years who use hygienic methods of protection during their menstrual period (%)"
Women age group 20 to 24 years married before age 18 years (%),I6821_114,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Marriage and fertility-women age 20 to 24 years married before age 18 years (%)
Women having a mobile phone that they themselves use (%),I6821_115,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Women's empowerment (women age 15 to 49 years)-women having a mobile phone that they themselves use (%)
Women owning a house and or land (alone or jointly with others) (%),I6821_116,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Women's empowerment (women age 15 to 49 years)-women owning a house and/or land (alone or jointly with others) (%)
Women age group 15 to 49 years who are literate (%),I6821_117,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Characteristics of adults-women who are literate (age 15 to 49 years) (refers to women or men who completed standard 9 or higher and women or men who can read a whole sentence or part of a sentence.) (%)
Men age group 15 to 49 years who are literate (%),I6821_118,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Characteristics of adults-men who are literate (age 15 to 49 years) (refers to women or men who completed standard 9 or higher and men or men who can read a whole sentence or part of a sentence) (%)
Women who are overweight or obese (%) ,I6821_119,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Nutritional status of adults (age 15 to 49 years)(excludes pregnant women and women with a birth in the preceding 2 months)women who are overweight or obese (bmi =25.0 kg/m2) (%) 
Women who have comprehensive knowledge of human immunodeficiency virus ( hiv ) or acquired immune deficiency syndrome ( aids ) (%),I6821_120,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) among adults (age 15 to 49 years)(comprehensive knowledge means knowing that consistent use of condoms every time they have sex and having just one uninfected faithful sex partner can reduce the chance of getting HIV/AIDS, knowing that a healthy-looking person can have HIV/AIDS, and rejecting two common misconceptions about transmission or prevention of HIV/AIDS) women who have comprehensive knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) (%)"
Women who have ever used the internet (%),I6821_121,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Characteristics of adults (age 15 to 49 years)-women who have ever used the internet (%)
Women who have high risk waist-to-hip ratio (%),I6821_122,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Nutritional status of adults (age 15 to 49 years)-women who have high risk waist-to-hip ratio (=0.85) (%)
Women who know that consistent condom use can reduce the chance of getting human immunodeficiency virus ( hiv ) or acquired immune deficiency syndrome ( aids ) (%),I6821_123,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) among adults (age 15 to 49 years)-women who know that consistent condom use can reduce the chance of getting Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) (%)
Women who worked in the last 12 months and were paid in cash (%),I6821_124,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Women's empowerment (women age 15 to 49 years)-women who worked in the last 12 months and were paid in cash (%)
Women with body mass index ( bmi ) below normal (%),I6821_125,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Nutritional status of adults (age 15 to 49 years)-women whose body mass index ( BMI ) is below normal ( BMI less than 18.5 kg/m2 ) (excludes pregnant women and women with a birth in the preceding 2 months) (%)
Women with 10 or more years of schooling (%),I6821_126,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Characteristics of adults (age 15 to 49 years) -women with 10 or more years of schooling (%)
Women suffering from high blood sugar level (%),I6821_127,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Blood sugar level among adults (age 15 years and above)-women-blood sugar level - high (141 to 160 mg/dl) (random blood sugar measurement) (%)
Women suffering from high or very high blood sugar level (%),I6821_128,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Blood sugar level among adults (age 15 years and above) women-blood sugar level - high or very high (greater than 140 mg/dl) or taking medicine to control blood sugar level (random blood sugar measurement) (%)
Women suffering from very high blood sugar level (%),I6821_129,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Blood sugar level among adults (age 15 years and above)-women-blood sugar level - very high (greater than 160 mg/dl)- women-blood sugar level - very high (greater than 160 mg/dl) (random blood sugar measurement) (%)
Women suffering from elevated blood pressure (%),I6821_130,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Hypertension among adults (age 15 years and above)- women-elevated blood pressure (systolic =140 mm of hg and/or diastolic =90 mm of hg) or taking medicine to control blood pressure (%)
Women who have ever undergone a breast examination for breast cancer (%),I6821_131,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Screening for cancer among adults (age 30 to 49 years)-ever undergone a breast examination for breast cancer (%)
Women-ever undergone a screening test for cervical cancer (%),I6821_132,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Screening for cancer among adults (age 30 to 49 years)-ever undergone a screening test for cervical cancer (%)
Women-ever undergone an oral cavity examination for oral cancer (%),I6821_133,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Screening for cancer among adults (age 30 to 49 years)-ever undergone an oral cavity examination for oral cancer (%)
Women-mildly elevated blood pressure (%),I6821_134,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Hypertension among adults (age 15 years and above)-women-mildly elevated blood pressure (systolic 140 to 159 mm of hg and/or diastolic 90-99 mm of hg) (%)
Women-moderately or severely elevated blood pressure (%),I6821_135,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Hypertension among adults (age 15 years and above)-women-moderately or severely elevated blood pressure (systolic =160 mm of hg and/or diastolic =100 mm of hg) (%)
Young women age group 18 to 29 years who experienced sexual violence by age18 (%),I6821_136,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Gender based violence (age 18 to 49 years)-young women age 18 to 29 years who experienced sexual violence by age 18 (%)
