Country,Variable,Year,Value
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,4
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,4
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,4
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,4
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,4
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,4
Sweden,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,3
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1970,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1980,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2000,10.9
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,21.2
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,35
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,30.5
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,28.56
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,24.01
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,23.71
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,23.88
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,23.42
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,33.65
Finland,Public total treatment (connected to a wastewater treatment plant),1970,27
Finland,Public total treatment (connected to a wastewater treatment plant),1980,64
Finland,Public total treatment (connected to a wastewater treatment plant),1990,76
Finland,Public total treatment (connected to a wastewater treatment plant),2000,80
Finland,Public total treatment (connected to a wastewater treatment plant),2005,82
Finland,Public total treatment (connected to a wastewater treatment plant),2010,83
Finland,Public total treatment (connected to a wastewater treatment plant),2015,84
Finland,Public total treatment (connected to a wastewater treatment plant),2016,84
Finland,Public total treatment (connected to a wastewater treatment plant),2017,85
Finland,Public total treatment (connected to a wastewater treatment plant),2018,85
Finland,Public total treatment (connected to a wastewater treatment plant),2019,85
Finland,Public total treatment (connected to a wastewater treatment plant),2020,85
Finland,Public total treatment (connected to a wastewater treatment plant),2021,85
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,1.4
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,3
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,2.261
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,2.141
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,1.9901
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,1.8391
Germany,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,1.6881
Korea,Public total treatment (connected to a wastewater treatment plant),1980,8.3
Korea,Public total treatment (connected to a wastewater treatment plant),1990,32.9
Korea,Public total treatment (connected to a wastewater treatment plant),2000,70.5
Korea,Public total treatment (connected to a wastewater treatment plant),2005,83.5
Korea,Public total treatment (connected to a wastewater treatment plant),2010,90.1
Korea,Public total treatment (connected to a wastewater treatment plant),2015,92.89
Korea,Public total treatment (connected to a wastewater treatment plant),2016,93.2219
Korea,Public total treatment (connected to a wastewater treatment plant),2017,93.2
Korea,Public total treatment (connected to a wastewater treatment plant),2018,93.55
Korea,Public total treatment (connected to a wastewater treatment plant),2019,93.91
Korea,Public total treatment (connected to a wastewater treatment plant),2020,94.064
Korea,Public total treatment (connected to a wastewater treatment plant),2021,94.359
Portugal,Population connected to independent treatment,2005,5
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",1970,40.5
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",1990,0.7
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,
Denmark,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1980,1.9
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1990,2
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,2
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,2
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,1.7
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,1.5
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,1.5
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,1.4
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,1.5
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,1.4
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,1.4
Israel,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,1.4
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1980,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2019,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2020,
Greece,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2021,
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,40
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,48
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,65
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,79
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,80
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,80
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,80
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,81
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,81
Estonia,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2021,80
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1980,
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1990,
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,7
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,9.5
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,13.7
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,19.83
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,20.91
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,23.65
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,23.89
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,24.32
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,26.15
Ireland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2021,29.92
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1970,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1980,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,
Belgium,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,
China (People's Republic of),Total public sewerage (% of resident population connected to a wastewater collecting system),2000,34.25
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,3.44
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,0.77
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,1.75
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,0.06
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,0.26
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,0.06
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,0.06
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,0.08
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,0.01
Latvia,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,0.1
Costa Rica,Total connected to wastewater treatment,2016,84.2431
Costa Rica,Total connected to wastewater treatment,2017,82.1489
Costa Rica,Total connected to wastewater treatment,2018,82.8925
Costa Rica,Total connected to wastewater treatment,2019,84.0055
Costa Rica,Total connected to wastewater treatment,2020,83.8982
Costa Rica,Total connected to wastewater treatment,2021,81.4483
Australia,Total connected to wastewater treatment,2010,100
Australia,Total connected to wastewater treatment,2015,100
Australia,Total connected to wastewater treatment,2016,100
Australia,Total connected to wastewater treatment,2017,100
Australia,Total connected to wastewater treatment,2018,100
Australia,Total connected to wastewater treatment,2019,100
Australia,Total connected to wastewater treatment,2020,100
Australia,Total connected to wastewater treatment,2021,100
Spain,Public total treatment (connected to a wastewater treatment plant),1980,17.9
Spain,Public total treatment (connected to a wastewater treatment plant),2000,81
Spain,Public total treatment (connected to a wastewater treatment plant),2010,96
Spain,Public total treatment (connected to a wastewater treatment plant),2016,88.28
Spain,Public total treatment (connected to a wastewater treatment plant),2018,88.28
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),1980,85.9
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),1990,96
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2000,98.1
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2005,99
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,99.3
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2015,99.43
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,99.45
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2017,99.5
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,99.5
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,99.5
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,99.52
Netherlands,Total public sewerage (% of resident population connected to a wastewater collecting system),2021,99.52
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",1980,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",1990,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,
Japan,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,20.1
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,37.3
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,49.6
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,58.9
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,59.7
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,59.5
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,60
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,60.31
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,60.5248
Poland,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2021,60.9
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,11.7339
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,3.6761
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,6.886
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,6.45
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,6.668
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,7.897
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,6.764
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,7.5917
Lithuania,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,7.0629
Iceland,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1990,
United Kingdom,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,2
United Kingdom,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,
United Kingdom,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,0.4
Italy,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1970,8
Italy,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,2.3
Italy,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,2.9
South Africa,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,2
South Africa,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,3
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),1990,72
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2000,85.4
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,93.9
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,95.2
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,95.95
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,95.95
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,96.04
Austria,Total public sewerage (% of resident population connected to a wastewater collecting system),2021,96.04
Canada,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,42.8
Canada,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,42.6
Canada,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,42.6
Hungary,Public total treatment (connected to a wastewater treatment plant),1970,6
Hungary,Public total treatment (connected to a wastewater treatment plant),1980,19
Hungary,Public total treatment (connected to a wastewater treatment plant),1990,20.4
Hungary,Public total treatment (connected to a wastewater treatment plant),2000,46
Hungary,Public total treatment (connected to a wastewater treatment plant),2005,60.6
Hungary,Public total treatment (connected to a wastewater treatment plant),2010,71.8
Hungary,Public total treatment (connected to a wastewater treatment plant),2015,76.59
Hungary,Public total treatment (connected to a wastewater treatment plant),2016,78.17
Hungary,Public total treatment (connected to a wastewater treatment plant),2017,79.191
Hungary,Public total treatment (connected to a wastewater treatment plant),2018,80.43
Hungary,Public total treatment (connected to a wastewater treatment plant),2019,80.336
Hungary,Public total treatment (connected to a wastewater treatment plant),2020,81.02
Hungary,Public total treatment (connected to a wastewater treatment plant),2021,97.926
Costa Rica,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,13.62
Costa Rica,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,15.82
Costa Rica,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,15.33
Costa Rica,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,14.5
Costa Rica,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,14.72
Costa Rica,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,17
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2000,63
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2005,68.8
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,78.8
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2015,69.938
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,87.55
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2017,74.239
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,88.497
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,73.931
Türkiye,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,89.303
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1970,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1980,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1990,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,
Norway,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,2.2
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,4.243
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,4.4
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,4.57
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,4.92
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,4.92
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,4.26
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,4.18
Chile,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,4.03
Australia,Population connected to independent treatment,2010,7.2145
Australia,Population connected to independent treatment,2015,7.6172
Australia,Population connected to independent treatment,2016,7.5178
Australia,Population connected to independent treatment,2017,7.3053
Australia,Population connected to independent treatment,2018,7.3608
Australia,Population connected to independent treatment,2019,7.1439
Australia,Population connected to independent treatment,2020,7.14
Australia,Population connected to independent treatment,2021,7.1439
Lithuania,Population connected to independent treatment,2010,8.6
Lithuania,Population connected to independent treatment,2015,4.3
Lithuania,Population connected to independent treatment,2016,3.8
Lithuania,Population connected to independent treatment,2017,3.7
Lithuania,Population connected to independent treatment,2018,2.9
Lithuania,Population connected to independent treatment,2019,2.6
Lithuania,Population connected to independent treatment,2020,2.4
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,22.5
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,45.6
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,64.5
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,66.0861
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,67.9697
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,69.7463
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,69.1245
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,69.0565
France,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,68.8159
Japan,Total connected to wastewater treatment,2000,71.6
Japan,Total connected to wastewater treatment,2005,80.9
Japan,Total connected to wastewater treatment,2010,86.9
Japan,Total connected to wastewater treatment,2015,89.9
Japan,Total connected to wastewater treatment,2016,90.4
Japan,Total connected to wastewater treatment,2017,90.9
Japan,Total connected to wastewater treatment,2018,91.4
Japan,Total connected to wastewater treatment,2019,91.7
Italy,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,87.8
Italy,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,88.7
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1980,28
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1990,31
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2000,28
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,25
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,14
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,4
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,3
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,3
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,3
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,2
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,2
Estonia,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,2
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,
Greece,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,
England and Wales,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,42.9
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2000,68
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,64.7
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,35.5
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,8.31
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,4.0759
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,2.28
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,3.02
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,1.39
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,0.85
Korea,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,0.83
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1970,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1980,
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,29.3
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,71.3
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,76.6
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,75.2
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,84.4
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,84.7
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,84.7
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2021,85.6
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2000,10
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,5
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,0.4
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,
Slovenia,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,
