"msa","pmsa","county","state","county_fips","state_fips"
1960,NA,"Henry","IL",73,17
NA,NA,"Iroquois","IL",75,17
NA,NA,"Jackson","IL",77,17
NA,NA,"Jasper","IL",79,17
NA,NA,"Jefferson","IL",81,17
7040,NA,"Jersey","IL",83,17
NA,NA,"Jo Daviess","IL",85,17
NA,NA,"Johnson","IL",87,17
1602,1600,"Kane","IL",89,17
1602,3740,"Kankakee","IL",91,17
1602,1600,"Kendall","IL",93,17
NA,NA,"Knox","IL",95,17
1602,1600,"Lake","IL",97,17
NA,NA,"La Salle","IL",99,17
NA,NA,"Lawrence","IL",101,17
NA,NA,"Lee","IL",103,17
NA,NA,"Livingston","IL",105,17
NA,NA,"Logan","IL",107,17
NA,NA,"McDonough","IL",109,17
1602,1600,"McHenry","IL",111,17
1040,NA,"McLean","IL",113,17
2040,NA,"Macon","IL",115,17
NA,NA,"Macoupin","IL",117,17
7040,NA,"Madison","IL",119,17
NA,NA,"Marion","IL",121,17
NA,NA,"Marshall","IL",123,17
NA,NA,"Mason","IL",125,17
NA,NA,"Massac","IL",127,17
7880,NA,"Menard","IL",129,17
NA,NA,"Mercer","IL",131,17
7040,NA,"Monroe","IL",133,17
NA,NA,"Montgomery","IL",135,17
NA,NA,"Morgan","IL",137,17
NA,NA,"Moultrie","IL",139,17
6880,NA,"Ogle","IL",141,17
6120,NA,"Peoria","IL",143,17
NA,NA,"Perry","IL",145,17
NA,NA,"Piatt","IL",147,17
NA,NA,"Pike","IL",149,17
NA,NA,"Pope","IL",151,17
NA,NA,"Pulaski","IL",153,17
NA,NA,"Putnam","IL",155,17
NA,NA,"Randolph","IL",157,17
NA,NA,"Richland","IL",159,17
1960,NA,"Rock Island","IL",161,17
7040,NA,"St. Clair","IL",163,17
NA,NA,"Saline","IL",165,17
7880,NA,"Sangamon","IL",167,17
NA,NA,"Schuyler","IL",169,17
NA,NA,"Scott","IL",171,17
NA,NA,"Shelby","IL",173,17
NA,NA,"Stark","IL",175,17
NA,NA,"Stephenson","IL",177,17
6120,NA,"Tazewell","IL",179,17
NA,NA,"Union","IL",181,17
NA,NA,"Vermilion","IL",183,17
NA,NA,"Wabash","IL",185,17
NA,NA,"Warren","IL",187,17
NA,NA,"Washington","IL",189,17
NA,NA,"Wayne","IL",191,17
NA,NA,"White","IL",193,17
NA,NA,"Whiteside","IL",195,17
1602,1600,"Will","IL",197,17
NA,NA,"Williamson","IL",199,17
6880,NA,"Winnebago","IL",201,17
6120,NA,"Woodford","IL",203,17
2760,NA,"Adams","IN",1,18
2760,NA,"Allen","IN",3,18
NA,NA,"Bartholomew","IN",5,18
NA,NA,"Benton","IN",7,18
NA,NA,"Blackford","IN",9,18
3480,NA,"Boone","IN",11,18
NA,NA,"Brown","IN",13,18
NA,NA,"Carroll","IN",15,18
NA,NA,"Cass","IN",17,18
4520,NA,"Clark","IN",19,18
8320,NA,"Clay","IN",21,18
3920,NA,"Clinton","IN",23,18
NA,NA,"Crawford","IN",25,18
NA,NA,"Daviess","IN",27,18
1642,1640,"Dearborn","IN",29,18
NA,NA,"Decatur","IN",31,18
2760,NA,"De Kalb","IN",33,18
5280,NA,"Delaware","IN",35,18
NA,NA,"Dubois","IN",37,18
2330,NA,"Elkhart","IN",39,18
NA,NA,"Fayette","IN",41,18
4520,NA,"Floyd","IN",43,18
NA,NA,"Fountain","IN",45,18
NA,NA,"Franklin","IN",47,18
NA,NA,"Fulton","IN",49,18
NA,NA,"Gibson","IN",51,18
NA,NA,"Grant","IN",53,18
NA,NA,"Greene","IN",55,18
3480,NA,"Hamilton","IN",57,18
3480,NA,"Hancock","IN",59,18
4520,NA,"Harrison","IN",61,18
3480,NA,"Hendricks","IN",63,18
NA,NA,"Henry","IN",65,18
3850,NA,"Howard","IN",67,18
2760,NA,"Huntington","IN",69,18
NA,NA,"Jackson","IN",71,18
NA,NA,"Jasper","IN",73,18
NA,NA,"Jay","IN",75,18
NA,NA,"Jefferson","IN",77,18
NA,NA,"Jennings","IN",79,18
3480,NA,"Johnson","IN",81,18
NA,NA,"Knox","IN",83,18
NA,NA,"Kosciusko","IN",85,18
NA,NA,"Lagrange","IN",87,18
1602,2960,"Lake","IN",89,18
NA,NA,"La Porte","IN",91,18
NA,NA,"Lawrence","IN",93,18
3480,NA,"Madison","IN",95,18
3480,NA,"Marion","IN",97,18
NA,NA,"Marshall","IN",99,18
NA,NA,"Martin","IN",101,18
NA,NA,"Miami","IN",103,18
1020,NA,"Monroe","IN",105,18
NA,NA,"Montgomery","IN",107,18
3480,NA,"Morgan","IN",109,18
NA,NA,"Newton","IN",111,18
NA,NA,"Noble","IN",113,18
1642,1640,"Ohio","IN",115,18
NA,NA,"Orange","IN",117,18
NA,NA,"Owen","IN",119,18
NA,NA,"Parke","IN",121,18
NA,NA,"Perry","IN",123,18
NA,NA,"Pike","IN",125,18
1602,2960,"Porter","IN",127,18
2440,NA,"Posey","IN",129,18
NA,NA,"Pulaski","IN",131,18
NA,NA,"Putnam","IN",133,18
NA,NA,"Randolph","IN",135,18
NA,NA,"Ripley","IN",137,18
NA,NA,"Rush","IN",139,18
7800,NA,"St. Joseph","IN",141,18
4520,NA,"Scott","IN",143,18
3480,NA,"Shelby","IN",145,18
NA,NA,"Spencer","IN",147,18
NA,NA,"Starke","IN",149,18
NA,NA,"Steuben","IN",151,18
NA,NA,"Sullivan","IN",153,18
NA,NA,"Switzerland","IN",155,18
3920,NA,"Tippecanoe","IN",157,18
3850,NA,"Tipton","IN",159,18
NA,NA,"Union","IN",161,18
2440,NA,"Vanderburgh","IN",163,18
8320,NA,"Vermillion","IN",165,18
8320,NA,"Vigo","IN",167,18
NA,NA,"Wabash","IN",169,18
NA,NA,"Warren","IN",171,18
2440,NA,"Warrick","IN",173,18
NA,NA,"Washington","IN",175,18
NA,NA,"Wayne","IN",177,18
2760,NA,"Wells","IN",179,18
NA,NA,"White","IN",181,18
2760,NA,"Whitley","IN",183,18
NA,NA,"Allen","KS",1,20
NA,NA,"Anderson","KS",3,20
NA,NA,"Atchison","KS",5,20
NA,NA,"Barber","KS",7,20
NA,NA,"Barton","KS",9,20
NA,NA,"Bourbon","KS",11,20
NA,NA,"Brown","KS",13,20
9040,NA,"Butler","KS",15,20
NA,NA,"Chase","KS",17,20
NA,NA,"Chautauqua","KS",19,20
NA,NA,"Cherokee","KS",21,20
NA,NA,"Cheyenne","KS",23,20
NA,NA,"Clark","KS",25,20
NA,NA,"Clay","KS",27,20
NA,NA,"Cloud","KS",29,20
NA,NA,"Coffey","KS",31,20
NA,NA,"Comanche","KS",33,20
NA,NA,"Cowley","KS",35,20
NA,NA,"Crawford","KS",37,20
NA,NA,"Decatur","KS",39,20
NA,NA,"Dickinson","KS",41,20
NA,NA,"Doniphan","KS",43,20
4150,NA,"Douglas","KS",45,20
NA,NA,"Edwards","KS",47,20
NA,NA,"Elk","KS",49,20
NA,NA,"Ellis","KS",51,20
NA,NA,"Ellsworth","KS",53,20
NA,NA,"Finney","KS",55,20
NA,NA,"Ford","KS",57,20
NA,NA,"Franklin","KS",59,20
NA,NA,"Geary","KS",61,20
NA,NA,"Gove","KS",63,20
NA,NA,"Graham","KS",65,20
NA,NA,"Grant","KS",67,20
NA,NA,"Gray","KS",69,20
NA,NA,"Greeley","KS",71,20
NA,NA,"Greenwood","KS",73,20
NA,NA,"Hamilton","KS",75,20
NA,NA,"Harper","KS",77,20
9040,NA,"Harvey","KS",79,20
NA,NA,"Haskell","KS",81,20
NA,NA,"Hodgeman","KS",83,20
NA,NA,"Jackson","KS",85,20
NA,NA,"Jefferson","KS",87,20
NA,NA,"Jewell","KS",89,20
3760,NA,"Johnson","KS",91,20
NA,NA,"Kearny","KS",93,20
NA,NA,"Kingman","KS",95,20
NA,NA,"Kiowa","KS",97,20
NA,NA,"Labette","KS",99,20
NA,NA,"Lane","KS",101,20
3760,NA,"Leavenworth","KS",103,20
NA,NA,"Lincoln","KS",105,20
NA,NA,"Linn","KS",107,20
NA,NA,"Logan","KS",109,20
NA,NA,"Lyon","KS",111,20
NA,NA,"McPherson","KS",113,20
NA,NA,"Marion","KS",115,20
NA,NA,"Marshall","KS",117,20
NA,NA,"Meade","KS",119,20
3760,NA,"Miami","KS",121,20
NA,NA,"Mitchell","KS",123,20
NA,NA,"Montgomery","KS",125,20
NA,NA,"Morris","KS",127,20
NA,NA,"Morton","KS",129,20
NA,NA,"Nemaha","KS",131,20
NA,NA,"Neosho","KS",133,20
NA,NA,"Ness","KS",135,20
NA,NA,"Norton","KS",137,20
NA,NA,"Osage","KS",139,20
NA,NA,"Osborne","KS",141,20
NA,NA,"Ottawa","KS",143,20
NA,NA,"Pawnee","KS",145,20
NA,NA,"Phillips","KS",147,20
NA,NA,"Pottawatomie","KS",149,20
NA,NA,"Pratt","KS",151,20
NA,NA,"Rawlins","KS",153,20
NA,NA,"Reno","KS",155,20
NA,NA,"Republic","KS",157,20
NA,NA,"Rice","KS",159,20
NA,NA,"Riley","KS",161,20
NA,NA,"Rooks","KS",163,20
NA,NA,"Rush","KS",165,20
NA,NA,"Russell","KS",167,20
NA,NA,"Saline","KS",169,20
NA,NA,"Scott","KS",171,20
9040,NA,"Sedgwick","KS",173,20
NA,NA,"Seward","KS",175,20
8440,NA,"Shawnee","KS",177,20
NA,NA,"Sheridan","KS",179,20
NA,NA,"Sherman","KS",181,20
NA,NA,"Smith","KS",183,20
NA,NA,"Stafford","KS",185,20
NA,NA,"Stanton","KS",187,20
NA,NA,"Stevens","KS",189,20
NA,NA,"Sumner","KS",191,20
NA,NA,"Thomas","KS",193,20
NA,NA,"Trego","KS",195,20
NA,NA,"Wabaunsee","KS",197,20
NA,NA,"Wallace","KS",199,20
NA,NA,"Washington","KS",201,20
NA,NA,"Wichita","KS",203,20
NA,NA,"Wilson","KS",205,20
NA,NA,"Woodson","KS",207,20
3760,NA,"Wyandotte","KS",209,20
NA,NA,"Adair","KY",1,21
NA,NA,"Allen","KY",3,21
NA,NA,"Anderson","KY",5,21
NA,NA,"Ballard","KY",7,21
NA,NA,"Barren","KY",9,21
NA,NA,"Bath","KY",11,21
NA,NA,"Bell","KY",13,21
1642,1640,"Boone","KY",15,21
4280,NA,"Bourbon","KY",17,21
3400,NA,"Boyd","KY",19,21
NA,NA,"Boyle","KY",21,21
NA,NA,"Bracken","KY",23,21
NA,NA,"Breathitt","KY",25,21
NA,NA,"Breckinridge","KY",27,21
4520,NA,"Bullitt","KY",29,21
NA,NA,"Butler","KY",31,21
NA,NA,"Caldwell","KY",33,21
NA,NA,"Calloway","KY",35,21
1642,1640,"Campbell","KY",37,21
NA,NA,"Carlisle","KY",39,21
NA,NA,"Carroll","KY",41,21
NA,NA,"Carter","KY",43,21
NA,NA,"Casey","KY",45,21
1660,NA,"Christian","KY",47,21
4280,NA,"Clark","KY",49,21
NA,NA,"Clay","KY",51,21
NA,NA,"Clinton","KY",53,21
NA,NA,"Crittenden","KY",55,21
NA,NA,"Cumberland","KY",57,21
5990,NA,"Daviess","KY",59,21
NA,NA,"Edmonson","KY",61,21
NA,NA,"Elliott","KY",63,21
NA,NA,"Estill","KY",65,21
4280,NA,"Fayette","KY",67,21
NA,NA,"Fleming","KY",69,21
NA,NA,"Floyd","KY",71,21
NA,NA,"Franklin","KY",73,21
NA,NA,"Fulton","KY",75,21
1642,1640,"Gallatin","KY",77,21
NA,NA,"Garrard","KY",79,21
1642,1640,"Grant","KY",81,21
NA,NA,"Graves","KY",83,21
NA,NA,"Grayson","KY",85,21
NA,NA,"Green","KY",87,21
3400,NA,"Greenup","KY",89,21
NA,NA,"Hancock","KY",91,21
NA,NA,"Hardin","KY",93,21
NA,NA,"Harlan","KY",95,21
NA,NA,"Harrison","KY",97,21
NA,NA,"Hart","KY",99,21
2440,NA,"Henderson","KY",101,21
NA,NA,"Henry","KY",103,21
NA,NA,"Hickman","KY",105,21
NA,NA,"Hopkins","KY",107,21
NA,NA,"Jackson","KY",109,21
4520,NA,"Jefferson","KY",111,21
4280,NA,"Jessamine","KY",113,21
NA,NA,"Johnson","KY",115,21
1642,1640,"Kenton","KY",117,21
NA,NA,"Knott","KY",119,21
NA,NA,"Knox","KY",121,21
NA,NA,"Larue","KY",123,21
NA,NA,"Laurel","KY",125,21
NA,NA,"Lawrence","KY",127,21
NA,NA,"Lee","KY",129,21
NA,NA,"Leslie","KY",131,21
NA,NA,"Letcher","KY",133,21
NA,NA,"Lewis","KY",135,21
NA,NA,"Lincoln","KY",137,21
NA,NA,"Livingston","KY",139,21
NA,NA,"Logan","KY",141,21
NA,NA,"Lyon","KY",143,21
NA,NA,"McCracken","KY",145,21
NA,NA,"McCreary","KY",147,21
NA,NA,"McLean","KY",149,21
4280,NA,"Madison","KY",151,21
NA,NA,"Magoffin","KY",153,21
NA,NA,"Marion","KY",155,21
NA,NA,"Marshall","KY",157,21
NA,NA,"Martin","KY",159,21
NA,NA,"Mason","KY",161,21
NA,NA,"Meade","KY",163,21
NA,NA,"Menifee","KY",165,21
NA,NA,"Mercer","KY",167,21
NA,NA,"Metcalfe","KY",169,21
NA,NA,"Monroe","KY",171,21
NA,NA,"Montgomery","KY",173,21
NA,NA,"Morgan","KY",175,21
NA,NA,"Muhlenberg","KY",177,21
NA,NA,"Nelson","KY",179,21
NA,NA,"Nicholas","KY",181,21
NA,NA,"Ohio","KY",183,21
4520,NA,"Oldham","KY",185,21
NA,NA,"Owen","KY",187,21
NA,NA,"Owsley","KY",189,21
1642,1640,"Pendleton","KY",191,21
NA,NA,"Perry","KY",193,21
NA,NA,"Pike","KY",195,21
NA,NA,"Powell","KY",197,21
NA,NA,"Pulaski","KY",199,21
NA,NA,"Robertson","KY",201,21
NA,NA,"Rockcastle","KY",203,21
NA,NA,"Rowan","KY",205,21
NA,NA,"Russell","KY",207,21
4280,NA,"Scott","KY",209,21
NA,NA,"Shelby","KY",211,21
NA,NA,"Simpson","KY",213,21
NA,NA,"Spencer","KY",215,21
NA,NA,"Taylor","KY",217,21
NA,NA,"Todd","KY",219,21
NA,NA,"Trigg","KY",221,21
NA,NA,"Trimble","KY",223,21
NA,NA,"Union","KY",225,21
NA,NA,"Warren","KY",227,21
NA,NA,"Washington","KY",229,21
NA,NA,"Wayne","KY",231,21
NA,NA,"Webster","KY",233,21
NA,NA,"Whitley","KY",235,21
NA,NA,"Wolfe","KY",237,21
4280,NA,"Woodford","KY",239,21
3880,NA,"Acadia","LA",1,22
NA,NA,"Allen","LA",3,22
NA,NA,"Ascension","LA",5,22
NA,NA,"Assumption","LA",7,22
NA,NA,"Avoyelles","LA",9,22
NA,NA,"Beauregard","LA",11,22
NA,NA,"Bienville","LA",13,22
7680,NA,"Bossier","LA",15,22
7680,NA,"Caddo","LA",17,22
3960,NA,"Calcasieu","LA",19,22
NA,NA,"Caldwell","LA",21,22
NA,NA,"Cameron","LA",23,22
NA,NA,"Catahoula","LA",25,22
NA,NA,"Claiborne","LA",27,22
NA,NA,"Concordia","LA",29,22
NA,NA,"De Soto","LA",31,22
760,NA,"East Baton Rouge","LA",33,22
NA,NA,"East Carroll","LA",35,22
NA,NA,"East Feliciana","LA",37,22
NA,NA,"Evangeline","LA",39,22
NA,NA,"Franklin","LA",41,22
NA,NA,"Grant","LA",43,22
NA,NA,"Iberia","LA",45,22
NA,NA,"Iberville","LA",47,22
NA,NA,"Jackson","LA",49,22
5560,NA,"Jefferson","LA",51,22
NA,NA,"Jefferson Davis","LA",53,22
3880,NA,"Lafayette","LA",55,22
3350,NA,"Lafourche","LA",57,22
NA,NA,"La Salle","LA",59,22
NA,NA,"Lincoln","LA",61,22
760,NA,"Livingston","LA",63,22
NA,NA,"Madison","LA",65,22
NA,NA,"Morehouse","LA",67,22
NA,NA,"Natchitoches","LA",69,22
5560,NA,"Orleans","LA",71,22
5200,NA,"Ouachita","LA",73,22
5560,NA,"Plaquemines","LA",75,22
NA,NA,"Pointe Coupee","LA",77,22
220,NA,"Rapides","LA",79,22
NA,NA,"Red River","LA",81,22
NA,NA,"Richland","LA",83,22
NA,NA,"Sabine","LA",85,22
5560,NA,"St. Bernard","LA",87,22
5560,NA,"St. Charles","LA",89,22
NA,NA,"St. Helena","LA",91,22
5560,NA,"St. James","LA",93,22
5560,NA,"St. John the Baptist","LA",95,22
3880,NA,"St. Landry","LA",97,22
3880,NA,"St. Martin","LA",99,22
NA,NA,"St. Mary","LA",101,22
5560,NA,"St. Tammany","LA",103,22
NA,NA,"Tangipahoa","LA",105,22
NA,NA,"Tensas","LA",107,22
3350,NA,"Terrebonne","LA",109,22
NA,NA,"Union","LA",111,22
NA,NA,"Vermilion","LA",113,22
NA,NA,"Vernon","LA",115,22
NA,NA,"Washington","LA",117,22
7680,NA,"Webster","LA",119,22
760,NA,"West Baton Rouge","LA",121,22
NA,NA,"West Carroll","LA",123,22
NA,NA,"West Feliciana","LA",125,22
NA,NA,"Winn","LA",127,22
743,NA,"Barnstable","MA",1,25
6323,NA,"Berkshire","MA",3,25
1123,NA,"Bristol","MA",5,25
NA,NA,"Dukes","MA",7,25
1123,NA,"Essex","MA",9,25
NA,NA,"Franklin","MA",11,25
8003,NA,"Hampden","MA",13,25
8003,NA,"Hampshire","MA",15,25
1123,NA,"Middlesex","MA",17,25
NA,NA,"Nantucket","MA",19,25
1123,NA,"Norfolk","MA",21,25
1123,NA,"Plymouth","MA",23,25
1123,NA,"Suffolk","MA",25,25
1123,NA,"Worcester","MA",27,25
1900,NA,"Allegany","MD",1,24
8872,720,"Anne Arundel","MD",3,24
8872,720,"Baltimore","MD",5,24
8872,8840,"Calvert","MD",9,24
NA,NA,"Caroline","MD",11,24
8872,720,"Carroll","MD",13,24
6162,9160,"Cecil","MD",15,24
8872,8840,"Charles","MD",17,24
NA,NA,"Dorchester","MD",19,24
8872,8840,"Frederick","MD",21,24
NA,NA,"Garrett","MD",23,24
8872,720,"Harford","MD",25,24
8872,720,"Howard","MD",27,24
NA,NA,"Kent","MD",29,24
8872,8840,"Montgomery","MD",31,24
8872,8840,"Prince George's","MD",33,24
8872,720,"Queen Anne's","MD",35,24
NA,NA,"St. Mary's","MD",37,24
NA,NA,"Somerset","MD",39,24
NA,NA,"Talbot","MD",41,24
8872,3180,"Washington","MD",43,24
NA,NA,"Wicomico","MD",45,24
NA,NA,"Worcester","MD",47,24
8872,720,"Baltimore city","MD",510,24
4243,NA,"Androscoggin","ME",1,23
NA,NA,"Aroostook","ME",3,23
6403,NA,"Cumberland","ME",5,23
NA,NA,"Franklin","ME",7,23
NA,NA,"Hancock","ME",9,23
NA,NA,"Kennebec","ME",11,23
NA,NA,"Knox","ME",13,23
NA,NA,"Lincoln","ME",15,23
NA,NA,"Oxford","ME",17,23
733,NA,"Penobscot","ME",19,23
NA,NA,"Piscataquis","ME",21,23
NA,NA,"Sagadahoc","ME",23,23
NA,NA,"Somerset","ME",25,23
NA,NA,"Waldo","ME",27,23
NA,NA,"Washington","ME",29,23
NA,NA,"York","ME",31,23
NA,NA,"Alcona","MI",1,26
NA,NA,"Alger","MI",3,26
3000,NA,"Allegan","MI",5,26
NA,NA,"Alpena","MI",7,26
NA,NA,"Antrim","MI",9,26
NA,NA,"Arenac","MI",11,26
NA,NA,"Baraga","MI",13,26
NA,NA,"Barry","MI",15,26
6960,NA,"Bay","MI",17,26
NA,NA,"Benzie","MI",19,26
870,NA,"Berrien","MI",21,26
NA,NA,"Branch","MI",23,26
3720,NA,"Calhoun","MI",25,26
NA,NA,"Cass","MI",27,26
NA,NA,"Charlevoix","MI",29,26
NA,NA,"Cheboygan","MI",31,26
NA,NA,"Chippewa","MI",33,26
NA,NA,"Clare","MI",35,26
4040,NA,"Clinton","MI",37,26
NA,NA,"Crawford","MI",39,26
NA,NA,"Delta","MI",41,26
NA,NA,"Dickinson","MI",43,26
4040,NA,"Eaton","MI",45,26
NA,NA,"Emmet","MI",47,26
2162,2640,"Genesee","MI",49,26
NA,NA,"Gladwin","MI",51,26
NA,NA,"Gogebic","MI",53,26
NA,NA,"Grand Traverse","MI",55,26
NA,NA,"Gratiot","MI",57,26
NA,NA,"Hillsdale","MI",59,26
NA,NA,"Houghton","MI",61,26
NA,NA,"Huron","MI",63,26
4040,NA,"Ingham","MI",65,26
NA,NA,"Ionia","MI",67,26
NA,NA,"Iosco","MI",69,26
NA,NA,"Iron","MI",71,26
NA,NA,"Isabella","MI",73,26
3520,NA,"Jackson","MI",75,26
3720,NA,"Kalamazoo","MI",77,26
NA,NA,"Kalkaska","MI",79,26
3000,NA,"Kent","MI",81,26
NA,NA,"Keweenaw","MI",83,26
NA,NA,"Lake","MI",85,26
2162,2160,"Lapeer","MI",87,26
NA,NA,"Leelanau","MI",89,26
2162,440,"Lenawee","MI",91,26
2162,440,"Livingston","MI",93,26
NA,NA,"Luce","MI",95,26
NA,NA,"Mackinac","MI",97,26
2162,2160,"Macomb","MI",99,26
NA,NA,"Manistee","MI",101,26
NA,NA,"Marquette","MI",103,26
NA,NA,"Mason","MI",105,26
NA,NA,"Mecosta","MI",107,26
NA,NA,"Menominee","MI",109,26
6960,NA,"Midland","MI",111,26
NA,NA,"Missaukee","MI",113,26
2162,2160,"Monroe","MI",115,26
NA,NA,"Montcalm","MI",117,26
NA,NA,"Montmorency","MI",119,26
3000,NA,"Muskegon","MI",121,26
NA,NA,"Newaygo","MI",123,26
2162,2160,"Oakland","MI",125,26
NA,NA,"Oceana","MI",127,26
NA,NA,"Ogemaw","MI",129,26
NA,NA,"Ontonagon","MI",131,26
NA,NA,"Osceola","MI",133,26
NA,NA,"Oscoda","MI",135,26
NA,NA,"Otsego","MI",137,26
3000,NA,"Ottawa","MI",139,26
NA,NA,"Presque Isle","MI",141,26
NA,NA,"Roscommon","MI",143,26
6960,NA,"Saginaw","MI",145,26
2162,2160,"St. Clair","MI",147,26
NA,NA,"St. Joseph","MI",149,26
NA,NA,"Sanilac","MI",151,26
NA,NA,"Schoolcraft","MI",153,26
NA,NA,"Shiawassee","MI",155,26
NA,NA,"Tuscola","MI",157,26
3720,NA,"Van Buren","MI",159,26
2162,440,"Washtenaw","MI",161,26
2162,2160,"Wayne","MI",163,26
NA,NA,"Wexford","MI",165,26
NA,NA,"Aitkin","MN",1,27
5120,NA,"Anoka","MN",3,27
NA,NA,"Becker","MN",5,27
NA,NA,"Beltrami","MN",7,27
6980,NA,"Benton","MN",9,27
NA,NA,"Big Stone","MN",11,27
NA,NA,"Blue Earth","MN",13,27
NA,NA,"Brown","MN",15,27
NA,NA,"Carlton","MN",17,27
5120,NA,"Carver","MN",19,27
NA,NA,"Cass","MN",21,27
NA,NA,"Chippewa","MN",23,27
5120,NA,"Chisago","MN",25,27
2520,NA,"Clay","MN",27,27
NA,NA,"Clearwater","MN",29,27
NA,NA,"Cook","MN",31,27
NA,NA,"Cottonwood","MN",33,27
NA,NA,"Crow Wing","MN",35,27
5120,NA,"Dakota","MN",37,27
NA,NA,"Dodge","MN",39,27
NA,NA,"Douglas","MN",41,27
NA,NA,"Faribault","MN",43,27
NA,NA,"Fillmore","MN",45,27
NA,NA,"Freeborn","MN",47,27
NA,NA,"Goodhue","MN",49,27
NA,NA,"Grant","MN",51,27
5120,NA,"Hennepin","MN",53,27
3870,NA,"Houston","MN",55,27
NA,NA,"Hubbard","MN",57,27
5120,NA,"Isanti","MN",59,27
NA,NA,"Itasca","MN",61,27
NA,NA,"Jackson","MN",63,27
NA,NA,"Kanabec","MN",65,27
NA,NA,"Kandiyohi","MN",67,27
NA,NA,"Kittson","MN",69,27
NA,NA,"Koochiching","MN",71,27
NA,NA,"Lac qui Parle","MN",73,27
NA,NA,"Lake","MN",75,27
NA,NA,"Lake of the Woods","MN",77,27
NA,NA,"Le Sueur","MN",79,27
NA,NA,"Lincoln","MN",81,27
NA,NA,"Lyon","MN",83,27
NA,NA,"McLeod","MN",85,27
NA,NA,"Mahnomen","MN",87,27
NA,NA,"Marshall","MN",89,27
NA,NA,"Martin","MN",91,27
NA,NA,"Meeker","MN",93,27
NA,NA,"Mille Lacs","MN",95,27
NA,NA,"Morrison","MN",97,27
NA,NA,"Mower","MN",99,27
NA,NA,"Murray","MN",101,27
NA,NA,"Nicollet","MN",103,27
NA,NA,"Nobles","MN",105,27
NA,NA,"Norman","MN",107,27
6820,NA,"Olmsted","MN",109,27
NA,NA,"Otter Tail","MN",111,27
NA,NA,"Pennington","MN",113,27
NA,NA,"Pine","MN",115,27
NA,NA,"Pipestone","MN",117,27
2985,NA,"Polk","MN",119,27
NA,NA,"Pope","MN",121,27
5120,NA,"Ramsey","MN",123,27
NA,NA,"Red Lake","MN",125,27
NA,NA,"Redwood","MN",127,27
NA,NA,"Renville","MN",129,27
NA,NA,"Rice","MN",131,27
NA,NA,"Rock","MN",133,27
NA,NA,"Roseau","MN",135,27
2240,NA,"St. Louis","MN",137,27
5120,NA,"Scott","MN",139,27
5120,NA,"Sherburne","MN",141,27
NA,NA,"Sibley","MN",143,27
6980,NA,"Stearns","MN",145,27
NA,NA,"Steele","MN",147,27
NA,NA,"Stevens","MN",149,27
NA,NA,"Swift","MN",151,27
NA,NA,"Todd","MN",153,27
NA,NA,"Traverse","MN",155,27
NA,NA,"Wabasha","MN",157,27
NA,NA,"Wadena","MN",159,27
NA,NA,"Waseca","MN",161,27
5120,NA,"Washington","MN",163,27
NA,NA,"Watonwan","MN",165,27
NA,NA,"Wilkin","MN",167,27
NA,NA,"Winona","MN",169,27
5120,NA,"Wright","MN",171,27
NA,NA,"Yellow Medicine","MN",173,27
NA,NA,"Adair","MO",1,29
7000,NA,"Andrew","MO",3,29
NA,NA,"Atchison","MO",5,29
NA,NA,"Audrain","MO",7,29
NA,NA,"Barry","MO",9,29
NA,NA,"Barton","MO",11,29
NA,NA,"Bates","MO",13,29
NA,NA,"Benton","MO",15,29
NA,NA,"Bollinger","MO",17,29
1740,NA,"Boone","MO",19,29
7000,NA,"Buchanan","MO",21,29
NA,NA,"Butler","MO",23,29
NA,NA,"Caldwell","MO",25,29
NA,NA,"Callaway","MO",27,29
NA,NA,"Camden","MO",29,29
NA,NA,"Cape Girardeau","MO",31,29
NA,NA,"Carroll","MO",33,29
NA,NA,"Carter","MO",35,29
3760,NA,"Cass","MO",37,29
NA,NA,"Cedar","MO",39,29
NA,NA,"Chariton","MO",41,29
7920,NA,"Christian","MO",43,29
NA,NA,"Clark","MO",45,29
3760,NA,"Clay","MO",47,29
3760,NA,"Clinton","MO",49,29
NA,NA,"Cole","MO",51,29
NA,NA,"Cooper","MO",53,29
NA,NA,"Crawford","MO",55,29
NA,NA,"Dade","MO",57,29
NA,NA,"Dallas","MO",59,29
NA,NA,"Daviess","MO",61,29
NA,NA,"De Kalb","MO",63,29
NA,NA,"Dent","MO",65,29
NA,NA,"Douglas","MO",67,29
NA,NA,"Dunklin","MO",69,29
7040,NA,"Franklin","MO",71,29
NA,NA,"Gasconade","MO",73,29
NA,NA,"Gentry","MO",75,29
7920,NA,"Greene","MO",77,29
NA,NA,"Grundy","MO",79,29
NA,NA,"Harrison","MO",81,29
NA,NA,"Henry","MO",83,29
NA,NA,"Hickory","MO",85,29
NA,NA,"Holt","MO",87,29
NA,NA,"Howard","MO",89,29
NA,NA,"Howell","MO",91,29
NA,NA,"Iron","MO",93,29
3760,NA,"Jackson","MO",95,29
3710,NA,"Jasper","MO",97,29
7040,NA,"Jefferson","MO",99,29
NA,NA,"Johnson","MO",101,29
NA,NA,"Knox","MO",103,29
NA,NA,"Laclede","MO",105,29
3760,NA,"Lafayette","MO",107,29
NA,NA,"Lawrence","MO",109,29
NA,NA,"Lewis","MO",111,29
7040,NA,"Lincoln","MO",113,29
NA,NA,"Linn","MO",115,29
NA,NA,"Livingston","MO",117,29
NA,NA,"McDonald","MO",119,29
