Detail Data For Electricity T & D State wise Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,Availability_GWh,ExBusImport_CPP_Gwh,ExBusImport_Grid_Gwh,OwnExBusGen_Gwh,ToalConsumption_Gwh,TandDLosses_GWh,TandDLoss_Percent
SR,TAMILNADU,2009,65419.870,1170.110,19533.090,44716.670,53553.490,11866.380,0.181
SR,TAMILNADU,2010,70750.850,1864.820,23228.610,45657.420,57722.330,13028.520,0.184
SR,TAMILNADU,2011,72516.500,2030.060,25625.840,44860.600,62750.890,9765.610,0.135
SR,TAMILNADU,2012,73984.875,551.100,25184.795,48248.980,61896.540,12088.335,0.163
SR,TAMILNADU,2013,72616.460,3862.720,22019.090,46734.650,62076.910,10539.550,0.145
SR,TAMILNADU,2014,80494.960,1888.630,28289.380,50316.950,71772.370,8722.590,0.108
SR,TAMILNADU,2015,87276.160,1849.630,30815.400,54611.130,77617.760,9658.400,0.111
SR,TAMILNADU,2017,96063.750,856.240,49503.950,45703.560,83936.070,12127.680,0.126
SR,TAMILNADU,2018,103091.670,1611.830,51985.650,49494.200,86654.000,16437.680,0.160
SR,TAMILNADU,2019,113492.340,6562.990,52398.200,54531.150,91788.330,21704.010,0.190
SR,TAMILNADU,2016,89825.320,2569.200,41507.470,45748.640,80083.190,9742.130,0.110
NR,DELHI,2006,26119.890,0.000,20863.170,5256.720,13423.030,12696.860,0.486
NR,DELHI,2007,21906.730,0.000,12905.520,9001.210,14677.140,7229.590,0.330
NR,DELHI,2008,22883.890,0.000,13036.000,9847.890,16327.510,6556.380,0.287
NR,DELHI,2009,22455.870,0.000,12593.370,9862.500,17465.430,4990.440,0.222
NR,DELHI,2010,24766.430,0.000,15461.440,9304.990,19295.840,5470.590,0.221
NR,DELHI,2011,26360.750,0.000,17797.780,8562.970,21076.800,5283.950,0.200
NR,DELHI,2012,28525.188,0.000,18084.638,10440.550,23015.490,5509.698,0.193
NR,DELHI,2013,29712.730,0.000,17253.520,12459.210,23144.220,6568.510,0.221
NR,DELHI,2014,29923.040,0.000,20741.290,9181.750,23980.790,5942.250,0.199
NR,DELHI,2015,31556.030,0.000,21610.430,9945.600,24775.020,6781.010,0.215
NR,DELHI,2017,32997.230,0.000,25872.500,7124.720,26604.490,6392.740,0.194
NR,DELHI,2018,34481.830,0.000,25738.470,8743.360,28487.750,5994.070,0.170
NR,DELHI,2019,33357.490,0.000,26350.240,7007.260,29168.820,4188.670,0.130
NR,DELHI,2016,31906.350,0.000,24549.310,7357.040,25658.170,6248.180,0.200
NR,HARYANA,2006,22198.740,92.710,10903.560,11202.470,15426.110,6772.630,0.305
NR,HARYANA,2007,24969.460,92.710,12431.340,12445.410,16642.970,8326.490,0.333
NR,HARYANA,2008,27185.110,4.660,14522.060,12658.390,18260.500,8924.610,0.328
NR,HARYANA,2009,27853.520,60.950,12752.600,15039.970,19291.410,8562.110,0.307
NR,HARYANA,2010,33058.330,54.100,16008.570,16995.660,22809.230,10249.100,0.310
NR,HARYANA,2011,34143.800,50.700,16046.650,18046.450,24015.060,10128.740,0.297
NR,HARYANA,2012,38666.818,50.700,16748.581,21867.537,27614.000,11052.818,0.286
NR,HARYANA,2013,40998.040,42.670,19657.980,21297.390,26257.620,14740.420,0.360
NR,HARYANA,2014,45323.300,42.690,24249.440,21031.170,29082.520,16240.780,0.358
NR,HARYANA,2015,48818.180,42.550,27112.900,21662.730,32197.330,16620.850,0.340
NR,HARYANA,2017,52009.930,38.180,38102.850,13868.890,34500.610,17509.320,0.337
NR,HARYANA,2018,53253.840,38.180,34113.560,19102.090,38215.380,15038.460,0.280
NR,HARYANA,2019,53115.750,0.020,35690.120,17425.610,41017.420,12098.320,0.230
NR,HARYANA,2016,51312.260,42.710,33632.950,17636.600,35092.260,16220.000,0.320
NR,HIMACHAL PRADESH,2006,4668.000,0.000,1868.640,2799.360,3568.670,1099.330,0.236
NR,HIMACHAL PRADESH,2007,5360.450,0.000,2389.030,2971.420,4300.460,1059.990,0.198
NR,HIMACHAL PRADESH,2008,6046.070,4.790,2409.310,3631.970,5019.450,1026.620,0.170
NR,HIMACHAL PRADESH,2009,6462.890,0.000,2405.810,4057.080,5460.510,1002.380,0.155
NR,HIMACHAL PRADESH,2010,7315.350,0.000,3185.850,4129.500,5814.510,1500.840,0.205
NR,HIMACHAL PRADESH,2011,8095.320,0.790,3285.890,4808.640,6296.210,1799.110,0.222
NR,HIMACHAL PRADESH,2012,8409.454,0.000,3561.166,4848.288,6843.820,1565.634,0.186
NR,HIMACHAL PRADESH,2013,9099.680,0.000,3964.700,5134.980,7357.800,1741.880,0.191
NR,HIMACHAL PRADESH,2014,9686.690,0.000,4073.790,5612.900,7649.490,2037.200,0.210
NR,HIMACHAL PRADESH,2015,9902.490,0.000,4075.490,5827.000,7841.520,2060.970,0.208
NR,HIMACHAL PRADESH,2017,10273.890,0.000,4656.720,5617.170,7973.790,2300.100,0.224
NR,HIMACHAL PRADESH,2018,10745.080,0.000,4189.390,6555.690,8404.560,2340.520,0.220
NR,HIMACHAL PRADESH,2019,10548.060,0.000,4688.460,5859.600,9040.860,1507.200,0.140
NR,HIMACHAL PRADESH,2016,9794.430,0.000,4645.570,5148.870,7957.790,1836.640,0.190
SR,KARNATAKA,2006,36596.940,2234.920,10627.870,23734.150,25701.710,10895.230,0.298
SR,KARNATAKA,2007,41425.930,1923.000,9782.810,29720.120,30690.560,10735.370,0.259
SR,KARNATAKA,2008,42196.310,529.630,9789.720,31876.960,34235.380,7960.930,0.189
SR,KARNATAKA,2009,43436.860,879.050,11092.720,31465.090,36039.590,7397.270,0.170
SR,KARNATAKA,2010,44556.520,879.050,7849.250,35828.220,36198.330,8358.190,0.188
SR,KARNATAKA,2011,48134.580,910.930,11262.890,35960.760,39788.830,8345.750,0.173
SR,KARNATAKA,2012,54333.061,592.480,10535.869,43204.712,47455.840,6877.221,0.127
SR,KARNATAKA,2013,57889.160,2785.070,11101.860,44002.230,51439.470,6449.690,0.111
SR,KARNATAKA,2014,59805.710,2997.490,7748.980,49059.240,53716.250,6089.460,0.102
SR,KARNATAKA,2015,62334.540,3194.880,9209.010,49930.650,55165.520,7169.020,0.115
SR,KARNATAKA,2017,67166.910,1104.600,26103.350,39958.970,58152.320,9014.590,0.134
SR,KARNATAKA,2018,68279.980,1602.680,27690.820,38986.470,59235.600,9044.380,0.130
SR,KARNATAKA,2019,74298.920,1914.530,22576.340,49808.040,62405.450,11893.470,0.160
SR,KARNATAKA,2016,63946.750,3409.540,13653.600,46883.600,57223.180,6723.570,0.110
NR,PUNJAB,2006,33493.090,226.300,14865.560,18401.230,24261.270,9231.820,0.276
NR,PUNJAB,2007,35956.220,233.020,17298.760,18424.440,26386.910,9569.310,0.266
NR,PUNJAB,2008,38721.150,0.260,20168.570,18552.320,29886.860,8834.290,0.228
NR,PUNJAB,2009,37995.380,10.230,17138.480,20846.670,29224.630,8770.750,0.231
NR,PUNJAB,2010,40847.300,20.120,18393.030,22434.150,31291.490,9555.810,0.234
NR,PUNJAB,2011,42931.920,46.550,21443.110,21442.260,32155.380,10776.540,0.251
NR,PUNJAB,2012,44056.700,48.430,22899.550,21108.720,33888.380,10168.320,0.231
NR,PUNJAB,2013,44952.710,62.610,24827.460,20062.640,35825.190,9127.520,0.203
NR,PUNJAB,2014,47343.630,25.040,28428.340,18890.250,37556.790,9786.840,0.207
NR,PUNJAB,2015,48295.470,17.230,26979.880,21298.360,39383.820,8911.650,0.185
NR,PUNJAB,2017,53471.530,9.560,27639.580,25822.390,44050.220,9421.310,0.176
NR,PUNJAB,2018,57017.230,9.560,26340.790,30666.890,47027.460,9989.770,0.180
NR,PUNJAB,2019,58780.010,24.880,25912.120,32843.010,50119.800,8660.210,0.150
NR,PUNJAB,2016,50142.010,13.970,28255.410,21872.630,40843.000,9299.010,0.190
NR,UTTARAKHAND,2006,5460.680,36.620,1885.880,3538.180,3497.200,1963.480,0.360
NR,UTTARAKHAND,2007,5930.590,9.890,2572.690,3348.010,3885.920,2044.670,0.345
NR,UTTARAKHAND,2008,7360.690,6.480,3445.550,3908.660,4736.110,2624.580,0.357
NR,UTTARAKHAND,2009,8136.500,0.000,3338.310,4798.190,4736.110,3400.390,0.418
NR,UTTARAKHAND,2010,8362.460,0.000,3368.580,4993.880,6249.210,2113.250,0.253
NR,UTTARAKHAND,2011,10352.250,0.450,4602.640,5749.160,7249.950,3102.300,0.300
NR,UTTARAKHAND,2012,11569.233,0.000,5283.641,6285.592,8252.720,3316.513,0.287
NR,UTTARAKHAND,2013,11734.020,0.000,5971.650,5762.370,8574.110,3159.910,0.269
NR,UTTARAKHAND,2014,12275.280,0.000,7234.300,5040.980,9596.890,2678.390,0.218
NR,UTTARAKHAND,2015,13223.750,0.000,7814.470,5409.280,9980.110,3243.640,0.245
NR,UTTARAKHAND,2017,14962.190,0.000,7566.480,7395.710,11161.880,3800.310,0.254
NR,UTTARAKHAND,2018,14946.930,0.000,6582.080,8364.850,11210.300,3736.630,0.250
NR,UTTARAKHAND,2019,14843.280,0.000,7661.260,7182.020,11543.340,3299.940,0.220
NR,UTTARAKHAND,2016,13841.740,0.000,7903.370,5938.370,10298.140,3543.600,0.260
WR,GOA,2006,2665.500,0.000,2325.200,340.300,2141.400,524.100,0.197
WR,GOA,2007,2938.380,0.000,2593.000,345.380,2324.370,614.010,0.209
WR,GOA,2008,3232.920,65.250,2742.890,424.780,2548.110,684.810,0.212
WR,GOA,2009,3157.510,0.000,2748.450,409.060,2616.980,540.530,0.171
WR,GOA,2010,3201.510,0.000,2811.460,390.050,2657.630,543.880,0.170
WR,GOA,2011,3281.420,0.020,2951.800,329.600,2780.200,501.220,0.153
WR,GOA,2012,3394.931,0.000,3072.991,321.940,2973.030,421.901,0.124
WR,GOA,2013,3460.110,0.100,3348.100,111.910,2998.210,461.900,0.133
WR,GOA,2014,3532.790,0.000,3477.490,55.300,3085.200,447.590,0.127
WR,GOA,2015,3706.100,0.000,3693.730,12.370,3151.200,554.900,0.150
WR,GOA,2017,4236.560,177.340,4059.220,0.000,3475.370,761.190,0.180
WR,GOA,2018,4369.740,179.060,4190.680,0.000,3617.920,751.820,0.170
WR,GOA,2019,4520.770,206.000,4314.770,0.000,3787.130,733.640,0.160
WR,GOA,2016,4137.760,203.000,3934.750,0.000,3391.200,746.560,0.180
NER,MANIPUR,2006,509.740,0.000,507.720,2.020,188.000,321.740,0.631
NER,MANIPUR,2007,467.230,0.000,461.410,5.820,217.380,249.850,0.535
NER,MANIPUR,2008,541.640,0.000,520.560,21.080,197.400,344.240,0.636
NER,MANIPUR,2009,538.210,0.000,519.400,18.810,197.120,341.090,0.634
NER,MANIPUR,2010,486.610,0.000,466.600,20.010,220.650,265.960,0.547
NER,MANIPUR,2011,551.850,0.000,535.590,16.260,271.100,280.750,0.509
NER,MANIPUR,2012,545.520,0.000,529.400,16.120,324.830,220.690,0.405
NER,MANIPUR,2013,584.210,0.000,567.990,16.220,379.010,205.200,0.351
NER,MANIPUR,2014,647.180,0.000,631.920,15.260,397.960,249.220,0.385
NER,MANIPUR,2015,787.610,0.000,772.350,15.260,465.100,322.510,0.409
NER,MANIPUR,2017,806.410,0.000,806.400,0.010,511.920,294.490,0.365
NER,MANIPUR,2018,886.870,0.000,886.720,0.150,564.000,322.870,0.360
NER,MANIPUR,2019,951.690,0.000,949.810,1.880,612.780,338.910,0.360
NER,MANIPUR,2016,855.120,0.000,855.120,0.000,474.980,380.140,0.440
NER,MIZORAM,2006,221.210,0.000,210.100,11.110,134.510,86.700,0.392
NER,MIZORAM,2007,234.780,0.000,223.000,11.780,145.150,89.630,0.382
NER,MIZORAM,2008,324.100,0.000,259.410,64.690,179.440,144.660,0.446
NER,MIZORAM,2009,349.870,0.000,288.660,61.210,165.500,184.370,0.527
NER,MIZORAM,2010,414.090,0.000,311.460,102.630,191.330,222.760,0.538
NER,MIZORAM,2011,436.900,0.000,334.960,101.940,237.560,199.340,0.456
NER,MIZORAM,2012,482.219,0.000,382.909,99.310,252.050,230.169,0.477
NER,MIZORAM,2013,460.670,0.000,360.030,100.640,286.600,174.070,0.378
NER,MIZORAM,2014,517.930,0.000,416.910,101.020,302.790,215.140,0.415
NER,MIZORAM,2015,564.700,0.000,463.400,101.300,327.220,237.480,0.421
NER,MIZORAM,2017,547.820,0.000,498.990,48.830,353.540,194.280,0.355
NER,MIZORAM,2018,522.310,0.000,468.480,53.830,395.770,126.540,0.240
NER,MIZORAM,2019,545.220,0.000,505.980,39.240,407.760,137.460,0.250
NER,MIZORAM,2016,529.810,0.000,502.720,27.090,338.500,191.310,0.360
NER,TRIPURA,2006,629.480,0.000,140.440,489.040,370.690,258.790,0.411
NER,TRIPURA,2007,604.710,0.000,55.300,549.410,394.590,210.120,0.347
NER,TRIPURA,2008,695.620,0.000,27.300,668.320,397.810,297.810,0.428
NER,TRIPURA,2009,702.030,0.000,49.160,652.870,450.840,251.190,0.358
NER,TRIPURA,2010,767.150,0.000,101.450,665.700,494.460,272.690,0.355
NER,TRIPURA,2011,783.070,0.000,78.570,704.500,568.840,214.230,0.274
NER,TRIPURA,2012,909.164,0.000,95.664,813.500,553.970,355.194,0.391
NER,TRIPURA,2013,1056.700,0.000,241.990,814.710,721.390,335.310,0.317
NER,TRIPURA,2014,1117.300,0.000,351.750,765.550,722.280,395.020,0.354
NER,TRIPURA,2015,1227.000,0.000,454.440,772.560,786.130,440.870,0.359
NER,TRIPURA,2017,1285.590,0.000,639.900,645.690,895.270,390.320,0.304
NER,TRIPURA,2018,1323.620,0.000,699.050,624.560,928.010,395.600,0.300
NER,TRIPURA,2019,1303.760,0.000,679.440,624.320,955.690,348.070,0.270
NER,TRIPURA,2016,1170.940,0.000,420.650,750.290,813.060,357.880,0.310
ER,A & N ISLANDS,2006,153.640,0.000,0.000,153.640,116.270,37.370,0.243
ER,A & N ISLANDS,2007,177.680,0.000,0.000,177.680,136.630,41.050,0.231
ER,A & N ISLANDS,2008,204.890,0.000,0.000,204.890,149.850,55.040,0.269
ER,A & N ISLANDS,2009,211.610,0.000,0.000,211.610,160.480,51.130,0.242
ER,A & N ISLANDS,2010,220.450,0.000,0.000,220.450,176.890,43.560,0.198
ER,A & N ISLANDS,2011,235.750,0.000,0.000,235.750,187.000,48.750,0.207
ER,A & N ISLANDS,2012,242.680,0.000,0.000,242.680,198.620,44.060,0.182
ER,A & N ISLANDS,2013,252.070,0.000,0.000,252.070,206.350,45.720,0.181
ER,A & N ISLANDS,2014,268.990,0.000,0.000,268.990,215.770,53.220,0.198
ER,A & N ISLANDS,2015,288.640,0.000,0.000,288.640,229.460,59.180,0.205
ER,A & N ISLANDS,2017,297.800,0.000,0.000,297.800,265.830,31.970,0.107
ER,A & N ISLANDS,2018,303.240,0.000,0.000,303.240,265.680,37.560,0.120
ER,A & N ISLANDS,2019,285.650,0.000,0.000,285.650,254.680,30.980,0.110
ER,A & N ISLANDS,2016,283.260,0.000,0.000,283.260,242.270,40.990,0.140
WR,DIU & DAMAN,2006,1387.480,0.000,1387.480,0.000,1088.000,299.480,0.216
WR,DIU & DAMAN,2007,1496.880,0.000,1496.880,0.000,1166.230,330.650,0.221
WR,DIU & DAMAN,2008,1674.810,0.000,1674.810,0.000,1284.820,389.990,0.233
WR,DIU & DAMAN,2009,1658.020,0.000,1658.020,0.000,1325.350,332.670,0.201
WR,DIU & DAMAN,2010,1753.710,0.000,1753.710,0.000,1452.250,301.460,0.172
WR,DIU & DAMAN,2011,1963.430,0.000,1963.430,0.000,1632.950,330.480,0.168
WR,DIU & DAMAN,2012,2071.458,0.000,2071.458,0.000,1771.000,300.458,0.145
WR,DIU & DAMAN,2013,2149.680,0.000,2149.680,0.000,1814.170,335.510,0.156
WR,DIU & DAMAN,2014,2108.820,0.000,2108.820,0.000,1818.540,290.280,0.138
WR,DIU & DAMAN,2015,2266.490,0.000,2266.490,0.000,1594.960,671.530,0.296
WR,DIU & DAMAN,2017,2583.440,0.000,2569.010,14.430,1737.090,846.350,0.328
WR,DIU & DAMAN,2018,2724.360,0.000,2705.830,18.530,2377.370,346.990,0.130
WR,DIU & DAMAN,2019,2775.970,0.000,2757.030,18.940,2431.440,344.530,0.120
WR,DIU & DAMAN,2016,2482.590,0.000,2478.340,4.250,1691.980,790.610,0.320
SR,LAKSHADWEEP,2006,25.390,0.000,0.000,25.390,22.550,2.840,0.112
SR,LAKSHADWEEP,2007,27.740,0.000,0.000,27.740,24.170,3.570,0.129
SR,LAKSHADWEEP,2008,29.470,0.000,0.000,29.470,24.150,5.320,0.181
SR,LAKSHADWEEP,2009,31.280,0.000,0.000,31.280,23.500,7.780,0.249
SR,LAKSHADWEEP,2010,28.820,0.000,0.000,28.820,25.460,3.360,0.117
SR,LAKSHADWEEP,2011,39.730,0.000,0.000,39.730,29.540,10.190,0.256
SR,LAKSHADWEEP,2012,43.260,0.000,0.000,43.260,33.540,9.720,0.225
SR,LAKSHADWEEP,2013,46.560,0.000,0.000,46.560,37.900,8.660,0.186
SR,LAKSHADWEEP,2014,46.200,0.000,0.000,46.200,41.030,5.170,0.112
SR,LAKSHADWEEP,2015,46.310,0.000,0.000,46.310,44.630,1.680,0.036
SR,LAKSHADWEEP,2017,51.170,0.000,0.000,51.170,47.590,3.580,0.070
SR,LAKSHADWEEP,2018,50.290,0.000,0.000,50.290,48.500,1.790,0.040
SR,LAKSHADWEEP,2019,50.030,0.000,0.000,50.030,48.910,1.120,0.020
SR,LAKSHADWEEP,2016,50.560,0.000,0.000,50.560,45.600,4.960,0.100
NR,CHANDIGARH,2006,1438.490,0.000,1438.490,0.000,983.370,455.120,0.316
NR,CHANDIGARH,2007,1421.490,0.000,1421.490,0.000,1064.340,357.150,0.251
NR,CHANDIGARH,2008,1518.060,0.000,1518.060,0.000,1157.180,360.880,0.238
NR,CHANDIGARH,2009,1472.620,0.000,1472.620,0.000,1143.310,329.310,0.224
NR,CHANDIGARH,2010,1611.190,0.000,1611.190,0.000,1237.580,373.610,0.232
NR,CHANDIGARH,2011,1679.760,0.000,1679.760,0.000,1339.620,340.140,0.202
NR,CHANDIGARH,2012,1705.152,0.000,1705.152,0.000,1301.480,403.672,0.237
NR,CHANDIGARH,2013,1692.030,0.000,1692.030,0.000,1365.050,326.980,0.193
NR,CHANDIGARH,2014,1754.870,0.000,1751.370,3.500,1419.270,335.600,0.191
NR,CHANDIGARH,2015,1819.100,0.000,1811.220,7.880,1471.660,347.440,0.191
NR,CHANDIGARH,2017,1938.360,0.000,1925.200,13.160,1589.020,349.350,0.180
NR,CHANDIGARH,2018,1818.400,0.000,1810.530,7.870,1573.880,244.520,0.130
NR,CHANDIGARH,2019,1851.920,0.000,1838.410,13.510,1535.450,316.470,0.170
NR,CHANDIGARH,2016,1842.290,0.000,1838.890,3.400,1496.980,345.310,0.190
WR,DADRA & NAGAR HAVELI,2006,2656.770,0.000,2656.770,0.000,2127.000,529.770,0.199
WR,DADRA & NAGAR HAVELI,2007,3061.470,0.000,3061.470,0.000,2718.000,343.470,0.112
WR,DADRA & NAGAR HAVELI,2008,3572.330,0.000,3572.330,0.000,2925.800,646.530,0.181
WR,DADRA & NAGAR HAVELI,2009,3636.260,0.000,3636.260,0.000,3070.000,566.260,0.156
WR,DADRA & NAGAR HAVELI,2010,3750.030,0.000,3750.030,0.000,3329.740,420.290,0.112
WR,DADRA & NAGAR HAVELI,2011,4346.770,0.000,4346.770,0.000,3906.000,440.770,0.101
WR,DADRA & NAGAR HAVELI,2012,4706.961,0.000,4706.961,0.000,4139.000,567.961,0.121
WR,DADRA & NAGAR HAVELI,2013,5097.310,0.000,5097.310,0.000,4594.840,502.470,0.099
WR,DADRA & NAGAR HAVELI,2014,5674.590,0.000,5674.590,0.000,5189.510,485.080,0.085
WR,DADRA & NAGAR HAVELI,2015,5758.790,0.000,5758.790,0.000,5163.630,595.160,0.103
WR,DADRA & NAGAR HAVELI,2017,6435.180,0.000,6433.870,1.310,5737.000,698.180,0.108
WR,DADRA & NAGAR HAVELI,2018,6592.780,0.000,6587.550,5.230,5672.040,920.740,0.140
WR,DADRA & NAGAR HAVELI,2019,6789.970,0.000,6784.210,5.760,6065.980,723.990,0.110
WR,DADRA & NAGAR HAVELI,2016,6168.600,0.000,6168.600,0.000,5548.240,620.360,0.100
NR,LADAKH,2006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2008,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2009,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2010,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2011,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2012,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2014,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2017,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NR,LADAKH,2019,0.000,0.000,0.000,0.000,0.000,0.000,0.000
