2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Total!!Estimate!!LABOR FORCE STATUS!!In the labor force,Estimate!!Total!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Estimate!!Total!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Estimate!!Total!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force
Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Total!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Total MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Total MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Total!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force
"White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 15 to 19 years","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years"
"White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 15 to 19 years","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years"
"White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school"
"White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school"
"White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public"
"White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public"
"White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private"
"White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private"
"White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school"
"White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","White alone, not Hispanic or Latino!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school"
"White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male"
"White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male"
"White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married"
"White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married"
"White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female"
"White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female"
"White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married"
"White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married"
"White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","Estimate!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months"
"White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","White alone, not Hispanic or Latino!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months","Margin of Error!!White alone, not Hispanic or Latino!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months"
"White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households"
"White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households","Margin of Error!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households"
"White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households"
"White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households","Margin of Error!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households"
"White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
