,,,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,
Otuke,Census Population,Persons,,,43457,,,,,,,,,,,62018,,,,,,,,,83300,86000,88800,105617,107900,112500
Oyam,Census Population,Persons,,,177053,,,,,,,,,,,268415,,,,,,,,,366200,378900,391900,388011,392700,403800
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,
Pader,Census Population,Persons,,,80938,,,,,,,,,,,142320,,,,,,,,,221000,231700,243200,183723,180600,183500
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Yumbe,Census Population,Persons,,,99794,,,,,,,,,,,251784,,,,,,,,,504500,545500,589500,485582,506900,534300
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,
Zombo,Census Population,Persons,,,131315,,,,,,,,,,,169048,,,,,,,,,214200,219800,225300,240368,245700,252400
Western,Census Population,Persons,,,4547687,,,,,,,,,,,6298075,,,,,,,,,8230000,8487200,8750400,8874862,9087800,9348200
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,
Buliisa,Census Population,Persons,,,47709,,,,,,,,,,,63363,,,,,,,,,78900,80800,82800,113161,117700,123300
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,
Buhweju,Census Population,Persons,,,55534,,,,,,,,,,,82881,,,,,,,,,99400,101300,103200,120720,123700,127500
Bundibugyo,Census Population,Persons,,,92311,,,,,,,,,,,158909,,,,,,,,,248900,261700,275100,224387,229600,235800
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Bushenyi,Census Population,Persons,,,160982,,,,,,,,,,,205671,,,,,,,,,246400,251400,256500,234440,236200,238300
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Hoima,Census Population,Persons,,,197851,,,,,,,,,,,343618,,,,,,,,,523400,548800,575100,572986,593000,617600
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,
Ibanda,Census Population,Persons,,,148029,,,,,,,,,,,198635,,,,,,,,,249200,255500,261900,249625,253300,257600
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,
Isingiro,Census Population,Persons,,,226365,,,,,,,,,,,316025,,,,,,,,,408400,420200,432100,486360,500600,517800
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,
Kabale,Census Population,Persons,,,417218,,,,,,,,,,,458318,,,,,,,,,494500,498300,502100,528231,532700,537900
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,
Kabarole,Census Population,Persons,,,299573,,,,,,,,,,,356914,,,,,,,,,409400,415600,421700,469236,477600,487600
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,
Kamwenge,Census Population,Persons,,,201654,,,,,,,,,,,263730,,,,,,,,,324400,332000,339500,414454,427200,442600
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,
Kanungu,Census Population,Persons,,,160708,,,,,,,,,,,204732,,,,,,,,,246900,252100,257200,252144,255500,259300
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,
Kasese,Census Population,Persons,,,343601,,,,,,,,,,,523033,,,,,,,,,721400,747800,774800,694992,707900,723400
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,
Kibaale,Census Population,Persons,,,220261,,,,,,,,,,,405882,,,,,,,,,646500,681300,717500,785088,821000,865800
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,
Kiruhura,Census Population,Persons,,,140946,,,,,,,,,,,212219,,,,,,,,,290400,300800,311300,328077,337700,349500
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,
Kiryandongo,Census Population,Persons,,,83405,,,,,,,,,,,187707,,,,,,,,,301000,317500,334500,266197,272400,279900
Kisoro,Census Population,Persons,,,186681,,,,,,,,,,,220312,,,,,,,,,250800,254300,257800,281705,286100,291500
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,
Kyenjojo,Census Population,Persons,,,182026,,,,,,,,,,,266246,,,,,,,,,369700,383600,397700,422204,435400,451600
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,
Kyegegwa,Census Population,Persons,,,63547,,,,,,,,,,,110925,,,,,,,,,154000,159800,165800,281637,300200,323900
Masindi,Census Population,Persons,,,129682,,,,,,,,,,,208420,,,,,,,,,334200,352400,371600,291113,297500,305400
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,
Mbarara,Census Population,Persons,,,267457,,,,,,,,,,,361477,,,,,,,,,436400,445600,454800,472629,480800,490700
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,
Mitooma,Census Population,Persons,,,134251,,,,,,,,,,,160802,,,,,,,,,192700,196300,200500,183444,184900,186500
Ntoroko,Census Population,Persons,,,24255,,,,,,,,,,,51069,,,,,,,,,79900,84100,88400,67005,68200,69600
Ntungamo,Census Population,Persons,,,305199,,,,,,,,,,,379987,,,,,,,,,469000,480100,491200,483841,491300,500400
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,
Rubirizi,Census Population,Persons,,,75361,,,,,,,,,,,101804,,,,,,,,,121900,124400,126900,129149,131100,133500
Rukungiri,Census Population,Persons,,,230072,,,,,,,,,,,275162,,,,,,,,,316400,321300,326000,314694,317100,320100
,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,
Sheema,Census Population,Persons,,,153009,,,,,,,,,,,180234,,,,,,,,,215900,220200,224400,207343,209100,211100
