observationDate,variableMeasured
2005,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2020,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2023,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2024,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2000,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2001,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2002,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2003,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2004,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2006,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2007,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2008,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2009,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2010,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2011,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2012,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2013,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2014,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2015,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2016,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2017,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2018,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2019,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2021,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2022,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2005,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2020,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2023,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2024,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2000,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2001,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2002,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2003,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2004,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2006,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2007,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2008,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2009,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2010,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2011,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2012,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2013,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2014,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2015,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2016,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2017,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2018,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2019,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2021,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2022,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2005,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2020,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2023,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2024,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2000,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2001,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2002,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2003,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2004,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female
2006,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2007,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2008,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2009,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2010,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2011,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2012,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2013,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2014,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2015,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2016,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2017,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2018,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2019,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2021,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2022,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2005,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2020,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2023,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2024,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2000,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2001,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2002,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2003,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2004,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female
2006,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2007,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2008,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2009,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2010,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2011,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2012,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2013,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2014,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2015,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2016,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2017,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2018,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2019,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2021,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2022,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2005,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2020,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2023,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2024,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2000,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2001,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2002,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2003,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2004,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2006,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2007,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2008,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2009,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2010,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2011,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2012,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2013,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2014,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2015,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2016,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2017,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2018,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2019,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2021,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2022,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2005,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2020,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2023,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2024,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2000,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2001,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2002,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2003,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2004,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female
2006,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2020,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2020,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
