GeoId,CACountyName,CALicensedHealthcareFacilityBedFACID,CALicensedHealthcareFacilityName,CALicensedHealthcareFacilityType,CALicensedHealthcareFacilityBedType,CALicensedHealthcareFacilityBedCapacity
geoId/06025,IMPERIAL,ELMS/090000040,EL CENTRO REGIONAL MEDICAL CENTER,GeneralAcuteCareHospital,INTENSIVE CARE,20
geoId/06025,IMPERIAL,ELMS/090000040,EL CENTRO REGIONAL MEDICAL CENTER,GeneralAcuteCareHospital,PERINATAL,19
geoId/06025,IMPERIAL,ELMS/090000040,EL CENTRO REGIONAL MEDICAL CENTER,GeneralAcuteCareHospital,PEDIATRIC,12
geoId/06025,IMPERIAL,ELMS/090000040,EL CENTRO REGIONAL MEDICAL CENTER,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,110
geoId/06073,SAN DIEGO,ELMS/090000041,COMMUNITY CARE CENTER,SkilledNursingFacility,SKILLED NURSING,119
geoId/06073,SAN DIEGO,ELMS/090000042,WINDSOR GARDENS CONVALESCENT CENTER OF SAN DIEGO,SkilledNursingFacility,SKILLED NURSING,98
geoId/06073,SAN DIEGO,ELMS/090000044,BELLA VISTA HEALTH CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06073,SAN DIEGO,ELMS/090000046,UNIVERSITY CARE CENTER,SkilledNursingFacility,SKILLED NURSING,87
geoId/06073,SAN DIEGO,ELMS/090000048,KINDRED HOSPITAL - SAN DIEGO,GeneralAcuteCareHospital,INTENSIVE CARE,8
geoId/06073,SAN DIEGO,ELMS/090000048,KINDRED HOSPITAL - SAN DIEGO,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,62
geoId/06073,SAN DIEGO,ELMS/090000051,BRIGHTON PLACE SAN DIEGO,SkilledNursingFacility,SKILLED NURSING,99
geoId/06073,SAN DIEGO,ELMS/090000054,FREDERICKA MANOR CARE CENTER,SkilledNursingFacility,SKILLED NURSING,174
geoId/06073,SAN DIEGO,ELMS/090000057,LA MESA HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,94
geoId/06073,SAN DIEGO,ELMS/090000058,FRIENDSHIP MANOR NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,104
geoId/06073,SAN DIEGO,ELMS/090000061,GOLDEN HILL SUBACUTE & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06073,SAN DIEGO,ELMS/090000063,SAN DIEGO POST-ACUTE CENTER,SkilledNursingFacility,SKILLED NURSING,240
geoId/06073,SAN DIEGO,ELMS/090000064,HILLCREST MANOR SANITARIUM,SkilledNursingFacility,SKILLED NURSING,60
geoId/06073,SAN DIEGO,ELMS/090000065,BALBOA NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,194
geoId/06025,IMPERIAL,ELMS/090000067,IMPERIAL MANOR,SkilledNursingFacility,SKILLED NURSING,31
geoId/06073,SAN DIEGO,ELMS/090000071,LEMON GROVE CARE & REHABILATION CENTER,SkilledNursingFacility,SKILLED NURSING,158
geoId/06073,SAN DIEGO,ELMS/090000074,COTTONWOOD CANYON HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,96
geoId/06073,SAN DIEGO,ELMS/090000076,"JACOB HEALTH CARE CENTER, LP",SkilledNursingFacility,SKILLED NURSING,128
geoId/06025,IMPERIAL,ELMS/090000078,ARC IMPERIAL VALLEY #1,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06025,IMPERIAL,ELMS/090000080,ARC IMPERIAL VALLEY #2,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06025,IMPERIAL,ELMS/090000081,WILDFLOWER,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000083,BRIGHTON PLACE SPRING VALLEY,SkilledNursingFacility,SKILLED NURSING,75
geoId/06073,SAN DIEGO,ELMS/090000084,ST. PAUL'S HEALTH CARE CENTER,SkilledNursingFacility,SKILLED NURSING,59
geoId/06073,SAN DIEGO,ELMS/090000085,CREEKFORD,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000086,"GRANITE HILLS HEALTHCARE & WELLNESS CENTRE, LLC",SkilledNursingFacility,SKILLED NURSING,99
geoId/06025,IMPERIAL,ELMS/090000092,VALLEY CONVALESCENT CENTER,SkilledNursingFacility,SKILLED NURSING,123
geoId/06073,SAN DIEGO,ELMS/090000093,GRACE HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000097,VERBECK HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000101,HOME OF GUIDING HANDS LOS RANCHITOS WAY,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000102,AMAYA SPRINGS HEALTH CARE CENTER,SkilledNursingFacility,SKILLED NURSING,50
geoId/06073,SAN DIEGO,ELMS/090000104,VICTORIA POST ACUTE CARE,SkilledNursingFacility,SKILLED NURSING,120
geoId/06073,SAN DIEGO,ELMS/090000105,SOMERSET SUBACUTE AND CARE,SkilledNursingFacility,SKILLED NURSING,65
geoId/06073,SAN DIEGO,ELMS/090000107,SOUTH BAY POST ACUTE CARE,SkilledNursingFacility,SKILLED NURSING,99
geoId/06073,SAN DIEGO,ELMS/090000108,GROSSMONT HEALTHCARE HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000111,THALHEIMER - ISAAC HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000113,RIO DRIVE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000114,JACK CLOSE HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000118,HILLDALE HABILITATION CENTER,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD,57
geoId/06073,SAN DIEGO,ELMS/090000119,MOUNT VERNON GROUP HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000120,ANZA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000123,LA COSTA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000128,LETICIA GROUP HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000134,MOUNTAIN SHADOWS COMMUNITY HOMES - OLIVE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,15
geoId/06073,SAN DIEGO,ELMS/090000136,MOUNTAIN SHADOWS COMMUNITY HOMES - PINE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000138,HELIX,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000139,SWEDELIUS GROUP HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000140,PRYOR STREET GROUP HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000145,PARADISE VALLEY HOSPITAL,GeneralAcuteCareHospital,CORONARY CARE,5
geoId/06073,SAN DIEGO,ELMS/090000145,PARADISE VALLEY HOSPITAL,GeneralAcuteCareHospital,INTENSIVE CARE,10
geoId/06073,SAN DIEGO,ELMS/090000145,PARADISE VALLEY HOSPITAL,GeneralAcuteCareHospital,PERINATAL,23
geoId/06073,SAN DIEGO,ELMS/090000145,PARADISE VALLEY HOSPITAL,GeneralAcuteCareHospital,REHABILITATION,22
geoId/06073,SAN DIEGO,ELMS/090000145,PARADISE VALLEY HOSPITAL,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,128
geoId/06025,IMPERIAL,ELMS/090000146,PIONEERS MEMORIAL HEALTHCARE DISTRICT,GeneralAcuteCareHospital,INTENSIVE CARE,8
geoId/06025,IMPERIAL,ELMS/090000146,PIONEERS MEMORIAL HEALTHCARE DISTRICT,GeneralAcuteCareHospital,INTENSIVE CARE NEWBORN NURSERY,7
geoId/06025,IMPERIAL,ELMS/090000146,PIONEERS MEMORIAL HEALTHCARE DISTRICT,GeneralAcuteCareHospital,PERINATAL,14
geoId/06025,IMPERIAL,ELMS/090000146,PIONEERS MEMORIAL HEALTHCARE DISTRICT,GeneralAcuteCareHospital,PEDIATRIC,12
geoId/06025,IMPERIAL,ELMS/090000146,PIONEERS MEMORIAL HEALTHCARE DISTRICT,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,66
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,ACUTE RESPIRATORY CARE,7
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,BURN,8
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,CORONARY CARE,13
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,INTENSIVE CARE,32
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,INTENSIVE CARE NEWBORN NURSERY,40
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,PERINATAL,40
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,RENAL TRANSPLANT,8
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,201
geoId/06073,SAN DIEGO,ELMS/090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GeneralAcuteCareHospital,ACUTE PSYCHIATRIC CARE,32
geoId/06073,SAN DIEGO,ELMS/090000159,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,AcutePsychiatricHospital,ACUTE PSYCHIATRIC CARE,109
geoId/06073,SAN DIEGO,ELMS/090000218,SANTANA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000219,VIA RIO HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000220,VISTA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000277,MOUNTAIN SHADOWS COMMUNITY HOMES - ASH,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000278,MOUNTAIN SHADOWS COMMUNITY HOMES - BIRCH,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000279,MOUNTAIN SHADOWS COMMUNITY HOMES - CEDAR,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000280,MOUNTAIN SHADOWS COMMUNITY HOMES- CREPE MYRTLE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000281,MOUNTAIN SHADOWS COMMUNITY HOMES - JACARANDA,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000282,MOUNTAIN SHADOWS COMMUNITY HOMES - PALM,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06073,SAN DIEGO,ELMS/090000310,WINDMILL VIEW,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000311,MOUNTAIN SHADOWS COMMUNITY HOMES - SPRUCE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000312,MOUNTAIN SHADOWS COMMUNITY HOMES - LEMON,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000313,MOUNTAIN SHADOWS COMMUNITY HOMES - PLUM,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000314,MOUNTAIN SHADOWS COMMUNITY  HOMES - WILLOW,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000315,MOUNTAIN SHADOWS COMMUNITY HOMES - TANGELO,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000316,MOUNTAIN SHADOWS COMMUNITY HOMES - APPLE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000317,MOUNTAIN SHADOWS COMMUNITY HOMES - MAPLE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000318,MOUNTAIN SHADOWS COMMUNITY HOMES - ORANGE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000324,VILLA CORONADO D/P SNF,SkilledNursingFacility,SKILLED NURSING,122
geoId/06073,SAN DIEGO,ELMS/090000338,PARADISE VALLEY HOSPITAL D/P APH,AcutePsychiatricHospital,ACUTE PSYCHIATRIC CARE,39
geoId/06073,SAN DIEGO,ELMS/090000347,SCRIPPS MERCY HOSPITAL D/P APH,AcutePsychiatricHospital,ACUTE PSYCHIATRIC CARE,36
geoId/06073,SAN DIEGO,ELMS/090000416,SHARP CHULA VISTA MEDICAL CENTER D/P SNF,SkilledNursingFacility,SKILLED NURSING,100
geoId/06073,SAN DIEGO,ELMS/090000475,CASTLE MANOR NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06073,SAN DIEGO,ELMS/090000485,WASHINGTON STREET GROUP HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000707,HELMER GROUP HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000727,ANJA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000728,BISBY LAKE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000729,CORTE MARIA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000745,MONTGOMERY HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000771,ORIENTE HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000839,ALVARADO HOSPITAL MEDICAL CENTER,GeneralAcuteCareHospital,REHABILITATION,50
geoId/06073,SAN DIEGO,ELMS/090000839,ALVARADO HOSPITAL MEDICAL CENTER,GeneralAcuteCareHospital,ACUTE PSYCHIATRIC CARE,30
geoId/06073,SAN DIEGO,ELMS/090000969,EHLY HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000971,AQUILLA,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000977,VIBRA HOSPITAL OF SAN DIEGO,GeneralAcuteCareHospital,INTENSIVE CARE,6
geoId/06073,SAN DIEGO,ELMS/090000977,VIBRA HOSPITAL OF SAN DIEGO,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,104
geoId/06073,SAN DIEGO,ELMS/090000993,MARSHALL HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090000996,FRIENDSHIP VILLA AMISTAD,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06073,SAN DIEGO,ELMS/090001019,CARLO HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001030,CASTILLO VERDE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001032,GREENCASTLE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,GeneralAcuteCareHospital,CORONARY CARE,12
geoId/06073,SAN DIEGO,ELMS/090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,GeneralAcuteCareHospital,INTENSIVE CARE,48
geoId/06073,SAN DIEGO,ELMS/090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,GeneralAcuteCareHospital,INTENSIVE CARE NEWBORN NURSERY,52
geoId/06073,SAN DIEGO,ELMS/090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,GeneralAcuteCareHospital,PERINATAL,49
geoId/06073,SAN DIEGO,ELMS/090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,GeneralAcuteCareHospital,UNSPECIFIED GENERAL ACUTE CARE,257
geoId/06073,SAN DIEGO,ELMS/090001239,VIEW POINTE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06073,SAN DIEGO,ELMS/090001259,"PROMISING FUTURES, INC. - AGAPE",IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001261,"PROMISING FUTURES, INC. - HILLSIDE",IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001316,MILLER HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001336,VIA MINDANAO HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001338,MARBLEHEAD HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001340,MOUNTAIN SHADOWS COMMUNITY HOMES - OAK,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001342,MOUNTAIN SHADOWS COMMUNITY HOMES - ELM,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001377,WILLOW SPRINGS,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06073,SAN DIEGO,ELMS/090001407,"PROMISING FUTURES, INC. - HOLLY OAKS",IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001412,GRAND FORK,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001428,GERMON HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001469,SHASTA HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001471,KASEY'S HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001512,RAY HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001556,REGINAS COURT,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001561,PARADISE VALLEY HOSP D/P APH BAYVIEW BEHAVIORAL HEALTH,AcutePsychiatricHospital,CHEMICAL DEPENDENCY RECOVERY,18
geoId/06073,SAN DIEGO,ELMS/090001561,PARADISE VALLEY HOSP D/P APH BAYVIEW BEHAVIORAL HEALTH,AcutePsychiatricHospital,ACUTE PSYCHIATRIC CARE,46
geoId/06073,SAN DIEGO,ELMS/090001562,LAKE SHORE DRIVE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001564,MILTON MANOR DRIVE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001571,PINE DRIVE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001576,CUMBRE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001578,VENTANA WAY,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001579,PENASCO ROAD,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001580,BERMUDA LANE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001592,AMBER HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06073,SAN DIEGO,ELMS/090001599,MCNEALY HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06067,SACRAMENTO,ELMS/100000001,ASBURY PARK NURSING AND REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,139
geoId/06067,SACRAMENTO,ELMS/100000002,UNIVERSITY POST-ACUTE REHAB,SkilledNursingFacility,SKILLED NURSING,59
geoId/06077,SAN JOAQUIN,ELMS/100000003,FAIRMONT REHABILITATION HOSPITAL,SkilledNursingFacility,SKILLED NURSING,59
geoId/06077,SAN JOAQUIN,ELMS/100000010,MANTECA CARE AND REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,176
geoId/06077,SAN JOAQUIN,ELMS/100000017,BETHANY HOME SOCIETY SAN JOAQUIN COUNTY,SkilledNursingFacility,SKILLED NURSING,92
geoId/06067,SACRAMENTO,ELMS/100000021,CASA COLOMA HEALTH CARE CENTER,SkilledNursingFacility,SKILLED NURSING,138
geoId/06077,SAN JOAQUIN,ELMS/100000022,ARBOR REHABILITATION & NURSING CENTER,SkilledNursingFacility,SKILLED NURSING,149
geoId/06067,SACRAMENTO,ELMS/100000025,ARDEN POST ACUTE REHAB,SkilledNursingFacility,SKILLED NURSING,177
geoId/06099,STANISLAUS,ELMS/100000026,CENTRAL VALLEY POST ACUTE - MODESTO,SkilledNursingFacility,SKILLED NURSING,70
geoId/06113,YOLO,ELMS/100000027,RIVER BEND NURSING CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06077,SAN JOAQUIN,ELMS/100000029,LODI CREEK POST ACUTE,SkilledNursingFacility,SKILLED NURSING,86
geoId/06113,YOLO,ELMS/100000030,ALDERSON CONVALESCENT HOSPITAL,SkilledNursingFacility,SKILLED NURSING,140
geoId/06099,STANISLAUS,ELMS/100000031,CASA DE MODESTO,SkilledNursingFacility,SKILLED NURSING,59
geoId/06077,SAN JOAQUIN,ELMS/100000032,DYCORA TRANSITIONAL HEALTH - QUAIL LAKE,SkilledNursingFacility,SKILLED NURSING,99
geoId/06077,SAN JOAQUIN,ELMS/100000035,CRESTWOOD MANOR,SkilledNursingFacility,SKILLED NURSING,190
geoId/06099,STANISLAUS,ELMS/100000036,CRESTWOOD MANOR,SkilledNursingFacility,SKILLED NURSING,194
geoId/06099,STANISLAUS,ELMS/100000038,WINDSOR POST-ACUTE HEALTHCARE CENTER OF MODESTO,SkilledNursingFacility,SKILLED NURSING,175
geoId/06077,SAN JOAQUIN,ELMS/100000039,WINDSOR HAMPTON CARE CENTER,SkilledNursingFacility,SKILLED NURSING,120
geoId/06077,SAN JOAQUIN,ELMS/100000041,LINCOLN SQUARE POST ACUTE CARE,SkilledNursingFacility,SKILLED NURSING,68
geoId/06099,STANISLAUS,ELMS/100000042,ACACIA PARK NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,99
