Detail Data For Coal Supply - Production by Coal Sector & Company Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,CoalCategory,CoalCompany,CoalSector,CoalType,YearValue,QtyInMillionTonnes_Generation
JHARKHAND,COAL,SAIL,OTHER PUBLIC,COKING,2020,0.000
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,COKING,2020,0.000
JHARKHAND,COAL,NTPC,OTHER PUBLIC,COKING,2020,0.000
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2020,1.082
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2020,5.128
JHARKHAND,COAL,HIL,PRIVATE,COKING,2020,0.000
JHARKHAND,COAL,ECL,CIL,NON-COKING,2020,21.210
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2020,1.783
JHARKHAND,COAL,CCL,CIL,NON-COKING,2020,46.862
JHARKHAND,COAL,DVC,OTHER PUBLIC,NON-COKING,2020,0.000
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2020,0.000
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2020,0.000
JHARKHAND,COAL,SAIL,OTHER PUBLIC,NON-COKING,2020,0.000
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2020,0.068
JHARKHAND,COAL,NTPC,OTHER PUBLIC,NON-COKING,2020,9.421
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2020,0.000
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2020,0.000
JHARKHAND,COAL,HIL,PRIVATE,NON-COKING,2020,0.055
JHARKHAND,COAL,HIL,PRIVATE,NON-COKING,2021,0.046
JHARKHAND,COAL,NTPC,OTHER PUBLIC,NON-COKING,2021,7.070
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2021,0.079
JHARKHAND,COAL,CCL,CIL,NON-COKING,2021,47.546
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2021,1.268
JHARKHAND,COAL,ECL,CIL,NON-COKING,2021,18.900
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2021,4.952
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2021,0.901
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2021,0.043
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2021,0.049
JHARKHAND,COAL,CCL,CIL,COKING,2021,15.043
JHARKHAND,COAL,BCCL,CIL,COKING,2021,23.384
JHARKHAND,COAL,ECL,CIL,COKING,2021,0.015
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2006,35.797
MADHYA PRADESH,COAL,WCL,CIL,COKING,2006,0.932
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2006,6.153
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2006,12.415
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2006,0.282
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2007,39.930
MADHYA PRADESH,COAL,WCL,CIL,COKING,2007,0.775
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2007,6.222
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2007,12.581
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2007,0.218
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2008,48.197
MADHYA PRADESH,COAL,WCL,CIL,COKING,2008,0.676
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2008,6.434
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2008,12.205
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2008,0.329
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2009,51.621
MADHYA PRADESH,COAL,WCL,CIL,COKING,2009,0.730
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2009,6.307
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2009,12.431
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2009,0.236
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2010,53.702
MADHYA PRADESH,COAL,WCL,CIL,COKING,2010,0.545
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2010,6.577
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2010,12.951
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2010,0.299
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2011,50.727
MADHYA PRADESH,COAL,WCL,CIL,COKING,2011,0.403
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2011,6.319
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2011,13.358
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2011,0.297
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2012,50.223
MADHYA PRADESH,COAL,WCL,CIL,COKING,2012,0.319
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2012,6.050
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2012,14.232
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2012,0.299
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2013,53.931
MADHYA PRADESH,COAL,WCL,CIL,COKING,2013,0.330
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2013,5.980
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2013,15.182
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2013,0.300
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2013,0.225
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2014,53.918
MADHYA PRADESH,COAL,WCL,CIL,COKING,2014,0.249
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2014,5.305
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2014,14.118
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2014,0.300
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2014,1.695
MADHYA PRADESH,COAL,MPSMCL,OTHER PUBLIC,NON-COKING,2014,0.005
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2015,57.527
MADHYA PRADESH,COAL,WCL,CIL,COKING,2015,0.310
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2015,5.483
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2015,13.083
MADHYA PRADESH,COAL,BLA,PRIVATE,NON-COKING,2015,0.300
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2015,9.406
MADHYA PRADESH,COAL,MPSMCL,OTHER PUBLIC,NON-COKING,2015,1.500
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2016,67.535
MADHYA PRADESH,COAL,WCL,CIL,COKING,2016,0.209
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2016,6.420
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2016,13.728
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2016,17.022
MADHYA PRADESH,COAL,JPVL,PRIVATE,NON-COKING,2016,2.800
MADHYA PRADESH,COAL,WCL,CIL,COKING,2017,0.130
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2017,5.100
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2017,11.930
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2017,68.040
MADHYA PRADESH,COAL,RCCPL,PRIVATE,NON-COKING,2017,0.030
MADHYA PRADESH,COAL,JPVL,PRIVATE,NON-COKING,2017,2.800
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2017,17.000
MADHYA PRADESH,COAL,WCL,CIL,COKING,2018,0.180
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2018,4.266
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2018,12.106
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2018,74.709
MADHYA PRADESH,COAL,RCCPL,PRIVATE,NON-COKING,2018,0.063
MADHYA PRADESH,COAL,JPVL,PRIVATE,NON-COKING,2018,2.800
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2018,18.003
MADHYA PRADESH,COAL,JPVL,PRIVATE,NON-COKING,2019,2.800
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2019,81.228
MADHYA PRADESH,COAL,RCCPL,PRIVATE,NON-COKING,2019,0.103
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2019,12.598
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2019,18.000
MADHYA PRADESH,COAL,WCL,CIL,COKING,2019,0.188
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2019,3.744
MADHYA PRADESH,COAL,NCL,CIL,COKING,2020,0.000
MADHYA PRADESH,COAL,WCL,CIL,COKING,2020,0.178
MADHYA PRADESH,COAL,SECL,CIL,COKING,2020,0.000
MADHYA PRADESH,COAL,SPL,PRIVATE,COKING,2020,0.000
MADHYA PRADESH,COAL,JPVL,PRIVATE,COKING,2020,0.000
MADHYA PRADESH,COAL,RCCPL,PRIVATE,COKING,2020,0.000
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2020,90.023
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2020,3.268
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2020,10.575
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2020,18.700
MADHYA PRADESH,COAL,JPVL,PRIVATE,NON-COKING,2020,2.800
MADHYA PRADESH,COAL,RCCPL,PRIVATE,NON-COKING,2020,0.182
MADHYA PRADESH,COAL,RCCPL,PRIVATE,NON-COKING,2021,0.172
MADHYA PRADESH,COAL,JPVL,PRIVATE,NON-COKING,2021,2.800
MADHYA PRADESH,COAL,SPL,PRIVATE,NON-COKING,2021,18.570
MADHYA PRADESH,COAL,SECL,CIL,NON-COKING,2021,9.943
MADHYA PRADESH,COAL,WCL,CIL,NON-COKING,2021,2.839
MADHYA PRADESH,COAL,NCL,CIL,NON-COKING,2021,98.026
MADHYA PRADESH,COAL,WCL,CIL,COKING,2021,0.181
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2006,70.459
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2006,5.310
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2006,0.439
CHHATTISGARH,COAL,SECL,CIL,COKING,2007,0.157
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2007,75.764
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2007,5.968
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2007,0.668
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2007,0.625
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2007,0.059
CHHATTISGARH,COAL,SECL,CIL,COKING,2008,0.159
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2008,81.427
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2008,5.994
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2008,0.835
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2008,0.900
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2008,0.578
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2008,0.279
CHHATTISGARH,COAL,SECL,CIL,COKING,2009,0.146
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2009,88.573
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2009,5.998
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2009,0.989
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2009,0.919
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2009,4.893
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2009,0.396
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2009,0.008
CHHATTISGARH,COAL,SECL,CIL,COKING,2010,0.150
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2010,94.908
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2010,5.999
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2010,1.000
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2010,1.000
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2010,6.045
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2010,0.560
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2010,0.291
CHHATTISGARH,COAL,SECL,CIL,COKING,2011,0.163
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2011,99.184
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2011,5.999
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2011,0.952
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2011,1.000
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2011,5.688
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2011,0.406
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2011,0.432
CHHATTISGARH,COAL,SECL,CIL,COKING,2012,0.189
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2012,99.416
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2012,5.998
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2012,0.851
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2012,1.000
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2012,5.250
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2012,0.480
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2012,0.774
CHHATTISGARH,COAL,SECL,CIL,COKING,2013,0.157
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2013,102.880
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2013,5.999
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2013,0.795
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2013,1.000
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2013,5.250
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2013,0.480
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2013,0.976
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2013,0.293
CHHATTISGARH,COAL,SECL,CIL,COKING,2014,0.125
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2014,110.018
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2014,5.999
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2014,0.919
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2014,1.000
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2014,6.226
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2014,0.446
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2014,1.165
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2014,1.197
CHHATTISGARH,COAL,SECL,CIL,COKING,2015,0.126
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2015,115.066
CHHATTISGARH,COAL,JSPL,PRIVATE,NON-COKING,2015,5.989
CHHATTISGARH,COAL,MIL/MIEL,PRIVATE,NON-COKING,2015,1.000
CHHATTISGARH,COAL,PIL,PRIVATE,NON-COKING,2015,1.000
CHHATTISGARH,COAL,JPL,PRIVATE,NON-COKING,2015,6.248
CHHATTISGARH,COAL,JNL,PRIVATE,NON-COKING,2015,0.703
CHHATTISGARH,COAL,SEML,PRIVATE,NON-COKING,2015,1.189
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2015,3.443
CHHATTISGARH,COAL,SECL,CIL,COKING,2016,0.135
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2016,124.071
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2016,0.069
CHHATTISGARH,COAL,BALCO,PRIVATE,NON-COKING,2016,0.120
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2016,6.210
CHHATTISGARH,COAL,SECL,CIL,COKING,2017,0.110
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2017,0.840
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2017,4.480
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2017,122.640
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2017,8.270
CHHATTISGARH,COAL,BALCO,PRIVATE,NON-COKING,2017,0.180
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2017,1.000
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2017,1.000
CHHATTISGARH,COAL,SECL,CIL,COKING,2018,0.182
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2018,1.327
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2018,3.227
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2018,127.867
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2018,8.329
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2018,0.675
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2018,0.939
CHHATTISGARH,COAL,AMBUJA,PRIVATE,NON-COKING,2019,0.100
CHHATTISGARH,COAL,BALCO,PRIVATE,NON-COKING,2019,0.667
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2019,0.838
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2019,0.537
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2019,15.000
CHHATTISGARH,COAL,SECL,CIL,COKING,2019,0.247
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2019,139.552
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2019,1.681
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2019,3.271
CHHATTISGARH,COAL,SECL,CIL,COKING,2020,0.250
CHHATTISGARH,COAL,SECL,CIL,COKING,2020,0.000
CHHATTISGARH,COAL,SECL,CIL,COKING,2020,0.000
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,COKING,2020,0.000
CHHATTISGARH,COAL,NTPC,OTHER PUBLIC,COKING,2020,0.000
CHHATTISGARH,COAL,CSPGCL,OTHER PUBLIC,COKING,2020,0.000
CHHATTISGARH,COAL,HIL,PRIVATE,COKING,2020,0.000
CHHATTISGARH,COAL,HIL,PRIVATE,COKING,2020,0.000
CHHATTISGARH,COAL,BALCO,PRIVATE,COKING,2020,0.000
CHHATTISGARH,COAL,AMBUJA,PRIVATE,COKING,2020,0.000
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2020,136.300
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2020,2.659
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2020,0.762
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2020,15.000
CHHATTISGARH,COAL,NTPC,OTHER PUBLIC,NON-COKING,2020,0.190
CHHATTISGARH,COAL,CSPGCL,OTHER PUBLIC,NON-COKING,2020,0.509
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2020,0.548
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2020,0.126
CHHATTISGARH,COAL,BALCO,PRIVATE,NON-COKING,2020,1.000
CHHATTISGARH,COAL,AMBUJA,PRIVATE,NON-COKING,2020,0.400
CHHATTISGARH,COAL,AMBUJA,PRIVATE,NON-COKING,2021,0.169
CHHATTISGARH,COAL,BALCO,PRIVATE,NON-COKING,2021,0.002
CHHATTISGARH,COAL,HIL,PRIVATE,NON-COKING,2021,0.262
CHHATTISGARH,COAL,CSPGCL,OTHER PUBLIC,NON-COKING,2021,1.502
CHHATTISGARH,COAL,NTPC,OTHER PUBLIC,NON-COKING,2021,0.812
CHHATTISGARH,COAL,RRVUNL,OTHER PUBLIC,NON-COKING,2021,15.000
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2021,3.202
CHHATTISGARH,COAL,SECL,CIL,NON-COKING,2021,137.241
CHHATTISGARH,COAL,SECL,CIL,COKING,2021,0.219
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2006,15.721
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2007,12.228
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2008,11.426
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2009,12.029
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2010,13.968
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2011,15.526
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2012,16.178
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2013,16.090
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2014,14.721
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2015,14.957
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2016,12.689
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2017,16.060
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2018,18.309
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2019,20.275
UTTAR PRADESH,COAL,NCL,CIL,COKING,2020,0.000
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2020,18.030
UTTAR PRADESH,COAL,NCL,CIL,NON-COKING,2021,17.016
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2006,36.119
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2007,36.215
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2008,36.402
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2008,0.001
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2009,37.663
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2009,0.051
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2009,0.991
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2010,38.613
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2010,0.140
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2010,2.252
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2011,36.932
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2011,0.114
MAHARASHTRA,COAL,BSIL,PRIVATE,NON-COKING,2011,0.015
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2011,2.275
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2012,36.741
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2012,0.160
MAHARASHTRA,COAL,BSIL,PRIVATE,NON-COKING,2012,0.003
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2012,2.189
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2012,0.066
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2013,35.977
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2013,0.248
MAHARASHTRA,COAL,BSIL,PRIVATE,NON-COKING,2013,0.062
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2013,2.506
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2013,0.341
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2014,34.175
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2014,0.148
MAHARASHTRA,COAL,BSIL,PRIVATE,NON-COKING,2014,0.081
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2014,2.502
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2014,0.317
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2015,35.354
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2015,0.196
MAHARASHTRA,COAL,BSIL,PRIVATE,NON-COKING,2015,0.031
MAHARASHTRA,COAL,KECML/KEMTA,PRIVATE,NON-COKING,2015,2.478
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2015,0.198
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2016,38.186
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2016,0.165
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2017,40.410
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2017,0.150
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2018,41.774
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2018,0.175
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2018,0.270
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2019,0.270
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2019,0.300
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2019,49.248
MAHARASHTRA,COAL,WCL,CIL,COKING,2020,0.000
MAHARASHTRA,COAL,SIL,PRIVATE,COKING,2020,0.000
MAHARASHTRA,COAL,TUML,PRIVATE,COKING,2020,0.000
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2020,54.190
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2020,0.270
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2020,0.286
MAHARASHTRA,COAL,TUML,PRIVATE,NON-COKING,2021,0.112
MAHARASHTRA,COAL,SIL,PRIVATE,NON-COKING,2021,0.068
MAHARASHTRA,COAL,WCL,CIL,NON-COKING,2021,47.255
ODISHA,COAL,MCL,CIL,NON-COKING,2006,69.604
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2006,0.936
ODISHA,COAL,MCL,CIL,NON-COKING,2007,80.001
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2007,1.159
ODISHA,COAL,MCL,CIL,NON-COKING,2008,88.012
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2008,1.470
ODISHA,COAL,MCL,CIL,NON-COKING,2009,96.336
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2009,2.066
ODISHA,COAL,MCL,CIL,NON-COKING,2010,104.079
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2010,2.330
ODISHA,COAL,MCL,CIL,NON-COKING,2011,100.280
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2011,2.285
ODISHA,COAL,MCL,CIL,NON-COKING,2012,103.119
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2012,2.357
ODISHA,COAL,MCL,CIL,NON-COKING,2013,107.895
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2013,2.237
ODISHA,COAL,MCL,CIL,NON-COKING,2014,110.439
ODISHA,COAL,HIL,PRIVATE,NON-COKING,2014,2.478
ODISHA,COAL,MCL,CIL,NON-COKING,2015,121.379
